all_C_D_1,all_C_D_2,all_C_D_3,all_C_D_4,all_C_D_5,all_C_D_6,all_C_D_7,all_C_D_8,all_C_D_9,all_C_D_10,all_C_D_11,all_C_D_12,all_C_D_13,all_C_D_14,all_C_D_15,all_C_D_16,all_C_D_17,all_C_D_18,all_C_D_19,all_C_D_20,Sujeto,clase
0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8166666666666667,0.9777777777777777,0.8857142857142857,0.9696969696969697,0.8857142857142857,0.9120879120879121,0.9242424242424242,1.0,1.0,?,0.780952380952381,0.7426470588235294,0.7666666666666667,0.9636363636363636,?,0.8285714285714286,0.8076923076923077,A10GUAC,A
0.8333333333333334,0.5333333333333333,0.6111111111111112,0.7333333333333333,0.9,0.6,0.0,0.6111111111111112,0.0,?,0.16666666666666666,0.5333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.5277777777777778,?,?,0.0,1.0,A11BRCA,A
0.8928571428571429,0.8888888888888888,0.6538461538461539,0.6666666666666666,0.8095238095238095,?,?,0.8888888888888888,?,1.0,0.8181818181818182,0.6818181818181818,?,0.5824175824175825,0.7818181818181819,0.9285714285714286,0.3333333333333333,?,0.8928571428571429,0.8222222222222222,A12CAPA,A
0.6,0.5714285714285714,0.6666666666666666,0.35714285714285715,0.3333333333333333,0.5333333333333333,0.2,0.5714285714285714,0.3,1.0,0.75,0.5714285714285714,?,0.7222222222222222,0.8095238095238095,0.6181818181818182,0.47619047619047616,?,0.5555555555555556,?,A13RIVI,A
0.6666666666666666,0.8095238095238095,0.6444444444444445,0.6071428571428571,1.0,?,?,0.5333333333333333,1.0,0.6,0.3333333333333333,0.0,?,0.4444444444444444,0.6666666666666666,0.8214285714285714,1.0,?,0.6666666666666666,0.6428571428571429,A14RARO,A
0.7307692307692307,0.8888888888888888,0.5897435897435898,0.75,0.6153846153846154,0.5,0.8095238095238095,0.7272727272727273,0.1,0.0,0.696969696969697,0.8214285714285714,0.8363636363636363,0.6813186813186813,0.7252747252747253,0.6043956043956044,0.5,?,0.8444444444444444,0.7692307692307693,A15GOGA,A
0.6,0.3,0.4222222222222222,0.47619047619047616,0.3333333333333333,0.7,?,0.39285714285714285,0.4,0.5,0.5714285714285714,0.6666666666666666,?,0.5555555555555556,0.5,0.4444444444444444,1.0,?,0.6666666666666666,1.0,A17MUSI,A
0.5555555555555556,0.6666666666666666,0.5256410256410257,0.5151515151515151,1.0,0.4444444444444444,0.5357142857142857,0.5,1.0,?,0.6666666666666666,0.6428571428571429,1.0,0.7111111111111111,0.6666666666666666,0.5757575757575758,0.0,0.4166666666666667,0.6388888888888888,0.5636363636363636,A1ARVAE,A
0.7904761904761904,0.8681318681318682,0.9393939393939394,0.8285714285714286,0.8888888888888888,0.7714285714285715,0.8021978021978022,1.0,0.7916666666666666,0.9722222222222222,0.8181818181818182,0.8666666666666667,1.0,0.9102564102564102,0.7666666666666667,0.7916666666666666,?,0.9333333333333333,0.7352941176470589,0.673202614379085,A21AGLO,A
0.7575757575757576,0.8727272727272727,0.8727272727272727,0.9333333333333333,1.0,?,?,0.8,?,?,0.8909090909090909,0.9777777777777777,1.0,0.7727272727272727,0.7424242424242424,0.803030303030303,?,?,0.7636363636363637,0.8,A22SAHE,A
0.5,0.6388888888888888,0.6,0.5,0.6666666666666666,0.6,0.5,0.42424242424242425,0.6666666666666666,0.6666666666666666,0.6444444444444445,1.0,?,0.6,0.75,0.45714285714285713,0.3333333333333333,0.8333333333333334,0.6428571428571429,0.5818181818181818,A24FLMA,A
0.6666666666666666,0.5238095238095238,0.6,1.0,0.5,?,0.6666666666666666,0.39285714285714285,1.0,0.3,0.9,0.42857142857142855,?,0.6111111111111112,0.6666666666666666,0.6428571428571429,?,0.0,0.6190476190476191,0.0,A52CUCA,A
0.7111111111111111,0.7777777777777778,0.7090909090909091,0.5,0.5,0.6666666666666666,1.0,0.5818181818181818,0.8333333333333334,0.3611111111111111,0.0,0.5333333333333333,0.5757575757575758,0.5555555555555556,0.6666666666666666,0.6545454545454545,0.6666666666666666,?,0.3333333333333333,0.6818181818181818,A9AYAND,A
0.8,0.6071428571428571,0.6388888888888888,0.47619047619047616,1.0,0.0,?,0.5714285714285714,0.0,?,0.6111111111111112,0.5714285714285714,?,0.5555555555555556,0.7142857142857143,0.6222222222222222,?,?,0.8,0.6666666666666666,B9BENIE,M
0.7912087912087912,0.7912087912087912,0.7619047619047619,0.7238095238095238,0.8076923076923077,0.7333333333333333,0.7333333333333333,0.7238095238095238,0.7454545454545455,0.8444444444444444,0.9242424242424242,0.9444444444444444,?,0.8351648351648352,0.8717948717948718,0.7619047619047619,?,0.9,0.7472527472527473,0.8181818181818182,M12SAES,M
0.7712418300653595,0.8666666666666667,0.7941176470588235,0.8476190476190476,0.8791208791208791,0.8,0.8571428571428571,0.8583333333333333,0.9242424242424242,0.8909090909090909,0.9090909090909091,0.9230769230769231,?,0.7916666666666666,0.7712418300653595,0.8583333333333333,0.9523809523809523,0.8545454545454545,0.7941176470588235,0.8761904761904762,M19NAMO,M
0.5934065934065934,0.7777777777777778,0.5897435897435898,0.4835164835164835,0.5833333333333334,0.3,0.3,0.6212121212121212,0.6190476190476191,0.6190476190476191,0.7222222222222222,0.6388888888888888,?,0.5769230769230769,0.6388888888888888,0.6666666666666666,0.7142857142857143,0.5,0.8055555555555556,0.3333333333333333,M24SAME,M
0.4909090909090909,0.4222222222222222,0.4725274725274725,0.8,0.5714285714285714,0.7,0.2,0.5555555555555556,0.42857142857142855,0.3333333333333333,0.6428571428571429,0.8571428571428571,0.6666666666666666,0.6944444444444444,0.4888888888888889,0.6666666666666666,?,?,0.7333333333333333,?,M27MUAG,M
0.8380952380952381,0.945054945054945,0.9238095238095239,0.9238095238095239,0.8761904761904762,0.8095238095238095,0.875,0.945054945054945,0.8717948717948718,0.8952380952380953,0.3333333333333333,0.5238095238095238,0.875,0.8076923076923077,0.8416666666666667,0.8014705882352942,0.8857142857142857,0.9444444444444444,1.0,0.7166666666666667,M3ESDIR,M
0.7555555555555555,0.5604395604395604,0.5769230769230769,0.6888888888888889,0.7090909090909091,0.6,0.5238095238095238,0.6666666666666666,0.5,0.5333333333333333,1.0,0.7222222222222222,?,0.6666666666666666,1.0,0.7636363636363637,?,0.8,1.0,0.7454545454545455,M7FLSAA,M
0.4727272727272727,0.5333333333333333,1.0,0.7,1.0,1.0,?,0.5333333333333333,0.9,?,0.6785714285714286,0.4,?,0.6785714285714286,0.4,1.0,?,1.0,0.7619047619047619,1.0,M8AVGUK,M
0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,1.0,1.0,0.9852941176470589,?,1.0,0.9852941176470589,?,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9852941176470589,M9SAAND,M
