all_C_D_1,all_C_D_2,all_C_D_3,all_C_D_4,all_C_D_5,all_C_D_6,all_C_D_7,all_C_D_8,all_C_D_9,all_C_D_10,all_C_D_11,all_C_D_12,all_C_D_13,all_C_D_14,all_C_D_15,all_C_D_16,all_C_D_17,all_C_D_18,all_C_D_19,all_C_D_20,Sujeto,clase
0.8857142857,0.8857142857,0.8857142857,0.8166666667,0.9777777778,0.8857142857,0.9696969697,0.8857142857,0.9120879121,0.9242424242,1,1,1.80E+108,0.780952381,0.7426470588,0.7666666667,0.9636363636,1.80E+108,0.8285714286,0.8076923077,A10GUAC,A
0.8333333333,0.5333333333,0.6111111111,0.7333333333,0.9,0.6,0,0.6111111111,0,1.80E+108,0.1666666667,0.5333333333,0,0.6666666667,0.6666666667,0.5277777778,1.80E+108,1.80E+108,0,1,A11BRCA,A
0.8928571429,0.8888888889,0.6538461538,0.6666666667,0.8095238095,1.80E+108,1.80E+108,0.8888888889,1.80E+108,1,0.8181818182,0.6818181818,1.80E+108,0.5824175824,0.7818181818,0.9285714286,0.3333333333,1.80E+108,0.8928571429,0.8222222222,A12CAPA,A
0.6,0.5714285714,0.6666666667,0.3571428571,0.3333333333,0.5333333333,0.2,0.5714285714,0.3,1,0.75,0.5714285714,1.80E+108,0.7222222222,0.8095238095,0.6181818182,0.4761904762,1.80E+108,0.5555555556,1.80E+108,A13RIVI,A
0.6666666667,0.8095238095,0.6444444444,0.6071428571,1,1.80E+108,1.80E+108,0.5333333333,1,0.6,0.3333333333,0,1.80E+108,0.4444444444,0.6666666667,0.8214285714,1,1.80E+108,0.6666666667,0.6428571429,A14RARO,A
0.7307692308,0.8888888889,0.5897435897,0.75,0.6153846154,0.5,0.8095238095,0.7272727273,0.1,0,0.696969697,0.8214285714,0.8363636364,0.6813186813,0.7252747253,0.6043956044,0.5,1.80E+108,0.8444444444,0.7692307692,A15GOGA,A
0.6,0.3,0.4222222222,0.4761904762,0.3333333333,0.7,1.80E+108,0.3928571429,0.4,0.5,0.5714285714,0.6666666667,1.80E+108,0.5555555556,0.5,0.4444444444,1,1.80E+108,0.6666666667,1,A17MUSI,A
0.5555555556,0.6666666667,0.5256410256,0.5151515152,1,0.4444444444,0.5357142857,0.5,1,1.80E+108,0.6666666667,0.6428571429,1,0.7111111111,0.6666666667,0.5757575758,0,0.4166666667,0.6388888889,0.5636363636,A1ARVAE,A
0.7904761905,0.8681318681,0.9393939394,0.8285714286,0.8888888889,0.7714285714,0.8021978022,1,0.7916666667,0.9722222222,0.8181818182,0.8666666667,1,0.9102564103,0.7666666667,0.7916666667,1.80E+108,0.9333333333,0.7352941176,0.6732026144,A21AGLO,A
0.7575757576,0.8727272727,0.8727272727,0.9333333333,1,1.80E+108,1.80E+108,0.8,1.80E+108,1.80E+108,0.8909090909,0.9777777778,1,0.7727272727,0.7424242424,0.803030303,1.80E+108,1.80E+108,0.7636363636,0.8,A22SAHE,A
