all_E_D_1,all_E_D_2,all_E_D_3,all_E_D_4,all_E_D_5,all_E_D_6,all_E_D_7,all_E_D_8,all_E_D_9,all_E_D_10,all_E_D_11,all_E_D_12,all_E_D_13,all_E_D_14,all_E_D_15,all_E_D_16,all_E_D_17,all_E_D_18,all_E_D_19,all_E_D_20,Sujeto,clase
22.0,25.0,15.0,8.0,5.0,0.0,2.0,13.0,2.0,5.0,6.0,2.0,0.0,10.0,0.0,11.0,5.0,3.0,1.0,12.0,B11SUPR,B
70.0,84.0,68.0,47.0,17.0,36.0,60.0,76.0,7.0,13.0,54.0,67.0,0.0,80.0,57.0,59.0,59.0,6.0,64.0,60.0,B12LARA,B
10.0,12.0,9.0,8.0,0.0,11.0,1.0,9.0,8.0,4.0,12.0,16.0,0.0,17.0,0.0,16.0,10.0,1.0,9.0,15.0,B13VIGA,B
11.0,23.0,21.0,3.0,15.0,4.0,11.0,18.0,14.0,24.0,6.0,23.0,17.0,0.0,18.0,34.0,2.0,2.0,13.0,29.0,B18CASI,B
18.0,23.0,29.0,10.0,21.0,0.0,3.0,23.0,0.0,0.0,10.0,3.0,0.0,18.0,0.0,20.0,7.0,0.0,2.0,8.0,B22VIPU,B
26.0,10.0,25.0,7.0,1.0,1.0,1.0,18.0,3.0,4.0,18.0,4.0,1.0,19.0,22.0,28.0,0.0,5.0,1.0,19.0,B24CECU,B
21.0,9.0,16.0,9.0,15.0,0.0,0.0,13.0,0.0,1.0,1.0,2.0,0.0,8.0,15.0,10.0,0.0,0.0,3.0,3.0,B4CAZAD,B
151.0,151.0,151.0,151.0,135.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,0.0,151.0,151.0,135.0,135.0,135.0,151.0,151.0,B7MESEA,B
26.0,32.0,18.0,8.0,16.0,3.0,26.0,24.0,3.0,5.0,3.0,23.0,0.0,20.0,31.0,35.0,1.0,0.0,7.0,1.0,B8RAMOM,B
8.0,17.0,23.0,10.0,1.0,0.0,0.0,12.0,0.0,0.0,22.0,12.0,0.0,20.0,15.0,28.0,0.0,0.0,8.0,4.0,B9BENIE,M
72.0,72.0,80.0,76.0,63.0,11.0,11.0,76.0,41.0,38.0,61.0,34.0,0.0,76.0,68.0,80.0,0.0,9.0,68.0,45.0,M12SAES,M
118.0,91.0,108.0,89.0,80.0,84.0,90.0,103.0,61.0,49.0,50.0,72.0,0.0,95.0,118.0,103.0,20.0,47.0,108.0,92.0,M19NAMO,M
54.0,28.0,46.0,44.0,21.0,3.0,3.0,41.0,13.0,13.0,26.0,23.0,0.0,45.0,23.0,44.0,15.0,14.0,29.0,1.0,M24SAME,M
27.0,19.0,43.0,8.0,12.0,7.0,2.0,20.0,9.0,1.0,18.0,18.0,4.0,25.0,22.0,30.0,0.0,0.0,11.0,0.0,M27MUAG,M
88.0,86.0,97.0,97.0,92.0,85.0,105.0,86.0,68.0,94.0,2.0,11.0,105.0,63.0,101.0,109.0,93.0,34.0,1.0,86.0,M3ESDIR,M
34.0,51.0,45.0,31.0,39.0,6.0,11.0,44.0,5.0,8.0,3.0,26.0,0.0,44.0,6.0,42.0,0.0,8.0,15.0,41.0,M7FLSAA,M
26.0,8.0,1.0,7.0,1.0,6.0,0.0,8.0,9.0,0.0,19.0,18.0,0.0,19.0,18.0,1.0,0.0,1.0,16.0,1.0,M8AVGUK,M
134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,105.0,120.0,134.0,0.0,120.0,134.0,0.0,134.0,134.0,134.0,134.0,M9SAAND,M
