theta_C_D_1,theta_C_D_2,theta_C_D_3,theta_C_D_4,theta_C_D_5,theta_C_D_6,theta_C_D_7,theta_C_D_8,theta_C_D_9,theta_C_D_10,theta_C_D_11,theta_C_D_12,theta_C_D_13,theta_C_D_14,theta_C_D_15,theta_C_D_16,theta_C_D_17,theta_C_D_18,theta_C_D_19,theta_C_D_20,Sujeto,clase
0.38095238095238093,0.3333333333333333,0.5,0.5272727272727272,0.5,0.7333333333333333,0.5555555555555556,0.6190476190476191,0.6785714285714286,0.8,0.5,0.0,0.7,0.509090909090909,0.39285714285714285,0.4222222222222222,0.6666666666666666,0.0,0.5555555555555556,0.4,A10GUAC,A
0.9242424242424242,0.7362637362637363,0.75,0.8589743589743589,0.7205882352941176,0.9242424242424242,0.6818181818181818,0.780952380952381,0.8636363636363636,0.8461538461538461,0.8666666666666667,0.8,0.6952380952380952,0.6923076923076923,0.7121212121212122,0.8666666666666667,0.9636363636363636,0.6593406593406593,0.7205882352941176,0.7090909090909091,A11BRCA,A
0.5,1.0,0.9238095238095239,0.825,0.9238095238095239,0.8939393939393939,0.85,0.8476190476190476,0.8791208791208791,0.75,0.819047619047619,0.9238095238095239,1.0,0.7573529411764706,0.9238095238095239,1.0,0.7714285714285715,0.9560439560439561,0.0,0.9743589743589743,A12CAPA,A
0.5824175824175825,0.6909090909090909,0.6538461538461539,0.7121212121212122,0.7111111111111111,0.7142857142857143,1.0,0.6727272727272727,0.6,0.6,0.6666666666666666,0.8,0.6444444444444445,0.6363636363636364,0.5606060606060606,0.6666666666666666,0.8,1.0,0.8,0.7555555555555555,A13RIVI,A
0.7424242424242424,0.8888888888888888,0.7636363636363637,0.6666666666666666,1.0,0.6666666666666666,0.8222222222222222,0.7121212121212122,0.5,0.5934065934065934,0.6190476190476191,0.4727272727272727,0.6428571428571429,0.7454545454545455,0.7555555555555555,0.7222222222222222,0.5714285714285714,NaN,0.6909090909090909,1.0,A14RARO,A
0.9934640522875817,0.9934640522875817,1.0,0.9934640522875817,0.9934640522875817,0.9934640522875817,NaN,0.9934640522875817,0.9934640522875817,1.0,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,0.9934640522875817,A15GOGA,A
0.8974358974358975,0.7818181818181819,0.9242424242424242,0.9242424242424242,0.9636363636363636,0.9523809523809523,0.725,0.8974358974358975,0.6397058823529411,0.7692307692307693,0.6571428571428571,0.7777777777777778,NaN,0.725,0.6764705882352942,0.8461538461538461,0.7912087912087912,0.8571428571428571,1.0,1.0,A17MUSI,A
0.7333333333333333,0.6,0.6666666666666666,0.4727272727272727,0.6,0.8928571428571429,1.0,1.0,0.8928571428571429,0.8928571428571429,0.42857142857142855,0.5714285714285714,0.8928571428571429,0.47619047619047616,0.3333333333333333,0.6190476190476191,1.0,0.7222222222222222,0.5238095238095238,0.5,A1ARVAE,A
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A21AGLO,A
0.803921568627451,0.9166666666666666,0.9333333333333333,0.875,0.9166666666666666,0.875,0.9166666666666666,0.803921568627451,0.9340659340659341,1.0,0.8529411764705882,0.9333333333333333,1.0,0.7647058823529411,0.9809523809523809,0.9333333333333333,1.0,1.0,0.7575757575757576,0.9523809523809523,A22SAHE,A
