theta_E_D_1,theta_E_D_2,theta_E_D_3,theta_E_D_4,theta_E_D_5,theta_E_D_6,theta_E_D_7,theta_E_D_8,theta_E_D_9,theta_E_D_10,theta_E_D_11,theta_E_D_12,theta_E_D_13,theta_E_D_14,theta_E_D_15,theta_E_D_16,theta_E_D_17,theta_E_D_18,theta_E_D_19,theta_E_D_20,Sujeto,clase
66.0,75.0,76.0,70.0,68.0,2.0,58.0,53.0,68.0,63.0,70.0,65.0,3.0,1.0,19.0,2.0,76.0,68.0,32.0,16.0,B11SUPR,B
102.0,110.0,103.0,110.0,102.0,115.0,110.0,102.0,88.0,44.0,5.0,40.0,20.0,115.0,121.0,124.0,83.0,118.0,124.0,106.0,B12LARA,B
143.0,103.0,143.0,130.0,143.0,78.0,143.0,130.0,117.0,143.0,131.0,90.0,0.0,131.0,143.0,143.0,129.0,143.0,131.0,143.0,B13VIGA,B
63.0,6.0,56.0,52.0,46.0,26.0,20.0,35.0,52.0,35.0,6.0,5.0,52.0,52.0,5.0,18.0,60.0,3.0,60.0,8.0,B18CASI,B
113.0,113.0,113.0,116.0,113.0,104.0,89.0,113.0,113.0,113.0,116.0,102.0,0.0,113.0,0.0,77.0,6.0,90.0,69.0,100.0,B22VIPU,B
36.0,24.0,31.0,13.0,17.0,10.0,12.0,17.0,15.0,18.0,24.0,34.0,5.0,39.0,39.0,24.0,0.0,15.0,22.0,34.0,B24CECU,B
153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,0.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,B4CAZAD,B
153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,0.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,B7MESEA,B
54.0,75.0,98.0,114.0,117.0,107.0,97.0,114.0,93.0,55.0,96.0,31.0,0.0,98.0,98.0,85.0,114.0,101.0,97.0,6.0,B8RAMOM,B
71.0,49.0,85.0,89.0,79.0,61.0,61.0,89.0,25.0,10.0,11.0,51.0,44.0,40.0,1.0,40.0,62.0,57.0,40.0,43.0,B9BENIE,M
152.0,152.0,136.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,0.0,152.0,152.0,152.0,136.0,152.0,152.0,152.0,M12SAES,M
144.0,144.0,66.0,144.0,144.0,144.0,133.0,102.0,144.0,144.0,144.0,133.0,0.0,144.0,144.0,133.0,120.0,120.0,120.0,144.0,M19NAMO,M
148.0,148.0,104.0,148.0,148.0,134.0,148.0,118.0,148.0,148.0,120.0,148.0,0.0,134.0,148.0,133.0,148.0,148.0,148.0,148.0,M24SAME,M
86.0,95.0,65.0,95.0,86.0,100.0,95.0,55.0,95.0,95.0,18.0,9.0,95.0,84.0,94.0,93.0,0.0,0.0,80.0,52.0,M27MUAG,M
131.0,83.0,44.0,131.0,86.0,122.0,118.0,118.0,98.0,77.0,95.0,83.0,86.0,131.0,110.0,107.0,131.0,122.0,0.0,122.0,M3ESDIR,M
14.0,55.0,34.0,43.0,44.0,45.0,56.0,36.0,46.0,41.0,19.0,40.0,0.0,26.0,45.0,8.0,3.0,25.0,6.0,8.0,M7FLSAA,M
135.0,135.0,135.0,144.0,144.0,146.0,131.0,144.0,3.0,47.0,144.0,144.0,135.0,135.0,135.0,120.0,144.0,144.0,144.0,135.0,M8AVGUK,M
146.0,146.0,109.0,140.0,140.0,140.0,140.0,128.0,140.0,115.0,146.0,140.0,21.0,97.0,134.0,97.0,103.0,140.0,78.0,103.0,M9SAAND,M
