despues_C_beta_1,despues_C_beta_2,despues_C_beta_3,despues_C_beta_4,despues_C_beta_5,despues_C_beta_6,despues_C_beta_7,despues_C_beta_8,despues_C_beta_9,despues_C_beta_10,despues_C_beta_11,despues_C_beta_12,despues_C_beta_13,despues_C_beta_14,despues_C_beta_15,despues_C_beta_16,despues_C_beta_17,despues_C_beta_18,despues_C_beta_19,Sujeto,Clase
0.33333,0,0.71429,0.57143,0.47619,NaN,0.33333,0.61905,0.28571,0.8,0.61111,0.66667,0.4,0.66667,0.61111,0.8,1,NaN,0.83333,A10GUAC,A
NaN,0.9,0.66667,0.72222,1,0.33333,NaN,0.85714,0.57778,0.64444,0.78571,0.61905,0.75,0.64444,0.66667,0.93333,0.86667,NaN,NaN,A11BRCA,A
0.66667,0.9,0.72222,0.68889,0.6,NaN,0.66667,0.73333,0.54545,0.66667,0.68889,NaN,0.66667,0.7,0.75,0.53333,1,NaN,1,A12CAPA,A
1,NaN,0.55556,0.61905,0.64286,NaN,NaN,NaN,0.61111,0.57778,0.61905,0.71429,0.86667,1,0.5,0.2,1,NaN,0,A13RIVI,A
0.60714,0.66667,0.72727,0.66667,NaN,1,0.62222,1,0.55556,0.76364,0.70909,1,0.8,0.76364,0.88889,NaN,NaN,0.63636,1,A14RARO,A
0.66667,0.6,0.5,0.86111,0.95238,0.33333,NaN,0.92857,0.57143,0.89286,0.71111,0.8,0.66667,0.31818,0.86111,0.95238,1,1,0.86111,A15GOGA,A
0.6,1,0.73333,0.8,0.66667,0.71429,NaN,0.8,0.64444,0.61111,0.44872,0.57778,0.57778,0.58333,0.71429,0.7,0.71429,NaN,0.60714,A17MUSI,A
0.33333,NaN,1,0.90476,NaN,NaN,NaN,1,0.41818,0.63889,0.71429,NaN,0.8,0.63889,0.55556,1,0.83333,0.5,0.33333,A18RURI,A
1,NaN,0.63889,0.46667,0.6,0.67857,0.86667,0.66667,0.61111,0.8,0.9,NaN,0.66667,0.63889,0.38462,0.47222,0.9,0.66667,0.66667,A19MOEP,A
0.42857,0.33333,0.33333,0.64444,0.95238,0.8,1,0.47222,0.66667,0.66667,0.75,0.53333,0.32143,0.85714,0.77778,0.72222,0.8,0.66667,0.89286,A1ARVAE,A
1,0.33333,0.72222,0.8,0.73333,0.33333,0,0.73333,0.62222,0.86667,0.78182,NaN,0.92857,0.86667,0.78182,0.78182,0.66667,0,1,A21AGLO,A
0.33333,0,0,0.6,0.6,NaN,NaN,NaN,0.53333,0.37778,0.60714,0,0.66667,0.7,0.66667,0.8,0,NaN,1,A22SAHE,A
1,0.96667,1,0.96667,NaN,0.96667,1,0.96667,0.96667,0.86765,1,0.96667,1,0.86765,0.96667,0.96667,0.96667,1,0.86765,A24FLMA,A
NaN,0,0.7619,0.67857,NaN,0.8,NaN,NaN,0.47222,0.53333,0.63889,0.6,NaN,0.5,0.46429,1,0.83333,0.61905,0.7619,A27HECE,A
0.6,0.6,0.52778,0.44444,0.42857,0.6,0.4,0.86667,0.6,0.53333,0.57143,0.35714,0.46667,0.5,0.5,0.5,0.2,0.3,0.53571,A28TOPA,A
