despues_C_delta_1,despues_C_delta_2,despues_C_delta_3,despues_C_delta_4,despues_C_delta_5,despues_C_delta_6,despues_C_delta_7,despues_C_delta_8,despues_C_delta_9,despues_C_delta_10,despues_C_delta_11,despues_C_delta_12,despues_C_delta_13,despues_C_delta_14,despues_C_delta_15,despues_C_delta_16,despues_C_delta_17,despues_C_delta_18,despues_C_delta_19,Sujeto,Clase
0.71429,0.51111,0.67857,0.61111,0.42857,0.85714,0.67857,0.5,0.78571,0.55556,0.53571,0.85714,0.85714,0.66667,0.83333,0.66667,0.63889,0.85714,0.66667,A10GUAC,A
0.875,0.88971,0.875,0.925,0.83007,1,0.92424,0.97436,0.83007,0.83007,0.88971,0.95238,0.88971,0.88971,0.925,0.85294,0.98718,1,0.95238,A11BRCA,A
0.55556,1,0.64286,0.5641,0.71111,0.61111,0.55556,0.71111,0.47619,0.80952,0.66667,0.53333,1,0.47619,1,0.92857,0.53571,0.5641,0.92857,A12CAPA,A
0.93333,0.75,0.63636,0.76923,0.83333,0.66667,0.6044,0.71795,0.61905,0.7033,0.89091,0.93333,0.66667,0.8,0.89091,0.97222,0.53846,0.76364,0.91111,A13RIVI,A
0.97059,1,0.97059,0.97059,0.97059,1,0.97059,0.86928,0.97059,0.97059,0.99167,0.97059,0.99167,0.97059,0.97059,0.87619,0.97059,0.97059,0.98333,A14RARO,A
0.84848,0.88889,0.63333,0.78205,0.84848,0.90909,0.83333,0.78205,0.87273,0.58333,0.68132,0.87273,0.47222,0.67857,0.77778,0.74545,0.87273,1,0.85714,A15GOGA,A
0.91111,0.85455,0.69231,0.89286,0.85714,0.94444,1,0.80556,0.85455,0.59341,0.89286,0.91111,0.85455,0.57143,0.82143,0.95238,0.81818,0.65385,0.67273,A17MUSI,A
0.89394,0.90909,0.84167,0.84167,0.8,1,0.87179,0.75,0.77941,0.84167,0.77206,0.75,0.84167,0.91209,0.94872,0.8,0.94872,0.86364,1,A18RURI,A
0.5,0.78095,0.79048,0.75,0.84615,0.72727,0.77778,0.78095,0.81319,0.85897,0.85897,0.33333,0.71212,0.80303,0.84615,0.7619,0.88889,0.80303,0.86667,A19MOEP,A
0.82353,NaN,0.84615,0.94286,0.94286,0.82353,0.89524,0.94286,0.84167,0.89524,0.94286,0.93939,0.90476,0.89524,0.88333,0.88333,0.86111,0.85714,0.88333,A1ARVAE,A
0.83516,0.87273,0.92727,0.81319,0.81905,0.87912,NaN,0.80952,0.83516,0.86667,0.84848,1,0.81905,0.65934,0.83516,0.91026,0.86364,0,0.83516,A21AGLO,A
0.83636,0.84444,0.52381,0.8,0.92857,0.91111,0.66667,0.66667,0.83636,0.74545,0.66667,0.83636,0.83636,0.71212,0.46429,0.5,0.86667,0.75556,0.66667,A22SAHE,A
0.91912,0.94853,0.94853,0.88889,1,0.925,0.94853,0.94853,0.94853,0.94853,1,0.925,0.88889,0.94853,0.91912,0.95833,0.91912,0.95833,0.88889,A24FLMA,A
0.57143,0.75,0.71795,0.89091,0.72727,0.57143,0.66667,0.93333,0.81818,0.80303,0.84444,1,0.80556,0.69697,0.95238,0.69231,1,0.76923,0.6381,A27HECE,A
0.75758,0.86667,0,0.91111,1,0.33333,1,0.64444,0.66667,0.75758,0.73077,0.71795,0.66667,0.71429,0.78788,0.91111,0.52381,0.42857,0.78182,A28TOPA,A
0.96667,0.92647,0.92647,0.86029,0.92647,0.85897,0.92647,0.92647,0.95833,0.92647,0.96667,0.96667,1,0.95833,0.92647,0.96667,1,0.95833,0.95833,A52CUCA,A
