despues_C_sf_1,despues_C_sf_2,despues_C_sf_3,despues_C_sf_4,despues_C_sf_5,despues_C_sf_6,despues_C_sf_7,despues_C_sf_8,despues_C_sf_9,despues_C_sf_10,despues_C_sf_11,despues_C_sf_12,despues_C_sf_13,despues_C_sf_14,despues_C_sf_15,despues_C_sf_16,despues_C_sf_17,despues_C_sf_18,despues_C_sf_19,Sujeto,Clase
1,0.57143,0.59091,1,0.66667,1,0.80952,0.6,0.52727,0.61818,0.66667,0.93333,0.53846,0.53846,0.5,0.41667,0.75,0.9,0.71429,B10ESTO,B
0.38889,0.51111,0.56364,0.66667,0.32143,1,1,0.45455,0.61818,0.75,0.80952,0.5,0.38889,0.80952,0.63889,0,0.5,0.33333,0.33333,B11SUPR,B
0,0.66667,0.57143,0.5,0.7,0.2,0.66667,0.53333,0.5,0.53333,0.55556,0.5,0.26667,0.35556,0.4,0.5,0.47619,1,0.52381,B12LARA,B
0.2,0.5,0.27778,0,0.4,0.5,NaN,0.83333,0.46667,0.6,0.52381,0.33333,0.33333,0.4,0.35714,0.66667,0.33333,1,1,B13VIGA,B
NaN,0.85714,1,0.68889,0.80952,0,1,0.71429,0.52778,0.71111,0.69444,NaN,NaN,0.75,0.63636,0.69091,NaN,1,0.69091,B14FOVA,B
NaN,0,0.78571,0.60714,0.57143,NaN,NaN,0.6,0.33333,0.72222,0.53333,0,0,0.61111,0.69444,0.80952,0.33333,0,0.86667,B15GOGO,B
0.6,NaN,0.62222,0.9,0,0.52727,0.5,0.64286,0.50909,0.7619,NaN,0,0.5,0.6,0.52727,0.39286,0.60714,0.83333,0.3,B17ARTO,B
0.66667,0.38095,0.52381,0.46429,0.60714,0.2,0.7,0.52381,0.53571,0.48485,0.51111,0.3,0,0.71429,NaN,0.83333,0.5,0.86667,0.53571,B18CASI,B
1,0.5,0.66667,0.83333,0.9,0.47619,1,0.57778,0.56061,0.71111,0.67273,0.64286,0.46429,0.75,0.57692,0.6,0.66667,1,0.53846,B20RORA,B
NaN,NaN,0.8,NaN,1,NaN,NaN,0.66667,0.6,0.71429,0.71429,NaN,NaN,0.7619,0.80952,0.66667,NaN,NaN,1,B21GUDE,B
0.57143,NaN,0.61111,NaN,0.66667,0.66667,NaN,1,0.7619,0.67857,0.64286,0.83333,0.53571,0.58333,0.71429,0.53571,0.53333,0.33333,NaN,B22VIPU,B
0.66667,NaN,0.44444,0.33333,0.67857,1,1,0.6,0.22222,0.7,0.71429,0.66667,1,0.6,0.58333,0.61905,0.66667,0.66667,0.86667,B23VEZE,B
0.33333,0.5,0.36111,0.66667,NaN,0.27778,0.66667,0,0.4,0.5,0.5,0.66667,0,0.26667,0.28571,0.4,0.26667,0,0,B24CECU,B
0.89091,0.72527,0.63736,0.33333,0.69444,0.83333,0.8,0.82143,0.83333,0.62857,0.69091,0.88889,0.75758,0.59048,0.63736,0.7619,0.71429,0.76364,0.93333,B25MEVI,B
NaN,0.71429,0.68182,0.78788,0.88889,NaN,NaN,0.92857,0.75556,0.78788,0.91667,0,0.72727,0.85455,0.61538,0.92857,0.5,1,0.66667,B4CAZAD,B
NaN,NaN,0.4,0.7,0.16667,NaN,NaN,0,0.46667,0.53333,0.53333,NaN,NaN,0.3,0.3,0.33333,NaN,0,0.16667,B5ARMON,B
0,0.33333,0.71429,0.58333,1,0,0.66667,0.86667,0.7,0.61111,0.72222,0,0.5,0.34545,0.72222,0.53333,NaN,0.33333,0.57143,B6SOMOD,B
0.5,0.61905,0.5303,0.67273,0.72727,0.64286,1,0.64286,0.57143,0.85714,0.54945,0.78571,0.7619,0.65385,0.67949,0.73333,0.62821,0.59091,0.69697,B7MESEA,B
0.2381,0.66667,NaN,0.28571,0.5,0,0,0.5,0.4,0.38095,0.4,0.5,0.21429,0.26667,0.38095,0.66667,0.33333,NaN,0.4,B8RAMOM,B
0,0,0.46429,0.64286,0.71429,0,NaN,0.83333,0.2,0.60714,0.78571,NaN,NaN,0.78571,0.80952,0.69444,NaN,NaN,0.9,M9BENIE,M
0.5,0.38095,0.57143,0.52778,0.66667,0.33333,1,0.8,0.47619,0.39394,0.60714,0.33333,0.6,0.33333,0.73333,0.5,0.66667,NaN,0.42857,M10CAUR,M
0.8,0.64286,0.5303,0.77778,0.80556,0.5,NaN,0.75,0.57778,0.5641,0.59091,1,0.33333,0.9,0.82143,0.62222,NaN,1,0.66667,M11BADE,M
NaN,1,0.36111,0.38095,0,0,1,0.5,0.4,0.61905,0.61905,0,0.52381,0.38095,0.46667,0,0.33333,0,NaN,M12SAES,M
NaN,0.7,0.57143,0.66667,1,NaN,NaN,0.9,0.42857,0.44444,0.60714,1,0.66667,0.6,0.71429,1,NaN,NaN,NaN,M13FECA,M
0.5,0.51111,0.57143,0.6,0.66667,0.5,0.5,0.38095,0.37778,0.52778,0.39394,0.66667,0.52381,0.41667,0.46667,0.66667,0.5,0.46429,NaN,M16ARVE,M
0.67857,0.64444,0.51282,0.57143,0.53333,0.58333,0.5,0.64286,0.66667,0.55556,0.54545,0.7619,0.61818,0.5,0.55556,0.60714,0.5,0.73333,1,M17GOSE,M
0.6,0.37778,0.4,0.73333,0.53333,0.32143,0.66667,0.53333,0.46429,0.58333,0.48889,1,0.52381,0.58333,0.42857,0.5,0.73333,0,NaN,M18HUME,M
0,0.83333,0.7,0.55556,0.75,NaN,NaN,0.5,0.46429,0.72222,0.5,NaN,NaN,0.71429,0.82143,0.90476,0.3,1,0.7619,M19NAMO,M
0.5,0.53333,0.9,0.5,0.80952,0.47222,0,0.80952,0.53333,0.56364,0.86667,0.66667,0.47222,0.53571,0.66667,1,0.5,NaN,0.44444,M21SANA,M
NaN,0.33333,0.33333,0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,M22HUGU,M
1,0.8,0.48889,0.8,0.66667,NaN,0.33333,0.67857,0.73333,0.55556,0.69444,NaN,0.42857,0.53333,0.64286,0.66667,NaN,NaN,0.5,M23SACA,M
0.5,0.54945,0.69231,0.67273,0.8,0.61818,0.63636,0.82143,0.68182,0.68182,0.59341,0.33333,0.71429,0.65385,0.68889,0.65152,0.61905,0.75,0.75,M24SAME,M
0.33333,NaN,0.83333,0.42857,0.4,0,0,NaN,0.2,0.28571,0.5,0.33333,1,0.5,0.38095,0.5,0,NaN,0.66667,M25MAVI,M
1,1,0,0.33333,0.66667,0.6,0,0.4,0.6,0.35714,0.47619,1,0,0.66667,0.5,0.66667,NaN,NaN,NaN,M27MUAG,M
1,0.57143,0.85714,0.57778,0.75,NaN,NaN,0.80952,0.51111,0.66667,0.65455,1,0.8,0.58333,0.6,0.80952,NaN,NaN,0.6,M28NUCO,M
NaN,0.83333,0.71429,0.52778,0.33333,0,NaN,0.5,0.53571,0.55556,0.55556,NaN,NaN,0.60714,0.57143,0.5,NaN,NaN,0.71429,M3ESDIR,M
0.33333,0.26667,0.39286,0.6,0.47619,0,0.6,0.46667,0.2,0.42857,0.37778,NaN,0,1,0.5,0.7,0.13333,0.6,0.53333,M7FLSAA,M
0.6,0.7,0.50909,0.72222,0.8,0.57143,1,0.86667,0.53333,0.47436,0.78571,0,0,0.62222,0.62222,0.52778,0,1,0.52381,M8AVGUK,M
0.61905,0.6,0.66667,0.71429,0.66667,0.52727,NaN,0.71429,0.5,0.66667,0.72222,1,1,0.59091,0.67273,0.90476,1,NaN,0.80556,M9SAAND,M
