despues_C_theta_1,despues_C_theta_2,despues_C_theta_3,despues_C_theta_4,despues_C_theta_5,despues_C_theta_6,despues_C_theta_7,despues_C_theta_8,despues_C_theta_9,despues_C_theta_10,despues_C_theta_11,despues_C_theta_12,despues_C_theta_13,despues_C_theta_14,despues_C_theta_15,despues_C_theta_16,despues_C_theta_17,despues_C_theta_18,despues_C_theta_19,Sujeto,Clase
0.69697,0.72727,0.71212,0.74545,0.82143,0.76364,0.82222,1,0.72727,0.71212,0.72222,0.72222,0.77778,0.60952,0.72222,0.8,0.5,0.75,0.83333,B10ESTO,B
0.78788,0.71795,0.71795,0.75,0.77778,0.71212,0.85714,0.93333,0.75758,0.75758,1,0.91667,0.81818,0.74242,0.67033,NaN,0.74359,0.71429,0,B11SUPR,B
0.73333,0.66667,0.63636,0.72727,0.71429,0.65152,0.72727,0.69231,0.75556,0.78571,0.8,0.60606,0.61818,0.70909,0.68182,0.5,0.56061,0.52727,0.67949,B12LARA,B
0.74545,1,0.68182,1,0.5,0.68182,0.67857,0.46667,0.94444,0.94444,0.5,0.84444,0.94444,0.62222,0.6,0.5,1,0.33333,0.5,B13VIGA,B
0.64286,0.7619,0.69444,0.63636,0.6,0.6,0.69444,0.80952,0.60606,0.57692,0.60256,0.67273,0.78571,0.69444,0.60606,0.6,0.56061,0.52727,0.75,B14FOVA,B
1,0.58974,0.66667,0.69091,0.62222,0.70909,0.85714,0.7619,0.80556,0.71212,0.65455,0.93333,0.70909,0.68182,0.62821,0.86667,0.89286,NaN,0.8,B15GOGO,B
0.52778,0.33333,0.8,0.50909,1,0.39286,0.75,0.57143,0.53571,0.75,0.67857,0.73333,0.46667,0.61111,0.52727,0.60714,0.55556,0.60714,0.8,B17ARTO,B
0.62222,0.74286,0.77143,0.75238,0.84848,0.83333,0.77143,0.83333,0.76923,0.76364,0.86364,0.89091,NaN,0.8022,0,0.82222,0.86364,0.81818,0.81818,B18CASI,B
0.66667,0.81818,0.77273,0.93333,1,0.42857,0.66667,0.8,0.75758,0.77273,0.77273,0.33333,0.66667,0.78571,0.81818,0.81818,NaN,0.5,0.64103,B20RORA,B
0.67273,NaN,0.83333,NaN,0.66667,1,NaN,1,0.69444,0.75556,0.61818,0.86667,0.63636,0.75,0.72222,0.80556,NaN,1,0.8,B21GUDE,B
0.87273,0.33333,NaN,1,NaN,0.87273,0.97222,NaN,1,1,1,0.87273,0.97222,0.65152,0.65455,0.63889,0.87273,0.87273,0.87273,B22VIPU,B
0.71429,0.5,0.52778,0.33333,0.73333,0.5,0.44444,0.66667,0.72222,0.58333,0.7,0.72222,0.72222,0.58333,0.6,0.2,0.75,1,0.3,B23VEZE,B
0.5,0.47619,0.60714,0.64286,0.6,0,0.4,0.66667,0.4,0.6,0.60714,0.36111,0.33333,0.57143,0.55556,0.66667,0.34545,0.33333,1,B24CECU,B
0.71212,0.77778,0.58333,0.93333,0.71429,0.80556,0.53333,0.58182,0.91667,0.8,0.86667,0.71212,0.82222,0.57692,0.52727,0.75,0.91667,0.62121,0.71429,B25MEVI,B
0.71429,0.68889,0.8,0.76364,0.77778,0.90476,1,0.8,0.80952,0.78571,0.70909,0.61538,0.56044,0.60606,0.59091,0.67273,0.57692,0.9,1,B4CAZAD,B
0.5,0.5,0.41667,0.42222,0.6,0.4,0.66667,1,0.66667,0.66667,0.52778,0.33333,0.8,0.46667,0.6,0.5,0.33333,0.53333,0.8,B5ARMON,B
0.94872,0.94872,0.87912,0.78333,0.91667,0.81905,0.77778,0.91026,0.94872,0.78333,0.8,0.9697,0.94872,0.78333,0.68889,0.81319,0.89091,NaN,0.33333,B6SOMOD,B
0.80952,0.67857,0.69444,0.77778,0.66667,1,0.75,0.69444,0.67857,0.55556,0.77778,0.86667,0.93333,0.53571,0.72222,0.85714,0.93333,0.66667,0.86667,B7MESEA,B
0.64286,0.63636,0.83333,0.5,0.33333,0.61111,0.66667,0,0.86667,0.8,0.62821,0.8,0.8,0.67273,0.78182,1,0.78182,0.71429,0.86667,B8RAMOM,B
