despues_E_delta_1,despues_E_delta_2,despues_E_delta_3,despues_E_delta_4,despues_E_delta_5,despues_E_delta_6,despues_E_delta_7,despues_E_delta_8,despues_E_delta_9,despues_E_delta_10,despues_E_delta_11,despues_E_delta_12,despues_E_delta_13,despues_E_delta_14,despues_E_delta_15,despues_E_delta_16,despues_E_delta_17,despues_E_delta_18,despues_E_delta_19,Sujeto,Clase
0,26,38,9,3,32,8,3,35,30,34,38,35,33,14,3,12,16,3,B10ESTO,B
12,78,98,102,102,79,73,79,81,88,48,10,73,69,40,73,52,77,59,B11SUPR,B
9,33,29,15,6,30,36,33,32,42,15,6,32,50,35,24,24,40,34,B12LARA,B
1,13,12,12,11,2,2,4,12,10,10,6,4,3,10,11,11,2,11,B13VIGA,B
34,43,43,6,24,30,33,30,48,31,11,8,48,36,11,30,14,4,14,B14FOVA,B
66,83,64,82,6,83,0,1,88,82,88,75,72,75,91,71,66,22,31,B15GOGO,B
8,46,46,4,5,46,50,24,38,1,6,23,50,39,7,7,28,38,35,B17ARTO,B
6,55,55,79,79,56,55,55,74,74,68,79,19,84,18,8,29,44,50,B18CASI,B
93,93,76,93,72,0,87,87,83,21,0,90,90,58,90,93,83,87,6,B20RORA,B
38,50,64,0,27,38,45,33,44,57,32,16,21,50,64,26,1,60,51,B21GUDE,B
121,120,120,0,120,1,120,120,120,120,120,121,120,120,120,120,120,120,120,B22VIPU,B
13,7,51,4,7,34,32,13,39,41,31,23,38,47,21,3,40,30,6,B23VEZE,B
25,25,6,13,2,3,31,10,16,22,21,25,30,6,22,2,21,9,5,B24CECU,B
10,12,10,13,26,18,15,31,13,28,18,8,14,29,31,24,12,22,26,B25MEVI,B
86,86,79,66,101,77,9,0,101,101,28,98,105,101,101,70,93,66,39,B4CAZAD,B
16,31,30,70,49,2,9,36,23,64,59,36,59,59,36,26,54,48,64,B5ARMON,B
10,30,72,66,66,35,90,75,87,72,78,20,69,78,72,80,14,9,66,B6SOMOD,B
35,41,32,34,52,12,17,29,35,44,29,11,24,0,57,40,3,14,31,B7MESEA,B
104,96,93,104,60,1,75,82,104,86,75,96,63,96,104,82,35,0,93,B8RAMOM,B
34,17,19,40,45,26,40,34,18,4,36,36,8,36,50,40,25,20,36,M9BENIE,M
41,63,87,87,21,88,87,77,73,83,83,15,88,88,94,27,100,0,67,M10CAUR,M
16,29,25,37,17,8,4,29,16,37,30,33,15,33,35,17,13,24,29,M11BADE,M
45,61,10,49,9,0,21,49,56,15,1,54,15,56,56,51,53,49,16,M12SAES,M
20,15,3,22,14,1,10,4,6,1,17,8,15,14,17,12,4,18,3,M13FECA,M
54,67,76,48,43,59,5,44,76,60,76,7,65,76,60,67,3,2,39,M16ARVE,M
19,18,28,15,8,8,22,7,29,20,19,22,33,20,10,8,22,21,1,M17GOSE,M
118,111,111,89,10,66,111,32,118,118,100,111,118,111,111,89,88,77,111,M18HUME,M
76,66,31,72,82,10,54,79,83,6,46,58,64,79,79,83,0,0,64,M19NAMO,M
25,46,44,39,57,9,10,57,53,58,13,61,47,51,66,17,23,61,13,M21SANA,M
33,34,81,84,45,50,10,73,93,93,44,57,92,51,101,77,75,71,87,M22HUGU,M
26,35,46,27,27,26,52,47,46,41,21,26,51,46,27,36,15,0,47,M23SACA,M
51,45,13,55,54,28,14,62,60,45,50,39,0,13,6,55,4,38,34,M24SAME,M
0,5,50,58,72,40,8,50,47,58,67,18,51,56,67,67,12,79,50,M25MAVI,M
34,46,46,42,20,4,44,29,31,33,14,19,19,27,47,47,4,7,42,M27MUAG,M
8,66,72,68,54,16,0,72,38,68,61,11,47,54,68,54,3,45,68,M28NUCO,M
29,16,4,15,23,26,14,26,23,1,18,20,21,6,25,22,16,17,23,M3ESDIR,M
99,70,109,44,79,109,91,91,83,113,53,64,62,83,10,56,55,109,102,M7FLSAA,M
73,73,62,72,20,70,35,68,74,0,64,9,67,66,76,15,35,15,84,M8AVGUK,M
36,100,49,108,83,108,66,76,108,91,76,35,86,85,74,93,66,1,108,M9SAAND,M
