despues_E_gamma_1,despues_E_gamma_2,despues_E_gamma_3,despues_E_gamma_4,despues_E_gamma_5,despues_E_gamma_6,despues_E_gamma_7,despues_E_gamma_8,despues_E_gamma_9,despues_E_gamma_10,despues_E_gamma_11,despues_E_gamma_12,despues_E_gamma_13,despues_E_gamma_14,despues_E_gamma_15,despues_E_gamma_16,despues_E_gamma_17,despues_E_gamma_18,despues_E_gamma_19,Sujeto,Clase
0,0,18,21,11,0,0,14,0,10,18,0,0,14,19,2,0,0,2,A10GUAC,A
1,19,30,39,19,1,0,16,36,38,34,21,36,45,38,14,18,0,0,A11BRCA,A
1,13,26,29,33,6,5,11,16,33,28,0,1,6,20,18,0,3,12,A12CAPA,A
9,2,34,16,28,13,6,7,22,27,15,13,21,12,14,24,17,12,23,A13RIVI,A
15,7,33,24,8,12,17,6,15,30,37,0,15,24,32,5,0,26,15,A14RARO,A
5,20,30,20,14,3,0,25,23,7,25,19,15,34,44,11,6,5,12,A15GOGA,A
6,3,18,19,3,6,0,8,12,24,24,1,19,28,29,5,6,0,8,A17MUSI,A
2,1,15,20,23,1,1,3,8,23,26,0,2,31,30,18,1,19,10,A18RURI,A
0,3,18,20,7,0,0,7,7,19,9,0,14,11,21,11,1,5,3,A19MOEP,A
8,0,1,27,9,0,0,13,3,6,11,8,13,17,17,12,0,0,20,A1ARVAE,A
0,1,29,24,32,0,0,10,18,30,38,0,10,27,38,23,0,0,14,A21AGLO,A
1,7,20,21,11,0,0,5,22,23,23,0,6,31,23,21,3,0,5,A22SAHE,A
86,86,98,106,0,106,53,106,106,98,35,93,80,98,96,96,96,0,76,A24FLMA,A
0,0,8,7,0,1,0,2,14,11,23,0,10,12,14,4,0,0,8,A27HECE,A
10,22,19,16,0,5,18,24,27,53,38,16,27,28,32,21,7,5,10,A28TOPA,A
3,3,8,8,3,0,0,2,10,12,11,5,8,10,7,2,0,0,1,A52CUCA,A
0,0,6,24,16,6,0,25,19,10,27,3,1,12,27,19,0,0,6,A8ESSAI,A
3,6,30,23,5,0,0,8,15,13,30,0,5,23,13,15,0,0,6,A9AYAND,A
0,0,9,15,13,0,0,3,3,13,20,0,0,17,16,13,0,0,7,M9BENIE,M
5,6,19,22,22,5,0,14,9,26,26,2,4,6,20,6,2,0,16,M10CAUR,M
3,5,25,26,20,1,0,18,11,31,27,0,0,8,22,22,0,1,5,M11BADE,M
5,19,33,14,0,11,11,3,13,19,18,10,16,19,15,1,4,2,0,M12SAES,M
0,2,4,7,0,0,0,3,3,11,7,0,1,0,4,0,0,0,0,M13FECA,M
6,17,15,7,2,9,4,11,17,20,24,4,5,17,10,7,21,7,1,M16ARVE,M
27,37,38,12,20,31,19,16,43,26,41,21,47,33,16,29,21,21,3,M17GOSE,M
8,15,32,14,7,9,0,7,19,27,21,3,13,22,9,15,6,1,0,M18HUME,M
0,6,12,21,10,0,0,2,25,28,35,0,3,16,22,13,3,0,20,M19NAMO,M
0,22,13,36,13,20,0,29,11,39,1,9,16,12,33,3,0,0,19,M21SANA,M
0,2,1,2,3,0,0,1,2,0,0,0,2,1,1,1,0,0,2,M22HUGU,M
0,9,19,13,14,0,0,25,11,26,29,0,3,18,19,15,0,0,3,M23SACA,M
0,34,30,33,5,5,21,11,35,28,33,1,14,30,19,7,11,13,6,M24SAME,M
5,0,8,10,13,0,1,0,3,18,18,1,1,6,11,13,0,0,12,M25MAVI,M
7,7,2,5,4,6,0,2,7,10,7,0,0,3,8,1,0,0,0,M27MUAG,M
0,3,12,17,13,0,0,11,17,27,28,1,7,17,26,12,0,0,10,M28NUCO,M
0,1,12,18,3,0,0,8,9,20,16,0,3,18,19,3,0,0,11,M3ESDIR,M
0,2,8,4,3,0,5,7,1,9,16,0,0,5,6,8,0,3,4,M7FLSAA,M
4,9,18,26,12,6,1,11,20,31,20,0,0,27,24,25,0,3,12,M8AVGUK,M
3,11,5,10,12,9,0,6,10,19,6,0,1,13,21,5,0,0,7,M9SAAND,M
