despues_E_sf_1,despues_E_sf_2,despues_E_sf_3,despues_E_sf_4,despues_E_sf_5,despues_E_sf_6,despues_E_sf_7,despues_E_sf_8,despues_E_sf_9,despues_E_sf_10,despues_E_sf_11,despues_E_sf_12,despues_E_sf_13,despues_E_sf_14,despues_E_sf_15,despues_E_sf_16,despues_E_sf_17,despues_E_sf_18,despues_E_sf_19,Sujeto,Clase
1,12,39,3,10,15,17,9,29,34,24,14,42,42,33,15,27,9,15,B10ESTO,B
14,23,31,10,9,1,1,25,34,21,17,3,14,17,23,0,3,1,2,B11SUPR,B
0,2,12,5,7,3,2,8,5,8,20,5,4,16,22,3,10,1,11,B12LARA,B
3,3,10,0,6,3,0,5,7,6,11,2,7,4,10,10,2,1,3,B13VIGA,B
0,18,10,31,17,0,3,20,19,32,25,0,0,27,42,38,0,10,38,B14FOVA,B
0,0,22,17,12,0,0,9,7,26,24,0,0,22,25,17,1,0,13,B15GOGO,B
6,0,28,9,0,29,18,18,28,16,0,0,5,27,29,11,17,5,3,B17ARTO,B
2,8,11,13,17,3,7,11,15,32,23,3,0,15,0,5,14,13,15,B18CASI,B
3,5,24,5,9,10,1,26,37,32,37,18,13,27,45,27,2,15,42,B20RORA,B
0,0,12,0,1,0,0,10,6,20,20,0,0,16,17,14,0,0,10,B21GUDE,B
12,0,22,0,2,4,0,1,16,19,18,5,15,21,15,15,8,1,0,B22VIPU,B
4,0,20,1,19,1,1,9,10,7,15,4,1,6,21,13,4,10,13,B23VEZE,B
2,5,13,4,0,10,4,0,4,3,5,2,0,4,6,6,4,0,0,B24CECU,B
49,66,58,1,25,55,36,23,55,66,38,40,50,62,58,16,20,42,14,B25MEVI,B
0,15,45,52,40,0,0,26,34,52,33,0,40,47,56,26,3,3,44,B4CAZAD,B
0,0,6,7,1,0,0,0,7,8,8,0,0,3,3,1,0,0,1,B5ARMON,B
0,5,15,21,10,0,2,13,7,22,26,0,3,19,26,24,0,1,16,B6SOMOD,B
14,13,35,37,40,18,3,18,60,18,50,22,16,51,53,33,49,39,46,B7MESEA,B
5,4,0,6,3,0,0,5,4,8,4,3,6,4,8,4,1,0,4,B8RAMOM,B
0,0,13,18,15,0,0,5,2,17,22,0,0,22,17,25,0,0,9,M9BENIE,M
3,8,12,19,14,5,1,8,10,26,17,2,6,5,11,5,4,0,9,M10CAUR,M
8,18,35,28,29,5,0,27,26,44,39,1,1,9,23,28,0,1,14,M11BADE,M
0,3,13,8,0,0,1,3,6,13,13,0,11,8,7,0,1,0,0,M12SAES,M
0,7,16,14,1,0,0,9,12,20,17,1,2,6,15,3,0,0,0,M13FECA,M
5,23,16,6,2,14,5,8,17,19,26,2,11,15,7,4,14,13,0,M16ARVE,M
19,29,40,12,24,21,14,18,30,25,30,16,34,33,20,17,18,11,6,M17GOSE,M
6,17,18,11,8,9,2,8,13,21,22,3,11,21,9,14,11,0,0,M18HUME,M
0,5,7,20,21,0,0,3,13,26,33,0,0,20,23,19,3,1,16,M19NAMO,M
3,24,9,39,17,17,0,17,8,31,13,2,17,15,30,1,5,0,16,M21SANA,M
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,M22HUGU,M
3,12,22,12,14,0,1,19,11,20,25,0,9,24,18,14,0,0,3,M23SACA,M
3,50,54,37,36,34,42,23,45,45,54,1,20,51,31,43,13,21,21,M24SAME,M
5,0,5,9,6,0,0,0,2,8,14,1,1,3,8,5,0,0,2,M25MAVI,M
6,6,0,7,4,6,0,4,6,10,10,1,0,2,5,2,0,0,0,M27MUAG,M
1,16,18,26,21,0,0,17,23,30,36,3,8,21,33,17,0,0,9,M28NUCO,M
0,5,15,19,2,0,0,3,15,20,20,0,0,17,16,3,0,0,15,M3ESDIR,M
1,4,11,6,10,0,6,7,2,12,17,0,0,6,18,7,2,9,8,M7FLSAA,M
6,7,28,26,12,12,6,13,24,37,22,0,0,28,28,19,0,3,11,M8AVGUK,M
13,33,14,20,24,29,0,20,33,44,26,3,6,39,37,19,1,0,29,M9SAAND,M
