despues_E_theta_1,despues_E_theta_2,despues_E_theta_3,despues_E_theta_4,despues_E_theta_5,despues_E_theta_6,despues_E_theta_7,despues_E_theta_8,despues_E_theta_9,despues_E_theta_10,despues_E_theta_11,despues_E_theta_12,despues_E_theta_13,despues_E_theta_14,despues_E_theta_15,despues_E_theta_16,despues_E_theta_17,despues_E_theta_18,despues_E_theta_19,Sujeto,Clase
15,2,4,19,19,0,0,5,21,22,17,15,20,27,17,17,19,19,15,A10GUAC,A
14,61,47,54,33,10,34,77,61,84,44,33,74,55,54,37,49,43,69,A11BRCA,A
63,51,37,51,22,37,68,66,72,51,62,56,36,6,76,40,4,4,17,A12CAPA,A
35,2,47,11,35,36,10,13,43,29,3,43,30,37,35,22,13,10,38,A13RIVI,A
43,48,34,59,47,48,60,50,53,9,19,17,48,17,11,47,4,4,0,A14RARO,A
39,56,43,40,1,5,1,27,65,38,40,50,56,52,56,6,24,21,37,A15GOGA,A
98,126,126,94,119,98,119,119,119,115,28,77,119,126,94,73,66,77,73,A17MUSI,A
28,10,1,0,19,10,10,7,27,0,0,28,2,2,1,19,18,16,15,A18RURI,A
56,56,60,25,13,56,25,10,44,56,53,52,9,47,41,16,37,59,35,A19MOEP,A
6,3,7,29,21,3,23,27,6,1,29,6,3,32,29,27,6,3,27,A1ARVAE,A
12,8,6,10,5,5,0,3,15,16,8,16,18,14,11,6,13,18,8,A21AGLO,A
14,11,41,38,38,16,6,40,15,36,36,16,19,39,39,39,12,7,39,A22SAHE,A
111,132,132,126,28,126,119,126,119,125,126,21,125,125,119,126,125,105,126,A24FLMA,A
44,44,58,26,0,42,0,16,58,37,14,53,40,53,42,21,36,33,46,A27HECE,A
47,37,27,27,17,9,10,35,28,20,52,16,10,34,41,31,35,2,11,A28TOPA,A
75,66,59,27,6,30,48,28,75,56,81,65,49,42,69,41,28,49,42,A52CUCA,A
12,71,64,55,3,16,49,57,12,67,55,16,40,60,62,12,69,42,60,A8ESSAI,A
29,20,21,26,1,20,16,19,15,22,21,25,20,18,28,8,25,12,11,A9AYAND,A
0,0,6,8,8,0,6,8,0,13,5,6,11,15,11,6,0,3,8,M9BENIE,M
53,32,31,35,39,5,13,20,35,59,34,38,35,71,38,39,15,32,66,M10CAUR,M
20,52,37,53,24,10,16,48,61,68,53,16,64,27,37,51,27,58,37,M11BADE,M
33,29,41,16,2,36,21,3,36,35,9,26,38,33,3,4,9,15,10,M12SAES,M
3,21,29,6,0,0,23,3,21,27,8,0,21,0,1,0,21,23,0,M13FECA,M
40,25,34,22,38,9,3,1,26,30,40,41,3,41,27,4,4,8,3,M16ARVE,M
41,34,4,2,2,44,28,2,42,30,5,41,41,29,6,4,41,37,5,M17GOSE,M
27,30,16,31,13,8,22,19,25,22,27,27,23,15,15,23,19,10,15,M18HUME,M
35,8,34,44,22,14,16,2,39,3,29,41,1,49,51,41,24,8,43,M19NAMO,M
45,66,75,95,42,53,89,60,89,47,19,58,89,41,61,1,53,60,46,M21SANA,M
26,76,68,51,88,68,61,68,84,77,77,26,69,41,77,49,15,1,40,M22HUGU,M
8,39,23,64,45,20,17,38,39,39,59,3,47,44,49,36,9,33,18,M23SACA,M
9,22,37,31,11,11,0,4,26,16,39,9,28,17,17,9,32,32,22,M24SAME,M
57,24,75,64,51,6,0,36,58,36,64,24,75,64,64,42,9,39,34,M25MAVI,M
32,48,10,9,29,31,15,28,56,48,13,25,51,42,35,34,25,18,12,M27MUAG,M
6,10,51,48,0,6,6,28,19,30,48,10,44,48,43,10,23,43,31,M28NUCO,M
1,33,28,34,6,1,16,8,33,33,34,3,33,41,19,6,20,44,15,M3ESDIR,M
3,34,27,47,25,25,28,15,47,42,44,34,36,27,41,11,34,3,29,M7FLSAA,M
49,70,66,78,30,67,59,28,57,57,72,55,89,43,53,70,6,56,6,M8AVGUK,M
25,11,19,32,23,15,15,11,25,29,6,26,29,26,17,3,10,15,23,M9SAAND,M
