despues_Gio_alpha_1,despues_Gio_alpha_2,despues_Gio_alpha_3,despues_Gio_alpha_4,despues_Gio_alpha_5,despues_Gio_alpha_6,despues_Gio_alpha_7,despues_Gio_alpha_8,despues_Gio_alpha_9,despues_Gio_alpha_10,despues_Gio_alpha_11,despues_Gio_alpha_12,despues_Gio_alpha_13,despues_Gio_alpha_14,despues_Gio_alpha_15,despues_Gio_alpha_16,despues_Gio_alpha_17,despues_Gio_alpha_18,despues_Gio_alpha_19,Sujeto,Clase
9.0333,5.2739,7.3488,3.7985,5.099,4.8059,0.69632,0.69632,8.8617,7.8317,10.7462,8.8307,11.9938,9.6978,10.3998,7.216,0.69866,5.1763,6.3562,B10ESTO,B
9.0612,9.7881,11,7.488,7.0361,9.4849,2.9262,8.5347,11.0054,9.3722,9.5863,7.1636,7.926,10.7929,9.1402,2.3131,3.6749,2.1432,3.0445,B11SUPR,B
6.725,7.1293,9.1481,5.878,7.7571,7.9499,0.76838,6.8533,9.0038,3.6849,5.925,5.5594,7.2182,3.0555,6.536,4.1413,6.1164,8.4859,6.1105,B12LARA,B
3.6692,9.0916,9.1699,7.6017,7.6992,3.5452,8.0287,5.8903,10.1255,10.5491,9.2647,4.4213,7.1881,10.3314,5.6725,6.6544,8.473,6.3169,4.0872,B13VIGA,B
3.8251,4.4961,5.0119,6.1812,6.3793,2.9553,1.3853,0,5.5887,9.2765,7.6206,3.6858,5.0197,8.481,7.8351,7.6056,0.70401,5.9785,8.16,B14FOVA,B
5.933,3.9158,6.0952,6.9699,2.1816,6.9472,2.2764,1.5719,7.2779,6.665,4.1969,5.8185,4.488,4.2261,3.4529,2.3342,3.0211,0.76971,1.6505,B15GOGO,B
6.3215,3.7998,4.9141,4.1275,0,7.0024,5.0188,4.9628,4.5477,3.6566,3.8408,3.8055,3.0508,6.5737,7.4037,6.2284,8.3765,7.1357,5.8176,B17ARTO,B
4.4799,11.3427,11.096,9.1526,1.6122,10.2849,8.7819,7.9845,11.1853,9.9079,9.2462,6.8,3.5161,10.8205,2.4055,2.1535,6.5631,7.06,9.9726,B18CASI,B
3.8761,6.0764,9.2849,6.9813,2.8749,5.2804,9.9931,9.1555,5.7429,7.148,7.8046,2.1638,4.4354,1.5936,7.5521,4.714,2.1618,7.1239,7.9157,B20RORA,B
0,4.5175,8.9049,3.0607,3.1128,0.68788,0,4.6594,7.3272,6.9678,8.8996,0.72612,4.8057,6.0404,8.3095,3.943,1.417,2.2089,4.612,B21GUDE,B
