despues_Gio_beta_1,despues_Gio_beta_2,despues_Gio_beta_3,despues_Gio_beta_4,despues_Gio_beta_5,despues_Gio_beta_6,despues_Gio_beta_7,despues_Gio_beta_8,despues_Gio_beta_9,despues_Gio_beta_10,despues_Gio_beta_11,despues_Gio_beta_12,despues_Gio_beta_13,despues_Gio_beta_14,despues_Gio_beta_15,despues_Gio_beta_16,despues_Gio_beta_17,despues_Gio_beta_18,despues_Gio_beta_19,Sujeto,Clase
2.2539,2.2332,5.9976,6.5824,5.625,0.72338,2.2853,5.6203,5.3728,5.11,7.735,3.1372,3.8989,5.6316,7.4294,3.9871,2.3209,0,3.2023,A10GUAC,A
0.86733,4.139,7.0652,7.5674,4.0185,2.3762,0,5.8764,8.2861,8.5275,6.6463,5.5442,6.578,8.375,8.2825,4.9123,4.6589,0,0,A11BRCA,A
2.363,3.9768,7.5021,8.6929,9.4634,0,2.3641,5.0244,9.025,7.2445,8.7951,0,2.3969,4.0515,7.7568,8.3179,1.5613,0.78483,4.002,A12CAPA,A
3.1345,0,8.218,5.7758,6.3471,0,0.75683,0.75014,7.6174,8.4129,5.7742,5.4561,5.3627,4.3581,3.2321,4.6193,4.1276,0,1.5639,A13RIVI,A
6.3707,3.1975,9.2867,7.6219,0.76575,2.3714,7.9432,3.2606,7.3821,9.4277,9.2465,5.7069,8.3566,9.6103,7.6027,0.76575,0,9.7729,2.4066,A14RARO,A
3.0544,4.8614,9.6575,7.7092,5.7254,2.2493,0.72208,6.4711,5.7504,6.3465,8.495,4.0191,4.8323,9.479,7.9643,5.6088,2.4041,1.5216,7.2311,A15GOGA,A
3.9122,3.9468,5.1251,5.2067,3.2154,5.6204,0,4.8807,8.2647,7.704,10.9292,7.9185,7.9069,7.5293,6.9298,4.1255,5.7244,0,6.4975,A17MUSI,A
2.3762,0.83005,4.2548,5.9521,0,0.79575,0,4.6499,8.9331,7.6257,7.0441,0,4.063,7.9083,7.5241,1.5005,3.1505,3.9383,2.4064,A18RURI,A
2.3088,0,7.4022,4.9059,4.2941,6.2271,4.6029,3.3565,7.2126,4.1987,3.8898,0,5.6442,7.4084,11.5314,7.4119,3.911,2.3388,2.5201,A19MOEP,A
5.4778,2.1806,2.1408,8.0546,5.6651,3.7903,2.3434,6.7701,4.5843,6.8741,7.3392,4.6064,5.9774,5.5783,7.2319,7.1036,3.772,2.199,6.0725,A1ARVAE,A
1.529,2.2481,7.0327,8.2905,8.0122,2.25,1.4981,4.7851,7.7403,8.5444,9.4203,0,6.2245,8.1204,9.0597,8.8574,2.2042,1.544,5.7786,A21AGLO,A
2.2934,1.5011,1.5082,4.9788,3.9235,0,0,0.74231,4.8952,8.2033,6.9035,1.5527,2.4178,4.2124,6.1439,5.2817,1.5241,0,3.4275,A22SAHE,A
13.2245,14.1822,14.0079,14.888,0,14.3449,12.7647,14.723,15.0367,15.6063,9.5343,13.9746,13.7168,15.6481,14.8349,14.6931,14.7322,2.377,15.6472,A24FLMA,A
0,1.4947,5.5291,6.121,0.76396,3.8292,0,0,7.1565,8.0615,7.1034,4.7396,0.7204,6.4165,6.4644,3.14,3.0322,5.4031,5.7266,A27HECE,A
4.3044,4.3368,7.5497,7.4928,5.8691,4.4172,4.8147,5.1014,4.7164,5.1538,5.8567,6.7533,5.147,3.1796,7.8042,6.7034,4.8224,4.0069,6.7105,A28TOPA,A
2.4406,2.4967,8.1536,6.8899,5.0479,3.2092,0.77005,6.467,8.8923,7.9155,7.896,3.9408,4.8503,6.8026,6.7901,3.4448,0.77098,2.286,2.4085,A52CUCA,A
1.5697,3.1607,0.83853,5.8415,4.446,2.3606,1.5675,5.9069,6.6424,5.0369,6.8902,3.8807,3.428,3.3768,7.2892,6.999,2.3032,0.81931,4.1666,A8ESSAI,A
0.83934,4.186,9.7572,5.7404,2.3688,2.2532,0,7.0451,4.1069,6.7108,5.0948,0.83934,4.6183,6.7835,4.0436,5.3909,3.0512,0,4.5137,A9AYAND,A
0,2.4056,2.441,5.9984,6.1466,1.7708,2.528,4.9733,3.2009,4.9886,6.2088,0.76901,3.1074,7.8221,4.9786,4.2612,1.5585,0.80394,0.81898,M9BENIE,M
4.0382,5.5565,5.0219,6.7288,4.9397,1.5787,0.7419,3.8881,4.9274,7.8159,8.1837,3.9531,2.3349,3.8066,4.907,6.258,1.4683,1.4491,6.9821,M10CAUR,M
3.3525,3.3276,7.2576,7.0356,7.7009,6.2299,1.4956,4.3051,7.1921,7.9131,8.4622,3.0726,0,8.803,9.0363,8.3423,2.1971,2.1854,5.0352,M11BADE,M
3.5491,6.9778,7.6741,6.6789,5.8073,5.3448,7.5754,5.5046,5.4668,6.976,9.1726,4.5787,6.994,7.6342,8.0624,4.7271,7.6412,2.2158,4.3342,M12SAES,M
0.7861,2.1662,3.164,2.4643,1.7116,0,0.7097,0.7063,4.642,5.6171,3.4293,2.2327,1.6073,1.7421,3.8694,0,0,0.7063,0.71029,M13FECA,M
2.4031,6.6027,7.2907,6.3686,6.3731,3.9233,2.3592,10.2406,9.6011,9.3541,11.4206,8.6053,8.9205,6.7382,4.9421,5.4895,9.5774,4.0507,2.5062,M16ARVE,M
4.7465,6.5801,6.2467,2.4885,3.1851,4.0279,2.2558,4.0776,7.5142,7.1788,4.5858,5.5629,6.7369,7.0594,4.5301,2.5239,3.0562,2.9981,2.1893,M17GOSE,M
3.0956,4.9933,5.9268,5.8486,4.7006,3.0891,2.2926,3.9524,5.788,5.1043,8.1303,3.1172,4.2408,5.8747,6.4601,4.8883,4.5976,4.573,2.3799,M18HUME,M
1.5016,4.5887,5.5885,9.3807,8.4429,3.7972,2.9669,5.5605,6.1222,9.2542,9.6602,0.77654,0.72984,8.3464,7.2418,7.5756,2.9777,2.2237,6.5391,M19NAMO,M
0.7159,11.9216,10.9868,11.3328,9.8499,12.222,1.4391,11.169,10.067,11.4911,9.8721,6.5019,11.6149,10.586,12.8928,6.4381,2.8187,0,9.9081,M21SANA,M
0.87065,6.2313,9.6089,8.292,2.5737,6.004,4.0203,4.8663,8.1666,6.9057,0.7555,0.87065,8.7123,5.9472,9.8705,2.6528,2.3087,3.1288,3.3856,M22HUGU,M
1.5049,7.4447,8.5341,9.0499,6.4992,0.88826,2.4388,4.9068,8.351,7.7521,9.3123,0.77051,8.1123,3.0164,6.3711,8.8911,2.2873,1.5218,3.8794,M23SACA,M
3.9995,6.1411,8.9307,8.554,3.2674,3.1557,8.0171,4.7012,9.5307,7.9449,6.0747,3.1607,5.5911,7.0845,5.1332,7.9566,6.2293,3.2746,2.3573,M24SAME,M
4.752,0,4.2521,6.0219,5.5989,1.5781,1.5255,4.8462,5.1193,6.8521,7.9192,2.5123,2.5849,4.7304,4.1942,3.2701,2.3349,3.88,2.4118,M25MAVI,M
