despues_Gio_delta_1,despues_Gio_delta_2,despues_Gio_delta_3,despues_Gio_delta_4,despues_Gio_delta_5,despues_Gio_delta_6,despues_Gio_delta_7,despues_Gio_delta_8,despues_Gio_delta_9,despues_Gio_delta_10,despues_Gio_delta_11,despues_Gio_delta_12,despues_Gio_delta_13,despues_Gio_delta_14,despues_Gio_delta_15,despues_Gio_delta_16,despues_Gio_delta_17,despues_Gio_delta_18,despues_Gio_delta_19,Sujeto,Clase
0.69613,5.6848,8.4184,4.9737,2.5505,7.8047,4.0998,2.1514,7.6792,7.4998,8.1319,8.43,8.0718,8.064,5.6405,2.6281,5.4134,4.6128,2.9858,B10ESTO,B
4.0898,11.813,13.4761,13.6633,13.5206,11.2204,11.0237,11.1391,11.8114,11.7145,8.0598,4.1234,10.2379,10.2269,7.3888,10.9267,8.6356,10.9383,10.2617,B11SUPR,B
4.6465,8.5013,7.1602,5.0795,2.7079,8.5481,8.6429,7.8631,8.9697,9.6294,5.1068,3.2904,9.0109,10.3644,8.6903,6.4904,6.7343,9.1837,8.3798,B12LARA,B
1.4661,5.4194,5.2864,4.9396,5.1974,2.064,2.164,2.901,5.4246,5.1275,5.2241,3.6564,3.2301,3.2931,4.67,5.1004,4.6709,2.8247,5.1326,B13VIGA,B
7.8788,8.8033,8.4626,3.0189,6.5931,7.0398,8.5974,6.9782,9.4704,7.0714,5.1574,4.3785,9.0979,8.7332,4.6497,6.5998,5.1267,2.5062,4.4593,B14FOVA,B
9.994,12.0565,9.5065,11.5751,2.7425,11.3784,0.61992,1.4005,11.9619,10.593,12.3219,10.8138,10.5771,10.8904,12.2097,10.6465,9.2796,5.5376,6.1837,B15GOGO,B
4.0877,9.2699,9.395,2.7368,3.5633,8.3873,9.8599,6.9234,8.362,2.1763,3.4595,5.3629,9.9064,8.5812,3.8025,3.8543,6.0457,8.5904,7.8471,B17ARTO,B
3.5919,9.0134,9.4508,12.1666,11.819,8.8501,8.9329,9.1797,11.5345,11.8259,10.5381,11.3957,5.1234,12.6438,5.8401,3.4128,6.946,8.5931,10.0517,B18CASI,B
11.7413,12.6953,10.6161,11.1823,10.0238,1.6143,10.8394,12.1769,11.5569,5.6675,1.3068,12.1139,11.7293,9.2569,12.2598,12.3073,11.6371,12.2825,3.6775,B20RORA,B
7.3539,9.0531,11.2857,0.60818,6.1956,7.1673,8.6516,7.3883,8.9469,10.3754,7.1979,4.7293,5.6453,9.6448,11.3239,6.2124,1.8303,10.1621,9.3505,B21GUDE,B
