despues_Gio_sf_1,despues_Gio_sf_2,despues_Gio_sf_3,despues_Gio_sf_4,despues_Gio_sf_5,despues_Gio_sf_6,despues_Gio_sf_7,despues_Gio_sf_8,despues_Gio_sf_9,despues_Gio_sf_10,despues_Gio_sf_11,despues_Gio_sf_12,despues_Gio_sf_13,despues_Gio_sf_14,despues_Gio_sf_15,despues_Gio_sf_16,despues_Gio_sf_17,despues_Gio_sf_18,despues_Gio_sf_19,Sujeto,Clase
1.62,5.7842,10.4306,2.4318,5.1744,5.1659,5.8389,5.1706,9.643,9.8082,7.7463,5.1828,11.4063,11.3886,10.4192,7.9535,7.603,4.2571,6.0433,B10ESTO,B
7.4532,8.432,9.7059,4.925,6.7141,1.7312,1.683,9.1525,9.6235,7.1436,6.3161,3.3731,7.5703,6.242,7.9589,2.6222,3.3974,2.4297,3.3442,B11SUPR,B
2.5566,2.6121,6.0002,4.212,4.3846,5.0577,2.5483,5.2083,4.3356,5.1678,8.1827,4.2225,5.1421,8.6367,9.6167,3.4619,5.9374,1.6975,6.0895,B12LARA,B
4.9949,3.2452,7.6596,1.6414,5.194,3.3581,0,3.39,5.1637,4.6277,6.1848,3.3587,6.0648,4.258,7.0077,5.3927,3.296,1.6721,2.6788,B13VIGA,B
0.81755,5.8968,4.1772,8.7981,6.0789,1.6286,2.5698,6.9556,7.6134,8.8371,7.8893,0,0.8203,7.9376,10.653,9.7244,0,4.2328,9.7288,B14FOVA,B
0.81708,1.6074,6.9521,7.0699,5.7749,0.80092,0.80096,4.9785,5.7459,7.9237,8.8207,1.6124,1.6324,7.5775,8.2063,6.1656,2.4269,1.5973,5.2768,B15GOGO,B
4.2002,0.80768,8.568,4.2031,1.6594,9.3636,7.6908,6.9494,9.2428,6.0318,0,1.6701,4.1254,8.5311,9.4671,6.9316,6.7069,3.4439,4.2471,B17ARTO,B
2.5338,5.9707,6.0432,7.0408,7.0117,5.1609,4.2895,6.2706,7.0589,10.5881,8.7648,4.264,1.7393,6.1434,0.87805,3.5657,6.8701,5.1363,6.8526,B18CASI,B
2.6658,4.2511,7.7887,3.388,4.1664,5.9466,1.6436,8.4688,10.2724,8.8995,9.8328,6.7569,6.7497,7.7331,11.4482,8.6899,2.4801,4.9566,11.3504,B20RORA,B
0.77002,0.79042,5.1584,0,1.5868,0.77002,0,4.919,4.116,6.7949,6.9807,0.80369,0,5.9082,6.1144,5.7584,0.80369,0,4.0979,B21GUDE,B
5.5769,0.7984,7.3736,0,2.678,3.2529,0,1.8784,5.7909,6.8891,6.7226,3.2939,6.5095,7.7932,5.8592,6.5315,4.785,2.4368,0,B22VIPU,B
3.4295,0,8.7578,2.4983,6.7529,1.7027,1.641,5.184,8.2375,4.5536,6.3368,3.4219,1.627,4.2691,7.9852,6.0659,3.2957,4.9786,5.2913,B23VEZE,B
