durante_C_alpha_1,durante_C_alpha_2,durante_C_alpha_3,durante_C_alpha_4,durante_C_alpha_5,durante_C_alpha_6,durante_C_alpha_7,durante_C_alpha_8,durante_C_alpha_9,durante_C_alpha_10,durante_C_alpha_11,durante_C_alpha_12,durante_C_alpha_13,durante_C_alpha_14,durante_C_alpha_15,durante_C_alpha_16,durante_C_alpha_17,durante_C_alpha_18,durante_C_alpha_19,Sujeto,Clase
0.41667,0.46667,0.46429,0,0.33333,0.53571,0.64444,0.46667,0.57778,0.58182,0.4,0.64286,0.78571,0.69444,0.53571,0.6,0.69444,0.58333,0.66667,B10ESTO,B
0.91111,0.67273,0,1,0.58182,0.91111,1,0.5,1,0.74545,0.66667,0.97222,0.91111,0.2,0.5,0.57692,0.97222,0.4,1,B11SUPR,B
0.80952,0.67857,0.33333,0.7,0.46429,0.7619,0.5,0.66667,0.55556,0.5,0.53333,0.80952,0.67857,0.4,0.52381,0.83333,1,0.52778,0.5,B12LARA,B
0.88889,0.94444,0.59048,0.80952,0.93333,1,0.6,1,0.86667,0.75758,0.71111,0.94444,0.70513,0.67033,0.71111,1,0.69091,0.83636,0.60256,B13VIGA,B
1,0.8,0.75,0.78571,1,0.5641,0.6,0.6,0.61111,0.73333,0.89286,0.6,0.66667,0.61818,0.62121,0.66667,0.5,0.5641,0.6,B14FOVA,B
0.75758,0.87273,0.87273,0.46429,1,0.83636,0.89286,0.83333,0.81818,0.83636,0.61818,1,0.73077,0.62857,0.62857,0.6,0.83636,0.8,0.78571,B15GOGO,B
0.57778,NaN,0.61905,0.57778,0.57778,0.56364,0.72222,0.7619,0.86667,0.73333,1,0.64444,1,0.16667,0.48889,0.63889,0.5303,0,0.6,B17ARTO,B
0.55556,0.57576,0.48889,0.83333,0.5,0.85714,0.82143,0.46429,0.61818,0.54545,0.73333,0.58333,0.80952,0.44872,0.90476,0.7,0.66667,0.8,0.57143,B18CASI,B
1,0.5,0.57143,0.4,0.5,0.6,0.8,0,0.38095,0.6,0.58333,0.38182,0.73333,0.64286,0.61111,0.33333,0.46667,0.64286,0.80952,B20RORA,B
1,NaN,0.78571,NaN,1,1,NaN,0.33333,0.72222,0.92857,0.63889,0.4,0.92857,0.92857,0.92857,0.71429,1,0.66667,0.92857,B21GUDE,B
0.88889,NaN,0.73077,NaN,0.42857,0,0.88889,0.6,0.64444,0.73077,0.75556,0.64103,0.67273,0.81818,0.96429,0.6,0.81818,0.66667,0.91111,B22VIPU,B
1,0.83333,NaN,0.65385,0.58333,1,0.7619,0.8,0.65385,0.76364,0.5,1,0.86667,0.61905,0,0.42857,0.88889,0.65385,NaN,B23VEZE,B
0.61905,0.56364,0.62222,0.75,0.66667,1,0.16667,NaN,0.38095,0.56061,0.83333,0.67857,0.5,0.65455,0.83333,0.63636,0,NaN,0.71429,B24CECU,B
0.60606,0.54545,0.59091,0.66667,0.63889,0.77778,0.72222,0.5,0.60714,0.66667,0.71111,0.46667,0.58333,0.6,0.71429,0.71111,0.71429,0.5,0.86667,B25MEVI,B
0.90476,0.63736,0.65152,0.86667,0.60714,0.77778,0,0.6,0.81818,0.83333,0.66667,0.69697,0.69231,0.72727,0.54286,1,0.88889,0.95238,0.66667,B4CAZAD,B
0.38889,0.66667,0.54545,0.72222,0.75,0.53571,0.85714,0.68889,0.8,0.52564,1,0.83333,0.7,0.92857,0.92857,NaN,0.66667,0.33333,NaN,B5ARMON,B
0.46429,0.90476,0.4,0,0,NaN,0,NaN,0.69444,0.69444,0.71429,1,0.7619,0.62222,0.75,0.71429,0.6,0,0.66667,B6SOMOD,B
1,0.77778,0.6,0.64286,0.7619,0.96429,0.91667,1,0.61538,0.69444,0.64286,0.91667,0.72727,0.63636,0.75,0.61111,0.72727,0.63889,0.6,B7MESEA,B
0.64444,0.64762,0.72222,0.76364,0.69231,0.83333,1,0.78788,0.8,0.73333,0.69231,0.9,0.64762,0.74242,0.71429,0.78182,0.75,0.78788,0.70513,B8RAMOM,B
0.81818,0.75758,0.69697,0.73333,0.65714,0.7033,0.75,0.76364,0.82222,0.74242,0.74545,0.71111,0.70513,0.61667,0.71429,0.85714,0.90476,0.69231,0.93333,M9BENIE,M
0.70909,0.92857,0.85714,0.7619,0.66667,0.68889,0.95238,0.61111,0.77778,0.57692,0.51515,0.85714,0.63636,0.53333,0.61111,0.86667,1,0.8,0.71429,M10CAUR,M
0.7619,0.62222,0.49091,0.7,0.33333,0.61905,NaN,1,0.51515,1,0.6,0.86667,0.64286,0.67857,0.61111,1,0.42857,0.83333,0.80952,M11BADE,M
0.52381,0.38095,0.2,0.4,0.5,0.33333,0.33333,0.66667,0.9,0.47619,0.5,0.53333,0.52381,1,0.5,0.66667,0.5,0.66667,0.33333,M12SAES,M
0.87273,0.93333,0.8,0.67949,1,NaN,0.67273,0.65455,0.76364,0.87273,0.49091,0.87273,0.88889,1,0.6,0.6,0.94444,1,0.4,M13FECA,M
0.80556,0.62222,0.33333,0.71111,0.57143,0.42857,0.80952,0.44872,0.82143,0.51515,0.68889,0.90476,0.6,0.93333,0.55556,1,NaN,0.66667,0.46667,M16ARVE,M
0.84615,0.89744,NaN,1,NaN,1,NaN,0.79487,0.89744,0.75758,0.98182,0.84615,0.84615,0.88462,0.84615,0.92857,0.89744,0.90909,0.92727,M17GOSE,M
0.6,0.59048,0.86111,0.61538,0.67857,0.68889,0.71111,0.80952,0.91667,0.91667,0.74545,NaN,0.85714,0.8,0.78182,0.82143,0.65152,0.6,NaN,M18HUME,M
0.57143,0.83333,NaN,0.5,0.8,0.5,0.2,1,0.63636,0.62121,0.69444,0.68889,0.68889,0.77778,0.63636,0.53571,0.65455,0.46667,0.59091,M19NAMO,M
0.66667,0.6,0.44444,0.61111,1,0.4,0.66667,0.75,0.53571,0.52381,0.75,0.5,0.5,0.6,0.75,0,0.66667,0.53333,0.93333,M21SANA,M
