durante_C_theta_1,durante_C_theta_2,durante_C_theta_3,durante_C_theta_4,durante_C_theta_5,durante_C_theta_6,durante_C_theta_7,durante_C_theta_8,durante_C_theta_9,durante_C_theta_10,durante_C_theta_11,durante_C_theta_12,durante_C_theta_13,durante_C_theta_14,durante_C_theta_15,durante_C_theta_16,durante_C_theta_17,durante_C_theta_18,durante_C_theta_19,Sujeto,Clase
0.80952,0.46667,0.44444,0,NaN,1,NaN,0.33333,1,0.53333,0.57143,0.80952,0.83333,0.53333,0.58333,0.53333,0.80952,1,0.60714,B10ESTO,B
0.81818,0.75758,0.8,0.82222,0.6,0.96429,0.85455,0.78788,0.49451,0.66667,0.8,0.8,0.8,0.51111,0.62637,0.68182,0.73333,0.85714,0.64103,B11SUPR,B
1,0.94872,0.89744,0.77143,0.5,1,1,0.7619,0.94872,0.94872,0.79048,0.86813,0.85714,0.85714,0.61538,1,0.79048,0.73333,0.5,B12LARA,B
NaN,0.7619,0.75556,1,0.74545,1,1,0.63736,0.71111,0.75556,0.63736,0.63889,0.72727,0.65934,0.8,1,0.69231,0.91667,0.96429,B13VIGA,B
0.7,0.77273,0.55556,0.54545,0.5,0.33333,0.5,0.53333,0.78182,0.91111,0.77273,0.7,0.75758,0.81818,0.64835,0.88889,0.80952,0.8,0.81818,B14FOVA,B
0.62222,0.71429,0.68571,0.68571,0.82143,0.8,1,0.93333,0.96364,0.82051,0.74725,0.66667,0.96364,0.96364,0.84848,0.74359,1,0.84444,0.71429,B15GOGO,B
0.75556,0.79121,0.72381,0.76923,0.92857,0.78788,0.80303,0.83636,0.76923,0.74286,1,0.75,0.81818,0.74286,0.79487,1,0.78205,0.66667,0.79487,B17ARTO,B
0.5,0.59341,0.65455,0.77273,0.77273,0.7,0.61538,0.72727,0.74242,0.64103,1,0.66667,0.71111,0.66667,0.95238,0.8,0.7,0.65455,0.66667,B18CASI,B
0.68182,0.74545,0.88889,0.65152,0.83333,0.77778,0.33333,NaN,0.74545,0.83636,0.83636,0.8,0.66667,0.83636,0.75,0.66667,0.83636,0,0,B20RORA,B
NaN,0.57778,0.47222,0.85714,0.82143,0.53333,0.52564,0.8,0.61111,0.66667,0.66667,0.69444,0.52564,0.66667,0.71429,0.85714,0.62222,1,0.75,B21GUDE,B
0.74545,0.8,0.92857,0.86111,0.71429,0.75,0.75,0.66667,0.77778,1,0.66667,0.74545,0.75,1,0.5,1,0.63636,0.3,0.5,B22VIPU,B
0.71429,0.66667,0.75556,0.53571,0.67857,0.5,0.61111,1,0.77778,0.63636,0.57692,0.63636,0.77778,0.8,0.65455,0.4,0.88889,0.80952,0,B23VEZE,B
0.75,0.80556,0.85714,0.75,NaN,0.66667,NaN,NaN,0.74242,0.81818,0.70513,0.73333,0.6381,0.73077,0.75758,0.78182,0.93333,0.76364,0.94444,B24CECU,B
0.75,0.55556,0.71429,0.78571,0.7,0.66667,0.46429,0.42857,0.68889,0.5,0,0.75,0.68889,0.33333,0.7,0.46429,0.46429,0,0.35714,B25MEVI,B
