durante_E_alpha_1,durante_E_alpha_2,durante_E_alpha_3,durante_E_alpha_4,durante_E_alpha_5,durante_E_alpha_6,durante_E_alpha_7,durante_E_alpha_8,durante_E_alpha_9,durante_E_alpha_10,durante_E_alpha_11,durante_E_alpha_12,durante_E_alpha_13,durante_E_alpha_14,durante_E_alpha_15,durante_E_alpha_16,durante_E_alpha_17,durante_E_alpha_18,durante_E_alpha_19,Sujeto,Clase
13,33,33,40,28,3,3,29,49,40,29,7,10,41,46,45,5,5,9,A10GUAC,A
21,25,27,18,0,21,0,4,34,27,20,10,39,30,1,1,2,12,2,A11BRCA,A
0,3,9,3,3,1,4,0,14,8,0,12,10,3,2,9,5,10,3,A12CAPA,A
14,0,20,24,7,0,2,17,13,11,20,14,10,11,18,3,1,5,2,A13RIVI,A
118,110,98,111,111,98,28,110,118,118,36,104,118,111,111,78,104,1,111,A14RARO,A
16,16,10,10,0,1,3,13,19,15,10,19,19,16,13,0,3,3,12,A15GOGA,A
62,14,65,78,19,4,12,43,24,77,74,25,73,52,54,40,33,35,62,A17MUSI,A
0,40,51,50,38,34,11,46,7,42,42,1,5,42,47,42,4,10,1,A18RURI,A
12,10,12,10,9,11,6,9,11,14,14,6,13,16,18,6,7,16,19,A19MOEP,A
23,3,8,21,3,23,13,3,12,12,13,25,10,22,5,6,5,3,3,A1ARVAE,A
0,86,111,122,76,110,86,110,111,122,122,76,122,122,122,109,109,65,88,A21AGLO,A
0,13,53,52,17,6,20,29,53,41,37,14,47,61,37,15,25,0,41,A22SAHE,A
120,120,120,120,0,120,120,120,120,120,0,120,120,120,120,120,120,120,120,A24FLMA,A
27,22,12,14,16,41,22,1,35,62,15,22,34,40,27,9,42,38,25,A27HECE,A
3,20,4,10,3,6,0,9,9,24,14,15,10,9,17,11,3,0,16,A28TOPA,A
1,1,52,55,50,1,3,36,6,53,53,1,25,42,44,44,1,52,44,A52CUCA,A
21,13,2,28,24,8,0,26,13,2,23,15,9,19,34,26,3,4,21,A8ESSAI,A
39,40,27,15,1,38,34,0,43,46,13,39,33,34,6,1,1,0,1,A9AYAND,A
45,50,46,33,69,64,21,42,37,49,41,32,55,74,20,24,19,63,14,M9BENIE,M
39,26,24,16,14,31,20,22,35,45,34,24,35,24,22,13,6,12,20,M10CAUR,M
16,28,27,7,2,13,0,6,34,15,9,13,18,19,22,1,9,5,17,M11BADE,M
11,8,3,6,5,2,2,2,9,10,5,8,11,1,5,2,3,2,1,M12SAES,M
48,42,44,53,3,0,37,36,42,48,27,48,40,3,6,9,34,1,4,M13FECA,M
29,28,2,32,16,12,17,35,23,34,31,19,33,14,20,3,0,2,7,M16ARVE,M
77,70,0,1,0,36,0,62,70,50,54,77,77,69,77,26,70,60,51,M17GOSE,M
6,62,31,48,19,31,32,17,33,33,41,0,18,36,43,23,43,27,0,M18HUME,M
12,5,0,3,12,3,2,1,42,41,25,31,31,35,35,15,36,7,39,M19NAMO,M
2,6,20,22,10,6,10,21,15,11,21,5,5,9,21,0,10,8,14,M21SANA,M
21,114,113,113,101,114,114,113,114,113,55,21,124,113,113,101,89,113,113,M22HUGU,M
3,5,11,13,8,10,6,8,12,9,13,6,15,8,8,14,2,2,3,M23SACA,M
21,25,28,1,5,32,2,0,31,15,4,30,30,35,5,8,13,35,7,M24SAME,M
9,0,3,6,1,14,5,2,15,2,1,11,8,0,1,1,3,8,0,M25MAVI,M
2,46,11,51,43,2,0,45,59,59,54,26,45,55,54,17,49,24,0,M27MUAG,M
27,0,21,6,5,0,3,5,27,28,3,27,27,27,23,5,27,0,0,M28NUCO,M
81,64,6,57,103,103,33,64,74,91,106,81,103,76,35,42,81,93,33,M3ESDIR,M
28,30,47,28,34,23,38,45,19,18,28,21,41,16,6,39,34,17,37,M7FLSAA,M
35,48,37,25,32,33,16,5,48,28,17,30,25,35,19,16,24,1,0,M8AVGUK,M
66,94,91,107,71,66,70,85,94,101,29,100,101,107,78,3,100,19,58,M9SAAND,M
