durante_E_delta_1,durante_E_delta_2,durante_E_delta_3,durante_E_delta_4,durante_E_delta_5,durante_E_delta_6,durante_E_delta_7,durante_E_delta_8,durante_E_delta_9,durante_E_delta_10,durante_E_delta_11,durante_E_delta_12,durante_E_delta_13,durante_E_delta_14,durante_E_delta_15,durante_E_delta_16,durante_E_delta_17,durante_E_delta_18,durante_E_delta_19,Sujeto,Clase
27,36,1,3,38,10,29,23,41,1,29,32,40,4,2,15,41,4,2,A10GUAC,A
106,110,106,118,110,14,10,36,114,110,103,103,103,110,103,103,103,103,78,A11BRCA,A
9,21,42,42,29,9,6,14,33,33,37,6,0,9,30,36,33,9,13,A12CAPA,A
26,20,26,39,25,14,45,25,6,39,29,13,33,26,37,43,20,27,23,A13RIVI,A
125,45,135,135,126,114,101,125,113,135,78,125,112,135,135,126,126,55,126,A14RARO,A
30,31,34,16,26,42,10,33,38,35,33,25,31,33,26,15,26,10,16,A15GOGA,A
32,38,45,60,15,22,15,41,70,49,51,29,68,60,49,26,68,49,41,A17MUSI,A
60,22,71,104,78,0,1,78,104,104,98,98,104,98,88,87,98,104,88,A18RURI,A
62,99,82,36,43,28,67,50,62,99,82,69,62,106,47,49,75,99,64,A19MOEP,A
95,0,45,116,95,116,84,116,106,64,86,107,116,116,97,55,75,116,75,A1ARVAE,A
15,57,70,70,55,24,83,70,57,70,55,15,28,74,55,62,24,83,62,A21AGLO,A
4,43,49,7,10,42,49,55,35,46,3,3,53,46,28,6,53,53,12,A22SAHE,A
136,136,136,136,136,136,138,136,136,136,136,136,136,136,138,136,136,3,138,A24FLMA,A
97,2,97,51,82,97,21,37,84,80,70,89,83,91,91,53,75,72,0,A27HECE,A
58,78,60,78,34,50,18,0,84,84,46,67,74,70,78,0,70,50,0,A28TOPA,A
0,63,26,89,89,51,48,89,39,27,89,41,0,74,58,66,50,68,59,A52CUCA,A
35,27,37,40,41,8,24,20,30,20,10,8,22,18,10,19,3,34,17,A8ESSAI,A
20,28,27,17,22,24,22,10,37,23,13,32,28,23,35,22,28,23,22,A9AYAND,A
12,64,25,38,50,55,36,10,28,28,56,12,46,12,44,55,51,43,10,M9BENIE,M
32,30,3,29,36,35,21,25,13,13,35,22,37,4,15,31,11,16,15,M10CAUR,M
90,99,75,93,63,21,5,79,99,45,99,80,8,84,99,87,80,48,99,M11BADE,M
83,82,20,88,37,83,94,19,82,67,92,88,88,82,26,10,88,88,88,M12SAES,M
9,10,27,35,43,13,8,1,6,34,34,9,10,39,34,34,9,34,34,M13FECA,M
46,70,50,66,70,73,35,57,43,58,88,0,39,81,62,31,81,78,19,M16ARVE,M
57,54,39,3,40,19,7,0,54,26,2,39,54,32,1,48,45,2,48,M17GOSE,M
138,135,135,135,120,138,135,135,135,135,135,6,135,123,135,135,135,138,135,M18HUME,M
32,19,24,15,29,28,28,18,26,24,27,30,29,6,28,24,20,16,21,M19NAMO,M
37,33,33,39,13,43,37,16,25,23,26,25,33,34,20,9,19,5,4,M21SANA,M
45,59,111,117,90,20,101,67,87,111,92,54,117,100,92,63,111,45,99,M22HUGU,M
31,51,46,62,70,30,0,26,52,33,52,25,65,45,23,37,60,14,10,M23SACA,M
19,16,10,38,41,11,2,32,42,48,41,10,38,41,23,24,41,13,8,M24SAME,M
28,1,75,71,56,3,12,1,64,43,68,51,51,39,34,39,71,51,64,M25MAVI,M
39,5,14,11,41,33,4,24,39,47,23,24,18,31,19,33,6,6,36,M27MUAG,M
19,19,41,62,61,2,14,28,52,42,61,24,60,66,55,55,42,35,42,M28NUCO,M
84,84,74,77,71,47,49,9,85,44,76,74,77,76,71,37,23,52,3,M3ESDIR,M
37,42,79,36,41,31,53,53,48,60,26,41,35,48,29,19,15,20,46,M7FLSAA,M
10,120,113,113,113,113,105,113,120,105,105,10,120,105,105,105,43,113,105,M8AVGUK,M
116,85,66,96,120,107,109,107,127,120,54,127,28,120,120,120,94,117,63,M9SAAND,M
