durante_E_sf_1,durante_E_sf_2,durante_E_sf_3,durante_E_sf_4,durante_E_sf_5,durante_E_sf_6,durante_E_sf_7,durante_E_sf_8,durante_E_sf_9,durante_E_sf_10,durante_E_sf_11,durante_E_sf_12,durante_E_sf_13,durante_E_sf_14,durante_E_sf_15,durante_E_sf_16,durante_E_sf_17,durante_E_sf_18,durante_E_sf_19,Sujeto,Clase
0,1,6,14,3,0,2,0,6,14,13,3,5,11,10,11,6,2,7,A10GUAC,A
2,28,31,35,6,0,0,0,32,36,36,0,28,28,32,13,0,2,0,A11BRCA,A
17,28,34,44,30,9,2,44,7,41,36,6,3,8,35,36,6,1,36,A12CAPA,A
0,0,7,4,5,0,4,3,2,7,23,0,3,5,13,3,0,7,7,A13RIVI,A
98,91,28,75,66,44,0,74,98,98,27,91,91,98,82,98,59,0,72,A14RARO,A
6,16,6,8,3,8,0,4,9,13,13,17,15,2,9,7,4,1,3,A15GOGA,A
0,9,19,31,29,1,0,17,18,40,33,0,3,44,38,31,10,3,19,A17MUSI,A
0,1,13,21,10,6,1,4,24,20,21,1,5,5,14,11,4,5,5,A18RURI,A
15,34,50,19,11,21,34,39,39,30,19,9,22,31,37,12,3,20,35,A19MOEP,A
6,5,7,6,11,4,7,14,22,10,19,11,11,5,15,6,1,4,1,A1ARVAE,A
0,0,4,7,2,0,0,2,1,5,8,0,0,5,5,0,0,0,0,A21AGLO,A
0,0,10,16,8,1,1,1,8,23,22,0,4,17,16,13,1,0,9,A22SAHE,A
59,27,64,57,0,38,10,54,75,58,2,51,65,63,50,64,75,0,70,A24FLMA,A
0,0,22,14,0,0,1,0,12,27,22,0,8,22,19,10,1,0,22,A27HECE,A
7,7,19,12,2,7,1,5,8,15,10,0,6,0,7,4,3,0,4,A28TOPA,A
1,8,27,27,20,1,0,11,16,24,16,1,12,14,27,6,0,0,11,A52CUCA,A
5,9,12,33,20,9,8,23,2,10,16,1,1,3,17,14,9,1,29,A8ESSAI,A
1,13,9,9,0,10,0,1,18,15,6,10,14,5,6,0,3,0,3,A9AYAND,A
1,1,21,4,23,1,0,27,28,30,24,2,16,27,9,0,4,17,5,M9BENIE,M
5,10,10,17,7,1,0,5,13,25,18,3,18,6,8,8,0,0,8,M10CAUR,M
4,7,37,35,36,8,1,44,29,41,43,5,0,34,43,35,2,3,34,M11BADE,M
0,14,20,13,14,0,1,12,6,26,10,0,6,16,14,4,0,0,0,M12SAES,M
0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,M13FECA,M
11,9,9,14,8,6,5,11,10,9,16,3,6,4,5,0,1,0,2,M16ARVE,M
15,21,8,19,6,11,0,2,18,23,10,4,16,4,5,3,3,2,4,M17GOSE,M
0,25,15,3,9,1,0,0,13,16,26,0,10,12,14,17,1,0,0,M18HUME,M
1,29,21,32,11,25,0,4,23,33,39,0,7,31,20,24,2,2,5,M19NAMO,M
0,0,1,1,0,0,0,0,0,8,9,0,6,9,8,0,0,0,3,M21SANA,M
9,22,20,16,20,3,1,23,26,41,1,2,26,26,30,11,17,3,15,M22HUGU,M
0,11,26,22,23,0,3,12,14,37,24,0,18,21,25,20,5,3,15,M23SACA,M
0,11,41,24,19,8,25,18,22,17,26,1,13,31,19,24,21,11,14,M24SAME,M
1,0,9,7,1,1,0,0,9,7,8,3,5,2,1,3,3,0,3,M25MAVI,M
0,20,24,23,20,0,1,27,26,34,24,11,12,13,25,17,9,0,2,M27MUAG,M
0,0,13,20,17,0,0,13,3,14,28,0,11,13,22,16,0,0,10,M28NUCO,M
0,9,6,4,7,12,0,7,21,17,20,1,14,14,25,3,0,0,5,M3ESDIR,M
22,38,65,10,40,7,9,53,46,48,41,5,30,49,53,33,8,29,41,M7FLSAA,M
13,10,13,31,31,2,1,8,33,28,25,3,20,28,32,33,4,1,8,M8AVGUK,M
0,6,9,13,12,3,0,6,14,16,15,0,2,11,16,5,0,1,6,M9SAAND,M
