durante_E_theta_1,durante_E_theta_2,durante_E_theta_3,durante_E_theta_4,durante_E_theta_5,durante_E_theta_6,durante_E_theta_7,durante_E_theta_8,durante_E_theta_9,durante_E_theta_10,durante_E_theta_11,durante_E_theta_12,durante_E_theta_13,durante_E_theta_14,durante_E_theta_15,durante_E_theta_16,durante_E_theta_17,durante_E_theta_18,durante_E_theta_19,Sujeto,Clase
16,16,31,51,27,9,6,26,22,33,38,17,39,55,51,27,46,55,38,A10GUAC,A
32,62,26,52,4,10,32,4,70,47,29,36,70,66,39,37,36,46,4,A11BRCA,A
3,20,27,23,1,25,10,14,21,25,12,3,28,9,9,6,3,7,6,A12CAPA,A
6,0,17,4,26,12,0,1,21,23,19,12,38,18,15,3,40,12,30,A13RIVI,A
81,44,107,45,86,52,3,95,71,107,45,81,81,105,87,45,96,54,77,A14RARO,A
12,39,36,34,10,13,14,34,37,25,32,5,16,36,31,3,10,3,0,A15GOGA,A
14,38,49,64,53,25,31,63,35,53,40,11,66,50,50,55,20,24,24,A17MUSI,A
12,12,16,13,2,0,0,8,19,12,14,12,16,12,14,6,13,3,8,A18RURI,A
30,25,80,70,24,10,33,23,56,80,71,30,50,63,63,41,69,70,48,A19MOEP,A
43,20,10,10,14,25,31,20,45,18,6,36,20,36,8,9,31,36,5,A1ARVAE,A
1,131,131,120,131,131,120,120,131,131,131,67,131,131,131,131,132,120,120,A21AGLO,A
33,21,16,31,31,17,20,24,23,21,30,16,26,19,28,20,41,9,15,A22SAHE,A
120,120,120,124,11,120,120,120,120,120,1,120,120,124,125,124,120,120,124,A24FLMA,A
20,0,41,47,17,24,0,8,52,51,37,7,14,36,34,36,3,6,29,A27HECE,A
29,29,14,7,3,25,3,21,21,27,18,24,25,40,12,20,21,0,3,A28TOPA,A
15,26,42,62,36,22,5,23,38,31,24,35,11,34,30,23,24,38,24,A52CUCA,A
8,27,27,48,45,39,1,33,45,19,25,45,43,27,19,50,27,1,11,A8ESSAI,A
34,32,12,9,3,26,9,9,32,32,15,34,15,18,8,1,32,27,30,A9AYAND,A
31,61,55,64,54,3,27,35,35,37,25,53,49,60,24,46,49,28,23,M9BENIE,M
13,14,10,10,12,13,2,3,10,6,12,14,14,1,12,17,1,0,1,M10CAUR,M
54,43,24,40,29,1,7,25,59,49,70,54,48,39,39,70,39,6,45,M11BADE,M
20,2,42,54,26,3,0,19,2,39,60,48,20,43,49,23,31,34,37,M12SAES,M
35,8,10,28,22,6,0,27,42,40,23,37,39,18,28,11,32,37,28,M13FECA,M
17,8,11,18,10,11,6,9,9,16,10,9,10,6,10,10,1,17,10,M16ARVE,M
45,39,8,0,3,18,0,0,39,14,30,41,49,44,43,45,41,3,30,M17GOSE,M
2,25,21,25,43,16,18,38,33,18,21,1,22,50,12,15,5,30,7,M18HUME,M
38,25,42,37,19,1,10,15,41,33,20,35,49,44,23,15,34,14,15,M19NAMO,M
6,9,29,29,19,13,10,32,26,13,20,22,19,29,32,8,3,10,1,M21SANA,M
1,95,100,100,100,95,100,100,104,100,45,1,95,100,100,91,11,104,91,M22HUGU,M
17,75,69,69,80,85,11,60,80,76,73,3,85,84,80,85,43,1,28,M23SACA,M
62,62,77,49,2,53,54,4,73,48,77,58,73,77,20,1,77,73,2,M24SAME,M
30,0,64,58,58,15,17,38,16,25,58,44,44,35,39,65,44,40,15,M25MAVI,M
5,18,13,35,18,7,10,13,16,23,26,7,2,20,32,9,4,8,10,M27MUAG,M
54,34,59,56,54,29,8,5,61,56,50,61,60,46,56,17,22,3,7,M28NUCO,M
10,13,3,23,26,10,27,32,13,13,28,13,16,5,33,26,36,38,34,M3ESDIR,M
10,52,75,67,61,71,67,43,76,17,62,56,27,19,76,52,6,1,62,M7FLSAA,M
103,44,106,106,97,94,97,97,103,78,106,111,79,15,106,94,103,0,36,M8AVGUK,M
55,50,58,23,14,44,21,18,47,37,8,47,35,50,9,10,47,33,21,M9SAAND,M
