durante_E_theta_1,durante_E_theta_2,durante_E_theta_3,durante_E_theta_4,durante_E_theta_5,durante_E_theta_6,durante_E_theta_7,durante_E_theta_8,durante_E_theta_9,durante_E_theta_10,durante_E_theta_11,durante_E_theta_12,durante_E_theta_13,durante_E_theta_14,durante_E_theta_15,durante_E_theta_16,durante_E_theta_17,durante_E_theta_18,durante_E_theta_19,Sujeto,Clase
17,7,20,0,0,6,0,1,3,8,12,17,5,24,21,8,17,3,17,B10ESTO,B
45,50,44,37,9,27,47,52,45,14,8,12,12,23,57,45,11,24,50,B11SUPR,B
66,74,70,81,5,66,66,16,74,74,83,79,78,78,48,1,83,11,3,B12LARA,B
0,16,34,6,41,1,3,58,32,34,58,23,48,60,36,21,54,33,27,B13VIGA,B
7,51,20,30,18,1,5,8,43,41,51,7,50,45,59,40,17,44,45,B14FOVA,B
28,65,72,72,23,8,10,14,53,64,68,10,53,53,56,58,3,38,65,B15GOGO,B
34,72,76,70,26,52,53,46,70,78,3,21,54,78,62,15,61,30,62,B17ARTO,B
5,54,36,51,51,7,48,40,49,50,6,14,32,52,20,12,7,36,24,B18CASI,B
45,41,40,43,5,28,1,0,41,46,46,12,30,46,21,10,46,0,0,B20RORA,B
0,26,17,18,23,8,41,8,22,24,30,25,41,2,20,18,28,3,21,B21GUDE,B
41,36,26,31,15,21,21,2,35,15,2,41,27,1,3,1,42,3,3,B22VIPU,B
20,14,34,15,19,14,22,1,28,42,45,42,35,36,36,4,32,17,0,B23VEZE,B
27,29,24,27,0,10,0,0,49,45,55,33,67,57,50,43,14,42,34,B24CECU,B
27,20,20,22,7,24,13,12,31,18,0,27,31,5,7,13,13,0,10,B25MEVI,B
8,17,25,27,8,5,31,24,25,29,33,7,15,30,36,14,19,15,25,B4CAZAD,B
46,53,54,40,21,43,42,6,20,39,21,40,36,53,12,3,15,50,0,B5ARMON,B
20,28,38,5,1,12,1,1,34,42,25,6,34,34,51,21,37,31,44,B6SOMOD,B
14,28,24,32,12,4,1,13,11,19,5,15,17,26,26,15,3,3,20,B7MESEA,B
10,36,38,49,49,4,45,52,10,53,61,16,24,57,46,53,12,0,36,B8RAMOM,B
31,61,55,64,54,3,27,35,35,37,25,53,49,60,24,46,49,28,23,M9BENIE,M
13,14,10,10,12,13,2,3,10,6,12,14,14,1,12,17,1,0,1,M10CAUR,M
54,43,24,40,29,1,7,25,59,49,70,54,48,39,39,70,39,6,45,M11BADE,M
20,2,42,54,26,3,0,19,2,39,60,48,20,43,49,23,31,34,37,M12SAES,M
35,8,10,28,22,6,0,27,42,40,23,37,39,18,28,11,32,37,28,M13FECA,M
17,8,11,18,10,11,6,9,9,16,10,9,10,6,10,10,1,17,10,M16ARVE,M
45,39,8,0,3,18,0,0,39,14,30,41,49,44,43,45,41,3,30,M17GOSE,M
2,25,21,25,43,16,18,38,33,18,21,1,22,50,12,15,5,30,7,M18HUME,M
38,25,42,37,19,1,10,15,41,33,20,35,49,44,23,15,34,14,15,M19NAMO,M
6,9,29,29,19,13,10,32,26,13,20,22,19,29,32,8,3,10,1,M21SANA,M
1,95,100,100,100,95,100,100,104,100,45,1,95,100,100,91,11,104,91,M22HUGU,M
17,75,69,69,80,85,11,60,80,76,73,3,85,84,80,85,43,1,28,M23SACA,M
62,62,77,49,2,53,54,4,73,48,77,58,73,77,20,1,77,73,2,M24SAME,M
30,0,64,58,58,15,17,38,16,25,58,44,44,35,39,65,44,40,15,M25MAVI,M
5,18,13,35,18,7,10,13,16,23,26,7,2,20,32,9,4,8,10,M27MUAG,M
54,34,59,56,54,29,8,5,61,56,50,61,60,46,56,17,22,3,7,M28NUCO,M
10,13,3,23,26,10,27,32,13,13,28,13,16,5,33,26,36,38,34,M3ESDIR,M
10,52,75,67,61,71,67,43,76,17,62,56,27,19,76,52,6,1,62,M7FLSAA,M
103,44,106,106,97,94,97,97,103,78,106,111,79,15,106,94,103,0,36,M8AVGUK,M
55,50,58,23,14,44,21,18,47,37,8,47,35,50,9,10,47,33,21,M9SAAND,M
