durante_Gio_beta_1,durante_Gio_beta_2,durante_Gio_beta_3,durante_Gio_beta_4,durante_Gio_beta_5,durante_Gio_beta_6,durante_Gio_beta_7,durante_Gio_beta_8,durante_Gio_beta_9,durante_Gio_beta_10,durante_Gio_beta_11,durante_Gio_beta_12,durante_Gio_beta_13,durante_Gio_beta_14,durante_Gio_beta_15,durante_Gio_beta_16,durante_Gio_beta_17,durante_Gio_beta_18,durante_Gio_beta_19,Sujeto,Clase
5.6132,5.6646,6.323,0,3.7723,1.4878,0,0.77993,5.3878,6.8112,4.0301,6.5166,7.4026,5.797,5.6433,2.4413,2.2801,2.3432,2.4803,B10ESTO,B
3.2369,4.9018,5.5532,3.2803,4.8612,4.7416,0.74276,1.7144,9.9386,6.7971,9.3258,6.5718,3.9277,8.821,7.2453,4.9656,3.29,3.0834,4.8613,B11SUPR,B
0,0,8.6345,8.6251,4.6166,2.3076,2.2904,6.4258,5.6566,5.6222,7.5307,0.80169,7.9521,9.126,9.1233,5.6746,7.0468,8.1733,9.7809,B12LARA,B
1.4703,0.7704,3.3429,2.9068,2.5082,0.7704,1.4942,3.9331,3.9445,7.387,8.0585,1.4697,5.7258,6.6691,7.285,2.3955,3.7554,1.4733,3.1922,B13VIGA,B
3.9966,5.1452,6.7004,8.3095,3.3063,3.2472,2.4096,4.1445,6.0401,7.5723,4.2908,2.4643,5.0866,7.4501,6.6683,6.6361,5.6515,5.4665,4.906,B14FOVA,B
1.4505,2.9428,9.7207,9.4865,4.3976,1.4244,0.70217,7.9918,9.9514,9.7587,11.823,0.70217,4.2842,9.2836,9.7621,9.0015,8.421,0.7126,7.1999,B15GOGO,B
4.8147,4.4785,8.656,8.3233,6.9705,3.2452,5.8293,5.9653,9.8708,7.8636,0.74891,6.4695,4.7859,9.0121,10.8731,5.18,2.4318,1.4814,3.339,B17ARTO,B
4.8602,5.6238,4.1365,4.8671,5.06,0.833,7.1531,5.0909,7.6938,4.2513,6.0007,5.788,5.6548,6.6966,0.92142,5.9386,4.9212,3.3243,2.3243,B18CASI,B
0.78357,1.5438,0.78535,0,3.9353,0.73714,0.80204,0,3.0842,4.1154,4.9963,1.5207,1.4565,4.8767,5.2452,3.1825,0.80204,0,3.8286,B20RORA,B
0.77035,0.72787,2.4247,0.75355,3.8133,0.72787,0,1.5635,4.8709,7.6398,6.0639,0.76436,3.0371,6.1308,6.3099,6.0341,0.76436,0.73861,5.052,B21GUDE,B
1.6517,1.5158,3.903,0,3.2102,0,0,5.4241,2.5055,5.4991,8.9214,2.4417,2.4705,6.997,9.5756,4.1523,2.2629,2.2602,0.78576,B22VIPU,B
1.5559,0.76591,2.2031,2.9212,3.0543,2.2044,0,2.2799,5.4382,5.7087,7.1684,2.2649,0.73301,6.032,4.2535,5.6168,3.0485,0.72597,4.6536,B23VEZE,B
0,1.5162,5.7328,6.6601,1.5451,0,0,6.2035,6.0352,6.8351,7.2239,0.75893,1.5457,7.5116,7.6601,8.1269,1.4895,2.217,5.4767,B24CECU,B
7.535,3.5395,3.2789,0.80228,7.5616,3.3866,1.5805,2.4995,6.9292,7.5284,6.8224,3.7014,7.7273,5.0721,4.9469,6.6979,4.3344,1.5891,4.2751,B25MEVI,B
0,9.2386,11.6808,12.5468,9.4686,0,0,9.462,10.7263,9.8807,11.4373,6.3732,10.5545,7.5106,11.3739,2.3952,0.76911,6.4229,12.1148,B4CAZAD,B
3.2584,3.8401,3.5121,4.9514,3.121,1.6013,1.5649,2.4503,4.2801,5.1248,6.0162,2.467,2.2771,1.5302,5.4688,2.3342,0.74791,0,0.80954,B5ARMON,B
2.9741,3.0156,8.1195,9.7184,4.7421,3.6906,4.5625,3.1291,4.6679,9.7443,7.7475,2.2416,7.7308,8.5582,9.0257,8.4722,3.0335,4.7025,5.9486,B6SOMOD,B
3.3312,5.8911,8.9282,8.4997,7.0157,5.1173,2.3414,6.7161,6.8084,5.6886,3.1604,4.7314,6.9119,7.567,8.2065,6.1961,5.8771,10.0067,8.4028,B7MESEA,B
