durante_Gio_delta_1,durante_Gio_delta_2,durante_Gio_delta_3,durante_Gio_delta_4,durante_Gio_delta_5,durante_Gio_delta_6,durante_Gio_delta_7,durante_Gio_delta_8,durante_Gio_delta_9,durante_Gio_delta_10,durante_Gio_delta_11,durante_Gio_delta_12,durante_Gio_delta_13,durante_Gio_delta_14,durante_Gio_delta_15,durante_Gio_delta_16,durante_Gio_delta_17,durante_Gio_delta_18,durante_Gio_delta_19,Sujeto,Clase
7.936,8.2216,2.2405,3.7487,8.7327,4.8619,7.0857,5.7497,8.9515,1.5577,7.7147,7.7417,9.8076,3.7479,3.0047,4.6264,9.1696,3.0632,2.4875,A10GUAC,A
16.0286,15.199,15.9185,17.1536,14.8132,5.4747,4.5412,9.2358,16.3314,15.3822,14.3158,14.4742,14.3914,15.4274,14.3354,13.9493,14.3772,14.1354,12.1403,A11BRCA,A
4.196,5.8529,9.1894,9.1419,6.9696,4.1225,3.6559,5.479,6.9707,7.3678,8.4628,3.7017,1.2568,3.7603,7.0102,8.0276,7.0873,4.6306,5.0265,A12CAPA,A
6.838,5.8075,7.2568,8.7893,6.1038,5.258,9.4931,6.1086,3.2294,8.6709,7.2635,4.4754,7.9422,7.5097,8.3957,9.4588,5.5145,6.7856,6.2782,A13RIVI,A
16.7754,9.7625,17.7896,17.7665,16.6973,15.6578,14.6441,16.7371,15.7015,17.7959,12.7122,16.7517,15.7207,17.764,17.7572,16.7277,16.7664,10.7222,16.7206,A14RARO,A
7.2667,7.3027,8.3292,5.4357,6.817,8.7792,3.4195,8.062,8.7115,7.6174,8.2243,6.6135,7.3593,8.182,6.88,4.5971,7.2333,3.2576,5.2783,A15GOGA,A
8.4011,9.2344,9.7501,10.8398,5.614,6.5256,4.4777,8.4739,12.6985,9.665,10.2764,7.8464,12.4365,11.4292,9.8474,7.8123,12.5167,9.126,8.6965,A17MUSI,A
8.1161,5.5197,10.3017,13.4866,9.8559,0.65568,1.4214,10.4259,13.4863,13.4257,12.5561,12.3056,13.5141,13.0153,12.2496,11.4394,12.6738,13.2128,11.3031,A18RURI,A
10.124,13.4118,12.2074,6.7649,8.1496,6.3398,9.9961,9.1133,10.1701,13.2343,10.4417,11.1548,10.0655,13.6496,8.4149,8.6154,10.8604,13.5701,10.6006,A19MOEP,A
12.4464,0.64833,8.4041,14.418,12.3904,14.4705,11.0405,14.6783,13.2368,9.6615,11.7438,13.7285,14.4251,13.8061,12.7771,8.9553,10.1323,14.6344,11.042,A1ARVAE,A
5.4989,11.4292,11.6779,11.939,10.0463,6.7141,13.931,11.7863,11.5308,11.806,10.3029,5.53,7.9255,12.6256,10.4192,9.6963,6.9299,13.4107,11.2004,A21AGLO,A
2.9299,8.1461,9.1772,4.5635,4.9987,7.6842,8.7909,10.1788,9.0042,8.2701,3.0379,2.3062,10.0386,8.7364,7.1413,3.7991,9.4189,9.3969,4.5315,A22SAHE,A
16.4418,16.3705,16.1336,15.949,15.3662,15.6679,16.8184,16.0175,16.4532,16.313,15.6623,16.2731,16.3188,16.3213,17.1094,16.2274,15.6849,2.6489,16.8017,A24FLMA,A
13.4223,3.0382,13.6836,9.0381,11.5836,13.3536,5.5303,7.6514,12.9564,12.3701,11.3689,12.4214,12.3647,13.4446,13.1258,8.5431,11.0794,10.4432,0.73661,A27HECE,A
9.212,11.0376,9.676,11.4223,6.6912,8.2675,4.8801,0,12.2004,12.0918,9.121,10.1346,10.9976,10.2662,11.1073,0.60493,10.0544,7.8659,0,A28TOPA,A
1.4676,9.7832,5.7306,12.8207,13.0351,8.2601,8.1007,12.6242,6.9983,6.2439,12.9838,7.9328,0,11.0967,9.7796,10.926,8.002,10.2867,9.6792,A52CUCA,A
8.04,6.7029,7.7801,9.102,9.7109,3.9403,6.0227,6.4246,7.6546,6.0727,4.1942,3.5996,6.7588,5.2863,4.4683,6.2372,2.1067,7.2812,5.6388,A8ESSAI,A
