durante_Gio_delta_1,durante_Gio_delta_2,durante_Gio_delta_3,durante_Gio_delta_4,durante_Gio_delta_5,durante_Gio_delta_6,durante_Gio_delta_7,durante_Gio_delta_8,durante_Gio_delta_9,durante_Gio_delta_10,durante_Gio_delta_11,durante_Gio_delta_12,durante_Gio_delta_13,durante_Gio_delta_14,durante_Gio_delta_15,durante_Gio_delta_16,durante_Gio_delta_17,durante_Gio_delta_18,durante_Gio_delta_19,Sujeto,Clase
2.9819,12.3018,6.5602,1.5068,9.0651,10.9184,10.1108,0.70435,12.5696,9.6559,11.302,10.8464,12.6141,11.9028,10.9184,11.3711,3.7051,11.5165,10.1263,B10ESTO,B
16.2041,14.1633,15.3543,9.173,13.026,15.0092,16.8026,14.1699,16.0484,17.1281,15.0349,8.427,10.28,17.0333,14.1581,14.4105,8.3764,12.9422,12.2178,B11SUPR,B
6.931,12.1593,6.6846,9.7679,8.8164,9.0729,5.9132,10.682,6.0601,11.5915,11.0851,3.2399,8.3442,8.6938,9.9102,9.1122,2.8228,1.4805,10.7204,B12LARA,B
7.1885,1.2657,7.2591,6.9231,5.2698,4.3165,2.1351,5.2145,6.1946,7.517,5.8996,7.4383,5.8227,9.5929,8.2588,8.7127,5.5644,7.1974,9.0648,B13VIGA,B
8.8626,7.1354,8.393,6.6239,3.1926,8.6939,8.5793,3.6248,5.3568,8.1881,5.0317,9.0352,5.9082,8.044,8.6766,3.1228,7.967,1.8924,6.273,B14FOVA,B
2.2816,9.576,9.0918,10.4971,2.1205,1.5904,1.5026,7.2057,9.9219,10.6028,11.1254,3.5944,8.2772,10.2883,10.4567,9.3345,8.9143,7.7311,1.6268,B15GOGO,B
1.5924,6.8719,7.7746,9.2623,5.8193,0.72804,1.4919,5.7648,8.7988,8.3812,2.0852,2.4197,6.3861,7.883,5.8103,5.9731,7.7556,6.4755,10.0637,B17ARTO,B
7.615,9.1846,9.834,4.5991,5.1001,3.322,2.5061,5.0857,8.6628,10.138,8.5978,8.5714,10.8279,10.6879,8.0178,5.7918,7.8611,9.7748,9.2966,B18CASI,B
7.0723,6.6302,8.2996,7.1754,6.1174,6.4431,6.6429,4.2327,7.2481,7.2223,5.8255,6.02,5.0354,5.3745,7.0352,6.6271,6.6333,4.3474,5.8753,B20RORA,B
9.0829,2.7308,6.5046,8.2417,2.8075,9.2463,6.8028,1.501,9.8508,8.7324,4.495,8.8474,10.8904,10.4195,10.454,3.3423,10.306,5.1052,8.4041,B21GUDE,B
14.4986,12.3574,11.9984,9.3425,13.3786,1.5551,8.5989,14.7563,14.1827,14.95,14.1129,14.7945,14.1778,15.1463,14.2122,12.8698,15.3884,14.3249,14.2046,B22VIPU,B
9.6386,7.1027,9.3311,6.8503,11.211,4.2943,6.1822,10.0019,3.1506,11.1105,11.6026,3.7447,6.7475,9.4325,11.5346,9.437,6.126,2.3035,10.7213,B23VEZE,B
8.846,7.8954,10.2211,9.9944,4.9312,1.5552,2.2158,8.9289,9.9873,10.638,7.6427,7.1533,7.5292,7.918,7.7021,2.9893,2.014,3.4259,8.2666,B24CECU,B
10.9108,13.2213,12.3849,4.4943,12.2442,12.1473,10.6557,12.7656,12.84,11.3541,9.7564,12.0562,11.7899,8.0492,12.4686,11.7323,6.4315,4.843,12.7361,B25MEVI,B
3.2701,15.45,16.0582,13.2278,11.716,9.5073,14.3836,12.6296,14.5986,15.4796,15.0701,9.6621,14.6255,15.4656,15.4208,12.799,14.9252,14.4632,15.9575,B4CAZAD,B
11.8179,11.084,11.696,9.5149,11.7656,3.8323,6.1991,8.7292,10.7276,10.6522,8.9244,11.6136,11.8517,5.1591,11.7839,3.9081,7.7372,3.5787,10.4039,B5ARMON,B
2.1826,10.3063,10.7159,9.4041,3.7306,7.5972,11.3782,8.2235,9.3214,10.9181,10.0744,3.7691,10.6985,9.1912,10.403,6.889,2.1771,6.0635,10.6255,B6SOMOD,B
5.9452,9.0694,4.2093,7.6349,6.871,6.3371,7.3927,5.3048,7.9061,3.4881,7.0778,1.996,5.8704,4.2003,7.9543,7.2789,4.7151,8.8265,9.1517,B7MESEA,B
6.1045,11.3077,10.2029,10.0877,11.4748,12.9343,9.0571,6.3903,12.4506,7.3129,11.4368,11.1371,9.2624,12.6869,10.1244,9.4395,5.1408,6.4124,6.506,B8RAMOM,B
4.474,10.9731,6.3598,7.9426,9.8677,9.9876,7.8372,3.6649,6.6086,7.3088,10.5793,4.3941,8.0081,4.5788,9.3174,10.1709,9.6038,8.286,4.3927,M9BENIE,M
7.1901,7.2962,3.1246,7.106,7.7967,7.7686,5.9284,6.6788,5.6715,5.396,7.9328,6.7301,8.7983,3.7684,5.349,7.4894,4.198,4.6494,5.4437,M10CAUR,M
12.6177,14.2755,11.7404,13.0768,10.3744,5.3474,3.3424,11.8827,14.2906,8.5642,14.0004,12.5501,4.2277,12.6069,14.1506,12.8663,12.6868,8.715,14.0173,M11BADE,M
11.4971,11.181,4.9344,12.2352,7.5217,11.7964,13.2683,4.8048,10.991,10.4205,12.1294,12.4169,11.3301,10.4761,5.9447,3.7204,12.3068,12.4972,12.5237,M12SAES,M
3.9516,4.8299,7.3721,8.0061,8.4281,4.3578,4.4586,1.4343,3.1825,6.6913,7.032,3.9605,4.61,7.846,7.1582,7.1452,3.8457,6.7803,6.6056,M13FECA,M
8.759,11.1746,9.0944,9.8095,10.5349,11.2165,7.2376,9.1241,8.3114,9.6867,12.9357,0.75803,7.1369,12.3354,10.4162,6.712,11.6602,11.145,5.4005,M16ARVE,M
10.382,9.7661,7.4823,2.8005,7.9036,4.9063,4.0066,0.74752,9.7404,5.7849,2.0147,8.4388,9.6672,6.6724,2.0406,8.4499,8.5058,2.0787,8.4948,M17GOSE,M
17.1632,16.5791,16.4137,16.4936,15.4183,17.3676,16.4925,16.2354,16.5016,16.6223,16.6083,3.6323,16.5248,16.1294,16.6297,16.5197,16.4894,17.1003,16.5832,M18HUME,M
8.1024,6.1366,7.2415,5.5019,7.4363,7.2553,6.7221,5.1665,7.1803,6.8736,7.2461,7.5133,7.702,3.8727,6.7577,6.0076,6.3639,6.2328,6.5296,M19NAMO,M
8.7228,8.576,8.1243,8.4423,5.008,9.0763,7.8003,5.2137,7.166,6.4362,7.3785,7.1676,8.3022,8.1359,5.8819,4.2975,5.6626,2.7554,3.4735,M21SANA,M
9.5601,11.4207,16.4616,17.3266,14.2932,6.6549,15.3878,12.4172,14.4051,16.427,14.3016,10.4614,17.3479,15.3685,14.4755,11.4225,16.3685,9.5719,15.3861,M22HUGU,M
6.988,9.9455,8.9982,11.3047,11.618,6.6323,0.66627,6.6969,9.7258,7.1791,10.2357,6.1455,11.5152,8.9849,6.5958,8.4267,10.486,4.5049,3.9541,M23SACA,M
6.0433,5.9033,3.903,8.1348,8.5353,5.2109,2.0921,6.9664,9.8266,10.4689,8.5377,3.9124,8.7212,8.4406,5.8495,6.7905,8.6436,4.5152,4.4804,M24SAME,M
6.4972,1.2795,11.5716,11.5716,9.9525,2.9284,4.8669,1.546,10.6359,7.5098,11.4922,8.8998,8.4585,8.5517,8.5037,8.3259,11.4344,8.1963,9.9082,M25MAVI,M
8.2402,3.2287,5.2771,4.8006,8.2023,7.6718,2.8961,6.5653,8.3931,9.7217,6.3503,6.9535,5.5722,7.3464,5.5721,7.5623,4.2696,3.5922,7.3739,M27MUAG,M
5.7842,5.3936,8.9109,10.7503,10.4346,2.0499,4.2037,6.4684,9.5311,8.234,10.539,5.9877,10.6289,10.5243,9.7294,9.7216,7.8368,6.7228,7.9014,M28NUCO,M
11.9771,12.0313,11.103,10.7487,10.4349,8.6729,8.9776,3.165,12.2924,8.0999,11.725,11.086,11.1088,10.9618,10.4078,8.1291,5.2383,9.2007,2.1027,M3ESDIR,M
8.5172,9.4533,14.5805,8.667,9.5269,7.5359,11.0899,10.9241,10.6996,12.2258,6.7193,9.4698,8.7268,11.0956,7.7424,5.8986,5.3254,6.3357,10.6407,M7FLSAA,M
4.3634,16.5617,15.0386,14.8927,14.9091,14.5647,13.8343,14.6708,16.5642,13.169,13.9619,4.3732,16.5821,14.0618,14.0346,13.9065,9.5194,14.555,13.7265,M8AVGUK,M
15.4289,12.4035,10.2253,13.3755,15.3383,14.4574,14.3492,13.8388,16.4747,15.1229,9.4891,16.3073,6.7241,15.612,15.3817,15.056,12.9896,14.7663,9.9034,M9SAAND,M
