durante_Gio_sf_1,durante_Gio_sf_2,durante_Gio_sf_3,durante_Gio_sf_4,durante_Gio_sf_5,durante_Gio_sf_6,durante_Gio_sf_7,durante_Gio_sf_8,durante_Gio_sf_9,durante_Gio_sf_10,durante_Gio_sf_11,durante_Gio_sf_12,durante_Gio_sf_13,durante_Gio_sf_14,durante_Gio_sf_15,durante_Gio_sf_16,durante_Gio_sf_17,durante_Gio_sf_18,durante_Gio_sf_19,Sujeto,Clase
0.82515,3.4342,4.1201,6.7759,3.568,2.5383,3.3216,1.7586,5.9828,6.7877,6.4005,4.212,3.4925,7.6975,5.4783,5.4351,4.2212,3.3503,5.2595,A10GUAC,A
4.146,6.9327,9.7327,8.8425,4.2461,1.6671,1.6752,2.486,8.0531,9.7189,9.7659,1.6695,7.2171,7.0666,8.9588,5.0562,0.84085,2.4826,0.81137,A11BRCA,A
6.7439,8.4067,9.5122,11.3325,8.1104,5.7579,3.2798,11.2183,5.9523,10.1879,8.94,4.9498,3.2641,4.9688,9.6815,8.6644,4.3109,2.4581,9.4925,A12CAPA,A
2.5502,2.603,4.3785,3.7305,4.2837,0.84937,3.3442,2.6159,2.5828,5.4464,11.6399,0.8435,4.404,3.7418,7.4044,2.7582,0,5.268,4.4135,A13RIVI,A
14.9188,13.8056,7.1449,12.0241,10.8367,8.9467,0,11.8208,15.0088,14.8335,6.9651,13.7906,13.8409,14.9321,12.8458,14.799,10.7486,0,11.7987,A14RARO,A
3.4285,7.1222,5.0245,5.1569,3.2748,4.2175,2.4285,4.235,5.2882,6.7927,7.5729,8.3732,7.7018,3.3366,6.7665,5.0168,5.0525,2.4692,3.3391,A15GOGA,A
0,5.1456,6.8313,9.0007,7.7235,1.6522,0,6.8011,5.9307,10.6825,9.0714,1.65,2.5046,11.4095,10.8456,8.7715,4.9938,2.4967,6.0219,A17MUSI,A
0.82296,2.449,5.392,8.7646,5.0418,4.2039,1.6649,3.4243,11.0429,7.9565,8.0299,1.6908,3.3458,3.5905,7.0502,5.953,3.4188,3.2953,4.3102,A18RURI,A
6.7838,9.0776,11.1797,6.9984,5.1351,7.3992,9.2006,10.889,10.5514,8.9258,7.4333,5.1109,7.9079,8.931,10.5044,5.8252,3.4079,6.9475,10.182,A19MOEP,A
3.4331,4.0792,4.2338,4.4475,5.1358,4.0933,4.8283,6.0409,10.0491,5.1348,9.4218,6.0336,6.9627,4.9321,7.7323,3.3452,1.6698,3.159,1.782,A1ARVAE,A
1,0.80631,4.0984,5.7517,2.4618,0,0,2.4269,3.2759,4.1873,5.8685,1,0.79958,3.2984,3.4077,1.635,0,0,1.6482,A21AGLO,A
0,0,5.1829,7.0912,5.1853,2.4578,2.4908,1.7678,4.2293,9.5161,7.8445,0,3.3315,7.0469,6.1829,6.0388,1.6538,0,4.1863,A22SAHE,A
11.5285,7.0801,11.9372,11.6308,0,9.0583,4.3604,10.8193,12.6507,11.0964,2.6261,9.5463,11.7639,12.8114,10.5674,11.9228,12.6843,0,12.6078,A24FLMA,A
0,0,7.5136,5.7631,0.78946,0,1.5833,0.80854,4.9076,8.745,6.8243,0.78946,4.0642,6.65,7.6667,4.1464,1.5638,0.78904,7.601,A27HECE,A
5.0878,5.0609,8.5146,6.7313,2.4705,5.7457,1.6637,3.3516,6.0075,7.7415,7.0385,3.3075,4.2802,1.6469,5.8958,4.2362,4.2006,0.83721,4.2314,A28TOPA,A
1.6959,4.9479,8.6358,8.4961,7.0879,1.6163,0,5.1441,6.0426,8.0205,6.1843,3.3621,5.0673,6.8486,8.9799,3.4592,0.8295,1.6955,5.0943,A52CUCA,A
4.5328,6.3448,7.1227,10.8131,7.2727,4.4217,5.1116,8.9021,2.7014,5.3824,7.9913,2.6385,3.6127,4.3721,7.2892,6.3955,5.175,2.6462,11.582,A8ESSAI,A
2.4342,5.1644,6.0203,7.6552,1.6941,4.2128,1.7039,2.4795,8.5346,7.1503,4.4048,4.0792,5.8934,3.4581,4.9405,2.4712,4.1304,0.80479,2.569,A9AYAND,A
2.4561,3.2812,7.7128,3.3433,8.4802,3.2737,1.6015,8.5104,8.8773,8.901,8.2293,4.0976,5.7158,7.7935,6.02,1.6478,3.2846,6.4113,3.4184,M9BENIE,M
3.323,5.9632,5.1155,7.0965,4.3567,2.4674,0,3.4896,6.8942,9.5968,7.9864,4.2006,7.6651,4.0933,5.475,4.3779,0.87445,0.81387,6.0254,M10CAUR,M
4.1337,5.0286,9.4861,8.8072,8.8132,5.8598,2.4757,10.2502,8.6266,8.9528,9.9166,4.2113,3.27,9.5206,9.7515,9.4186,3.3158,3.3278,7.8298,M11BADE,M
0,6.6337,6.8386,6.015,5.7689,0,1.6378,4.8604,3.3569,9.6374,5.1859,0.78449,3.2697,6.897,6.0624,3.2879,0,1.5811,0.79661,M12SAES,M
0.7974,0.80177,3.1806,2.428,1,0,0,0,2.3531,1.5937,2.3923,0.7974,0,1,4.7491,0.79387,0,0,0.80511,M13FECA,M
7.1436,6.2362,6.1219,7.0396,5.9194,4.451,4.1929,6.9769,5.965,6.3148,8.772,3.4645,5.0569,4.4706,4.4546,0.84411,1.7201,0.82415,2.6544,M16ARVE,M
6.2468,7.9454,5.1996,8.461,5.0181,6.016,0,3.5567,7.2658,9.4684,4.2012,3.5567,7.0333,5.2085,4.2185,3.5547,3.3481,3.3229,3.4675,M17GOSE,M
1.7488,8.6663,6.1114,3.4332,4.4692,2.556,0,0,6.1322,6.209,8.6753,0.88907,5.1995,5.194,6.0791,7.091,2.4708,0,0,M18HUME,M
1.6037,9.9605,6.9966,9.5239,4.9768,7.6475,1.5996,3.2796,8.7154,9.4888,10.4804,1.6239,4.2322,9.4233,7.7338,7.5463,3.2497,2.4654,3.5159,M19NAMO,M
