durante_Gio_theta_1,durante_Gio_theta_2,durante_Gio_theta_3,durante_Gio_theta_4,durante_Gio_theta_5,durante_Gio_theta_6,durante_Gio_theta_7,durante_Gio_theta_8,durante_Gio_theta_9,durante_Gio_theta_10,durante_Gio_theta_11,durante_Gio_theta_12,durante_Gio_theta_13,durante_Gio_theta_14,durante_Gio_theta_15,durante_Gio_theta_16,durante_Gio_theta_17,durante_Gio_theta_18,durante_Gio_theta_19,Sujeto,Clase
5.9149,5.7675,7.121,10.0668,6.7613,4.1495,2.9065,7.0084,7.4682,7.3424,7.9371,6.6848,9.6716,10.6956,10.2659,6.866,10.3016,10.7929,8.5935,A10GUAC,A
8.3477,11.8436,6.6529,10.2413,3.362,3.9628,7.1843,3.1846,13.022,10.2565,7.6582,9.2723,13.035,12.0534,8.4467,8.9709,8.2815,10.3629,3.085,A11BRCA,A
3.2201,6.2066,7.445,6.4035,2.1534,7.3073,3.7821,5.0513,7.076,7.877,6.4275,3.1419,7.5954,5.7513,4.6854,3.0488,3.8485,3.5713,3.2826,A12CAPA,A
4.9768,0.76008,6.1887,3.0741,7.5975,4.5103,1.4936,2.1859,7.1241,6.6463,5.5732,4.5401,9.4693,5.313,5.5567,2.9908,10.2346,4.6303,8.0293,A13RIVI,A
13.7536,9.8047,17.6131,9.8039,14.6012,10.7475,2.9004,15.5692,12.7259,17.6384,9.7325,13.7062,13.774,16.6456,14.7212,9.7638,15.6164,11.6017,13.686,A14RARO,A
5.3558,10.1456,8.8073,8.2384,4.3574,4.6429,4.5552,8.0248,9.4494,7.1925,7.9921,3.1646,5.8291,8.5572,7.4377,2.1299,3.7724,3.0442,0,A15GOGA,A
5.9086,9.183,10.1451,11.9351,10.1569,7.4722,7.1537,11.9425,8.0955,10.3152,8.6436,4.9096,12.6333,10.1192,10.179,11.057,6.7515,7.391,6.7979,A17MUSI,A
4.6337,5.1696,6.3416,6.2845,2.2976,0.77585,1.5167,3.7077,6.9389,4.9875,6.4326,4.7087,6.1962,4.923,5.6104,4.2953,5.4359,3.0449,3.6479,A18RURI,A
7.3464,6.3691,12.5929,11.057,5.9094,3.9006,6.162,5.2143,10.2302,12.3361,10.9779,7.4432,9.2369,10.6089,10.7218,7.4855,11.4868,10.9036,8.1758,A19MOEP,A
9.524,5.0056,4.2606,4.9682,6.1069,6.5645,7.6115,6.453,9.4379,5.4354,3.1066,8.0381,5.3846,7.5309,4.586,4.663,6.7288,8.2492,3.5522,A1ARVAE,A
1.6686,15.4162,15.7644,14.8887,15.2365,15.2365,14.2507,14.7235,15.5953,15.7232,15.6897,10.074,15.4328,15.5632,15.5697,15.5069,14.6716,13.3422,14.7677,A21AGLO,A
8.28,6.9186,6.4611,8.4484,8.4,6.0366,6.9145,7.4313,7.1646,6.7938,7.8257,5.698,7.69,6.5866,8.1835,6.4416,9.9924,4.4496,5.9725,A22SAHE,A
15.4798,15.4383,15.561,16.3752,5.3919,15.5624,15.503,15.6198,15.5815,15.4026,1.8099,15.3042,15.6047,16.5241,17.1177,16.181,15.3454,15.2749,16.4143,A24FLMA,A
6.2463,0,8.9133,9.7881,5.1369,5.7343,0,3.4629,10.6031,10.6081,8.2044,3.7985,5.8011,8.2845,7.6817,7.755,2.3494,3.7356,7.0773,A27HECE,A
7.3249,7.5655,5.4695,3.944,2.4262,6.6001,2.1189,6.5308,6.1137,8.4452,6.56,6.4791,6.6711,9.7868,5.4535,6.9131,5.959,0,2.244,A28TOPA,A
5.1892,7.3242,10.4144,12.6719,8.9195,6.3209,2.9053,7.0452,9.5975,8.534,6.8042,8.7645,4.804,8.6373,8.2573,6.6587,6.6457,9.1792,6.96,A52CUCA,A
4.1488,6.8158,7.6117,9.4505,9.0416,7.4642,1.9654,6.4568,8.8309,6.427,7.2138,8.5998,8.1976,7.42,6.4718,9.4493,6.4382,2.1642,5.1913,A8ESSAI,A
8.1155,7.6597,4.8324,4.2224,3.0075,6.5689,4.373,3.9591,7.7686,8.8301,5.829,8.1117,4.6534,6.8432,4.5495,1.5863,7.4207,6.3226,8.0498,A9AYAND,A
7.1089,10.6636,10.0977,10.6894,9.5956,2.1924,6.0343,7.9451,7.841,7.7485,6.7705,9.5241,9.3871,10.4274,6.6177,8.7594,9.4242,6.7404,6.0274,M9BENIE,M
