durante_Gio_theta_1,durante_Gio_theta_2,durante_Gio_theta_3,durante_Gio_theta_4,durante_Gio_theta_5,durante_Gio_theta_6,durante_Gio_theta_7,durante_Gio_theta_8,durante_Gio_theta_9,durante_Gio_theta_10,durante_Gio_theta_11,durante_Gio_theta_12,durante_Gio_theta_13,durante_Gio_theta_14,durante_Gio_theta_15,durante_Gio_theta_16,durante_Gio_theta_17,durante_Gio_theta_18,durante_Gio_theta_19,Sujeto,Clase
5.6821,4.3413,7.2199,2.1841,0.8076,3.1005,0,1.9896,2.2864,4.3879,5.1771,5.5967,2.9347,7.6075,7.0309,4.3062,5.6018,2.2916,6.1405,B10ESTO,B
8.9514,10.0878,8.8656,8.055,4.593,7.1131,8.9978,10.0746,11.4096,6.0501,3.8955,5.2429,5.3614,8.1807,11.2908,9.777,5.2535,6.2195,10.2388,B11SUPR,B
10.3317,11.4449,11.0705,12.8731,4.0681,10.5579,9.9656,5.6464,11.866,11.6453,13.2185,12.2315,12.586,12.463,10.8267,1.8011,12.8343,4.8218,3.2917,B12LARA,B
0.74317,5.5164,7.8653,2.8055,9.2579,1.3965,2.1848,11.1529,8.0408,8.1297,11.5951,6.4933,9.6789,11.5682,8.6653,5.7326,10.1548,7.4383,6.3713,B13VIGA,B
3.7647,9.0133,6.4429,7.9238,6.2255,2.0397,3.344,4.3844,8.6859,8.0253,9.3713,3.7185,9.0497,8.3743,10.9132,7.1342,4.6679,8.1547,8.1146,B14FOVA,B
6.9776,10.4609,12.083,11.4947,5.9064,3.6773,3.2059,4.1569,8.8221,10.7844,11.324,4.2925,8.9409,9.2046,10.1285,9.8631,1.974,6.4592,10.9583,B15GOGO,B
7.6999,10.5692,12.0635,11.4846,5.9909,9.0096,9.1031,8.1896,10.8262,12.3189,2.0075,6.1475,9.522,11.7084,10.2472,4.3401,9.5962,6.7115,10.4842,B17ARTO,B
3.9848,11.4694,8.9045,9.5486,9.7297,3.9668,9.9635,8.8423,10.0668,10.5711,3.2552,5.6525,8.2561,10.7016,5.3739,4.7431,4.0154,8.4909,6.5175,B18CASI,B
9.0447,8.4334,8.1408,8.5925,2.9185,6.686,2.0293,0.72462,8.2371,8.7436,8.8414,4.6985,7.5239,8.9119,6.7682,4.1196,8.1765,1.408,1.9798,B20RORA,B
0.76617,7.8537,6.9956,5.5055,6.7164,4.5099,9.9049,3.7687,7.4693,7.2844,8.3805,6.9948,10.0273,2.3063,6.8127,6.0576,7.6122,2.3253,6.5378,B21GUDE,B
8.5289,7.0203,5.7911,6.5553,4.9678,5.692,5.7395,2.1787,7.6926,4.4561,2.2923,8.6997,6.6848,1.3896,2.8334,1.6218,9.1696,3.4304,3.0581,B22VIPU,B
6.185,5.0837,7.7836,5.7569,5.9094,5.6594,6.5504,1.3953,7.1085,9.447,9.8593,9.4358,8.0983,8.2476,8.6488,3.454,7.2,5.411,1.4598,B23VEZE,B
6.9162,7.0337,6.1084,7.2842,0,4.6439,0,0,9.8893,9.4387,10.9177,7.8608,11.835,10.9049,10.0901,8.8704,4.7462,8.4651,7.329,B24CECU,B
7.0339,6.4315,5.8928,5.6471,3.5898,6.8237,5.7584,5.4029,8.0188,6.5147,1.9166,7.0811,8.0499,4.1969,3.5542,5.5041,5.6997,1.2727,5.4091,B25MEVI,B
4.5167,6.4991,7.5705,8.4246,4.042,3.0892,8.9166,8.0585,7.3296,8.4691,9.2759,3.8374,5.2492,8.5785,10.1483,6.2249,5.9102,5.2424,7.5722,B4CAZAD,B
9.3492,10.001,10.1541,8.71,6.1479,8.6231,8.2552,2.5396,5.7044,8.6236,6.1094,8.4759,7.824,9.7058,4.793,3.0993,4.7282,8.8573,0.94803,B5ARMON,B
6.5789,7.5152,8.4841,3.6784,2.2944,4.6343,2.1147,1.5108,7.8568,9.4225,7.7331,3.202,7.5229,8.1058,10.8517,7.384,8.1487,6.9114,9.4918,B6SOMOD,B
6.003,8.9266,7.8603,8.5094,4.6203,3.039,2.2604,5.5929,5.5309,6.0249,2.8007,6.1497,6.3269,7.7108,7.8834,5.5793,2.447,2.2395,6.6116,B7MESEA,B
4.2999,9.3207,7.8208,9.3012,9.2492,3.0481,8.6038,9.0337,4.0487,11.2435,11.9154,5.5416,7.4127,10.8764,9.4985,9.5082,4.4576,0,7.8371,B8RAMOM,B
7.1089,10.6636,10.0977,10.6894,9.5956,2.1924,6.0343,7.9451,7.841,7.7485,6.7705,9.5241,9.3871,10.4274,6.6177,8.7594,9.4242,6.7404,6.0274,M9BENIE,M
5.0149,6.9326,3.5616,4.3561,5.6653,4.9718,2.083,3.1036,4.2968,3.6013,4.9329,5.6168,5.6368,2.0957,5.0953,7.6826,2.1676,1.4363,2.257,M10CAUR,M
9.6792,8.2857,6.3477,8.7279,6.6445,1.3689,3.642,6.7181,10.5,9.209,12.077,9.996,9.1647,7.7913,8.3162,11.3117,8.0749,2.9072,8.9159,M11BADE,M
5.4352,2.3686,8.9069,10.6887,7.2599,2.9041,0.77625,6.0408,2.2761,9.4945,11.386,9.6943,6.1998,8.8094,9.755,6.4141,6.7419,6.8957,7.626,M12SAES,M
7.3263,3.4742,4.1272,6.8804,5.6397,2.6074,0.62561,6.053,8.8802,8.7875,5.7964,7.659,7.6403,5.0033,6.7444,5.0728,7.4482,8.0604,6.5681,M13FECA,M
6.3471,4.1599,5.463,7.1204,4.4802,4.6904,3.0026,4.4678,4.3337,6.3036,5.1701,5.4034,4.905,3.4332,5.0684,4.5767,1.3734,6.2531,5.2752,M16ARVE,M
9.0913,8.8711,4.2359,1.4362,2.179,6.1943,0.74723,1.4313,8.857,5.7274,6.572,8.3855,9.8446,8.4189,8.6094,8.5738,8.2119,1.9825,7.3761,M17GOSE,M
2.8114,7.5395,6.5498,6.7136,9.6805,6.2677,5.8164,8.9753,8.659,5.9476,5.8877,2.0693,6.3402,10.733,4.3343,5.4829,3.4719,7.7729,4.4272,M18HUME,M
8.4747,6.4635,8.8972,8.9382,5.0737,2.1058,4.0685,4.9436,8.7204,7.3461,6.7465,7.7059,10.1279,10.3706,7.4949,5.8173,7.5887,5.6658,5.9758,M19NAMO,M
3.0194,3.9353,7.6489,7.8933,5.8955,5.3636,4.0669,8.7475,7.6453,4.0726,6.6999,6.8762,6.3524,7.6178,9.1445,4.1569,2.6778,3.4481,1.4246,M21SANA,M
1.7977,13.5836,14.0841,13.5409,13.5857,13.6229,13.9028,13.8562,14.1109,13.9484,8.3051,1.7238,12.6818,13.7558,13.9609,12.3442,5.4988,14.5188,13.0039,M22HUGU,M
5.5396,11.6976,10.6667,10.9095,12.2327,12.3312,4.7643,10.463,11.825,11.6423,11.184,2.5282,12.5717,12.9806,12.2123,12.2557,8.8546,1.4999,6.3444,M23SACA,M
9.3069,9.8798,11.8808,9.6812,3.2158,8.6378,8.4449,3.8163,11.8396,9.2256,11.7746,9.5319,12.1144,11.802,5.5111,1.5779,11.9562,11.4028,2.3112,M24SAME,M
7.3124,0,11.686,10.8713,11.2966,4.7563,5.3595,8.7788,5.6304,6.6052,10.8395,9.049,9.2973,7.9415,8.89,11.939,8.6695,7.6169,4.8372,M25MAVI,M
