despues_C_alpha_1,despues_C_alpha_2,despues_C_alpha_3,despues_C_alpha_4,despues_C_alpha_5,despues_C_alpha_6,despues_C_alpha_7,despues_C_alpha_8,despues_C_alpha_9,despues_C_alpha_10,despues_C_alpha_11,despues_C_alpha_12,despues_C_alpha_13,despues_C_alpha_14,despues_C_alpha_15,despues_C_alpha_16,despues_C_alpha_17,despues_C_alpha_18,despues_C_alpha_19,Sujeto,Clase
0.80556,0.6044,0.68182,0.82222,0.74545,0.66667,0.61905,0.82222,0.55833,0.75,0.75,0.75556,0.66667,0.62222,0.58333,0.75,0.93333,0.86667,0.73333,A10GUAC,A
0.53333,0.8,0.77273,0.81818,0.60256,1,NaN,0.46429,0.77273,0.88889,0.88889,0.55556,0.67949,0.6044,0.69697,0.33333,0.63889,0.73333,0.33333,A11BRCA,A
0,0.60606,0.75,0.47222,0.64103,0.5,0.4,0.66667,0.71111,1,0.90476,0.77778,0.56364,0.60606,0.66667,0.75556,0.90476,0.62222,0.52381,A12CAPA,A
0.6,0.16667,0.46429,0.66667,0.33333,0.5,NaN,0.33333,0.8,0.8,0.4,0.57143,0.53333,0.42857,0.3,0.66667,0.4,0.66667,0.5,A13RIVI,A
0.8,0.80556,0.52747,0.86667,0.86667,0.95238,0.61818,1,0.51515,0.54545,0.49091,1,0.57576,0.60606,0.86667,1,1,0.80556,0.86667,A14RARO,A
0.90476,0.72222,0.85897,0.9697,0.9697,1,0.9697,0.9697,0.72222,0.625,0.9697,0.90476,0.625,0.71429,0.9697,0.9697,0.82143,0.85897,1,A15GOGA,A
0.66667,0.71429,0.61818,0.63636,0.75,0.62121,0.70909,0.64103,0.8,0.6,0.80952,0.61111,0.58242,0.80952,0.68182,0.73333,0.6,0.9,0.70909,A17MUSI,A
0.60714,0.33333,NaN,0.6,0.6,0.57143,0.53333,0.33333,0.61905,1,0.57143,0.5,0.66667,0.60714,0.60714,0.73333,0.48889,0.57143,0.36364,A1ARVAE,A
0.6,0.57778,0.44444,0.65455,0.6,0.5,0.7,0.69444,0.68889,0.47436,0.62121,0.85714,0.68889,0.7619,0.7,0.72222,0.66667,0.66667,0.66667,A21AGLO,A
1,0.71111,0.69444,0.57778,0.8,NaN,0.95238,0.39286,0.85714,0.71111,0.64286,0.60714,0.66667,0.75,0.58333,0.8,0.66667,1,0.7,A22SAHE,A
1,1,1,1,NaN,1,1,1,1,1,NaN,1,0.88235,1,1,1,1,1,1,A24FLMA,A
0.88889,1,0.60256,0.57143,1,0.88889,0.83333,1,0.88889,0.51515,0.71429,0.8,0.73333,0.63889,0.71429,0.6,0.80556,0.64286,0.7619,A52CUCA,A
0.74545,0.75758,0.66667,0.67857,NaN,0.82222,0.67273,0.8,0.6,0.64444,0.63889,0.68182,0.71212,0.66667,0.33333,0.3,0.8,0.75556,1,A9AYAND,A
0.81818,0.72727,0.66667,0.71111,0.58333,0.72727,0.5,0.6,0.70513,0.8,0.57576,0.80556,0.77778,0.74359,0.72727,0.66667,0.4,1,0.66667,B11SUPR,B
0.77778,0.66667,0.54545,0.66667,0.55556,0.64444,NaN,0.47222,0.61818,0.6,0.61905,0.95238,0.75,0.16667,0.57143,0.9,0.71429,0.63636,0.53571,B12LARA,B
0.7,0.59091,0.81818,0.73333,0.74545,0.4,0.76364,0.78571,0.66667,0.67949,0.69697,0.86667,0.91667,0.67949,0.80952,0.58333,0.60606,0.67857,0.8,B13VIGA,B
0.86667,0.75824,0.75824,0.89091,1,0.73077,0.89091,1,0.72527,0.82051,0.92727,0.80556,0.4,0.82051,0.66667,0.66667,0.96429,0.91667,0.75641,B18CASI,B
0.71429,0.6,0.67857,0.52778,0.66667,0.42222,0.6,NaN,0.55556,0.64286,0.67857,0.7619,0.55556,0.5,0.6,0.67857,0.52778,0.66667,0.86667,B22VIPU,B
