despues_C_alpha_1,despues_C_alpha_2,despues_C_alpha_3,despues_C_alpha_4,despues_C_alpha_5,despues_C_alpha_6,despues_C_alpha_7,despues_C_alpha_8,despues_C_alpha_9,despues_C_alpha_10,despues_C_alpha_11,despues_C_alpha_12,despues_C_alpha_13,despues_C_alpha_14,despues_C_alpha_15,despues_C_alpha_16,despues_C_alpha_17,despues_C_alpha_18,despues_C_alpha_19,Sujeto,Clase
0.33333,1,0.33333,0.5,0.33333,0.66667,NaN,0.33333,0.6,0.38889,0.35714,0,0.57143,0.66667,0.6,0.66667,0.5,NaN,0.66667,A18RURI,A
0.57778,0.59091,0.62121,0.55556,0.66667,0.66667,1,0.72222,0.62121,0.61818,0.61111,0.6,0.65455,0.65455,0.4697,0.61905,0.61538,0.75,1,A19MOEP,A
1,0.87273,0.8,0.89091,NaN,0.77778,NaN,NaN,0.72527,0.84848,0.80769,0.75641,0.96429,0.84848,0.84848,NaN,0.77273,0.87273,0.72222,A27HECE,A
1,0.77778,0.72727,0.88889,0.33333,0.67857,0.90476,0.65152,0.71212,0.71212,0.84444,0.33333,0.58242,0.86111,0.77778,0.80952,0.33333,0.66667,0.4,A28TOPA,A
0.33333,0.28571,0.4,0.58333,0.53571,0.66667,0.66667,0.83333,0.48889,0.60714,0.61111,0.8,1,0.55556,0.58333,1,0.61905,0.53571,0.53571,A8ESSAI,A
0.76364,0.95238,0.86111,1,0.80952,1,NaN,NaN,0.84444,0.88889,0.61538,0.72727,0.54286,0.68182,0.64103,0.75,NaN,0.90476,0.82143,B10ESTO,B
0.8,0.66667,0.95238,0.89286,0.89286,0.5,0,NaN,0.61905,0.48485,0.86111,0.8,0.42857,0.47273,0.86111,0.86111,NaN,0.75,0.75556,B14FOVA,B
0.60714,0.7,0.60714,0.47222,0,0.55556,0.66667,1,0.58333,0.57143,0.6,0.53571,0.73333,0.4,0.5,0.33333,0.66667,NaN,0,B15GOGO,B
0.46429,0.6,0.6,0.7,NaN,0.36111,0.66667,0.66667,0.6,0.7,0.8,0.5,0.66667,0.57143,0.55556,0.57143,0.34545,0.44444,0.61905,B17ARTO,B
0.6,0.57143,0.63636,0.75,0.83333,0.61905,0.5641,0.60606,0.57143,0.64444,0.75556,0.66667,0.86667,1,0.86111,0.73333,0.66667,0.86111,0.73333,B20RORA,B
NaN,0.66667,0.50909,1,1,NaN,NaN,0.53333,0.63889,0.75,0.50909,NaN,0.93333,0.85714,0.53333,0.8,0,1,0.66667,B21GUDE,B
0.6,NaN,0.8,0.5,1,0.69444,NaN,0,0.75,0.69444,0.6,0.52727,0.66667,0.61111,0.16667,0,0.75,0.66667,0,B23VEZE,B
0.61111,0.51111,0.6,0.6,1,0.73333,0.61905,0.64286,0.67857,0.64286,0.55556,0.55556,1,0.55556,0.71429,1,1,0,1,B25MEVI,B
0,0.6,1,0.5,1,0.33333,1,0.33333,0.53571,0.38095,0.33333,0.33333,0.3,0.66667,1,0.52778,NaN,0.8,0.61905,B5ARMON,B
0.33333,0.33333,0.4,0.57143,0.6,0.5,1,0.47619,0.33333,0.7,0.46667,0.3,0.35714,0.42857,0.47619,0.5,1,0.33333,0.8,B6SOMOD,B
0.94444,0.91667,0.65152,0.7,0.9,0.81818,0.69524,0.9,0.87273,0.69524,0.64444,0.76923,0.83636,0.81818,0.56061,0.65455,0.88889,0.75758,0.71429,M10CAUR,M
0.88889,0.70909,0.70909,0.63889,0.71429,0.77778,1,0.66667,0.72727,0.57692,0.71429,0.85714,0.71111,0.48889,0.57143,0.66667,0.71111,0.6,0.66667,M11BADE,M
0.76923,0.63636,0.73333,0.76923,1,1,0.33333,0.61111,0.80303,0.71212,0.76923,0.72727,0.85455,1,0.86667,0.75,0.91667,NaN,0.82222,M13FECA,M
0.78182,0.69231,0.78182,0.66667,0.75556,0.82143,0.83333,NaN,0.75758,0.76364,0.60606,0.75556,0.80556,0.52727,0.60714,0.8,0.61818,0.66667,0.71111,M16ARVE,M
0.63636,0.75,0.66667,0.62222,0.85714,0.66667,0.33333,0.75,0.66667,0.66667,0.69444,0.75,0.59091,0.64286,0.60714,0.71429,0.57778,0.6,1,M17GOSE,M
0.53571,0.60714,0.64103,0.72727,0.80556,0,0,0.68182,0.75556,0.83333,0.63889,0.5,0.75556,0.61905,0.77778,0.64286,0.66667,NaN,0,M18HUME,M
0.94167,0.94167,0.86667,0.94167,0.88571,0.94167,0.97436,0.94167,0.94167,0.86667,1,0.9619,0.94167,0.9619,0.85294,NaN,0.95238,0.96154,0.94167,M21SANA,M
0.16667,0.82143,0.80556,0.54945,0.66667,0.77778,0.65152,0.58974,0.66667,0.5,0.6,NaN,0.69091,0.80952,0.66667,0.93333,0.8,0.5641,0.93333,M22HUGU,M
0.31111,0.5,0.61905,0.46667,0.93333,0.66667,0.33333,0.2,0.7,0.39286,0.62222,0.5,0.6,0.71429,0.78571,0.75,0.66667,0.57143,0.52727,M23SACA,M
0.69697,0.72727,0.67273,0.46667,0.61905,0.75556,0.93333,0.83333,0.62821,0.74545,0.62121,0.66667,0.75,0.8,0.52381,0.69444,0.66667,0.66667,0.66667,M25MAVI,M
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,M28NUCO,M
