despues_C_beta_1,despues_C_beta_2,despues_C_beta_3,despues_C_beta_4,despues_C_beta_5,despues_C_beta_6,despues_C_beta_7,despues_C_beta_8,despues_C_beta_9,despues_C_beta_10,despues_C_beta_11,despues_C_beta_12,despues_C_beta_13,despues_C_beta_14,despues_C_beta_15,despues_C_beta_16,despues_C_beta_17,despues_C_beta_18,despues_C_beta_19,Sujeto,Clase
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A10GUAC,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A11BRCA,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A12CAPA,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A13RIVI,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A14RARO,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A15GOGA,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A17MUSI,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A1ARVAE,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A21AGLO,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A22SAHE,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A24FLMA,A
