despues_C_beta_1,despues_C_beta_2,despues_C_beta_3,despues_C_beta_4,despues_C_beta_5,despues_C_beta_6,despues_C_beta_7,despues_C_beta_8,despues_C_beta_9,despues_C_beta_10,despues_C_beta_11,despues_C_beta_12,despues_C_beta_13,despues_C_beta_14,despues_C_beta_15,despues_C_beta_16,despues_C_beta_17,despues_C_beta_18,despues_C_beta_19,Sujeto,Clase
0.7,0.75556,0.69697,0.75758,0.86111,0.54945,NaN,0.64444,0.63636,0.69231,0.85714,0.8,1,0.80556,0.78182,1,0.5,NaN,0.75758,A18RURI,A
0.7,0.75556,0.69697,0.75758,0.86111,0.54945,NaN,0.64444,0.63636,0.69231,0.85714,0.8,1,0.80556,0.78182,1,0.5,NaN,0.75758,A19MOEP,A
0.7,0.75556,0.69697,0.75758,0.86111,0.54945,NaN,0.64444,0.63636,0.69231,0.85714,0.8,1,0.80556,0.78182,1,0.5,NaN,0.75758,A27HECE,A
0.7,0.75556,0.69697,0.75758,0.86111,0.54945,NaN,0.64444,0.63636,0.69231,0.85714,0.8,1,0.80556,0.78182,1,0.5,NaN,0.75758,A28TOPA,A
0.7,0.75556,0.69697,0.75758,0.86111,0.54945,NaN,0.64444,0.63636,0.69231,0.85714,0.8,1,0.80556,0.78182,1,0.5,NaN,0.75758,A8ESSAI,A
1,1,0.73333,1,0.66667,0.66667,0.66667,1,0.51111,0.61905,1,0.71429,0.53333,0.55556,0.53333,0.4,0.58333,0.46667,0.36111,B10ESTO,B
0.5,0.93333,0.76923,0.89091,0.71111,0.75,0.86667,0.96429,0.69231,0.74359,0.65714,1,0.61111,0.69231,0.89091,0.75641,0.66667,0.8,0.74359,B14FOVA,B
NaN,0.66667,0.67857,0.61905,0.71429,NaN,NaN,1,0.33333,0.6,0.58333,0.5,0.66667,0.57143,0.51111,0.7619,0.33333,0,0.5,B15GOGO,B
0.8,1,0.77778,0.6,1,0.58333,0.53333,0.6044,0.82222,0.94444,NaN,0.5,0.74242,0.60256,0.53333,0.93333,0.75556,0.82143,0.80556,B17ARTO,B
0.4,0.7,0.38095,0.2,0.2381,0.66667,0.4,0.57143,0.28571,0.4,0.42857,0.16667,0.26667,0.28571,0.41667,0.66667,0.3,0.6,0.47222,B20RORA,B
NaN,NaN,0.64286,NaN,0.85714,NaN,NaN,0.90476,0.75,0.83333,0.83333,NaN,1,0.72222,0.71111,0.85714,NaN,NaN,0.90476,B21GUDE,B
0.7619,0,0.60606,1,0.54545,0.71429,0.3,0.71429,0.57692,0.57778,0.68889,0.57143,0.66667,0.51111,0.63636,0.66667,0.61905,0.55556,0.67273,B23VEZE,B
0.52381,0.42222,0.7,0.66667,0.066667,0.6,1,0.33333,0.57143,0.36111,0.26667,0.5,0.4,0.16667,0.53333,0.33333,0.5,0,0.33333,B25MEVI,B
NaN,NaN,0.4,0.53333,1,NaN,NaN,0.33333,1,0.4,0.46667,NaN,NaN,0,0.1,1,NaN,NaN,0.33333,B5ARMON,B
0,0.8,0.67857,0.72222,0.66667,0.4,0.7,0.7619,0.52381,0.68889,0.65455,0.38095,0.55556,0.68889,0.42308,0.48889,0.5,0.52381,0.61111,B6SOMOD,B
0.5,0.33333,0.93333,0.75,0.93333,1,NaN,1,0.4,0.42222,0.53333,0.5,0.33333,0.4,0.8,0.75,0,1,0.41667,M10CAUR,M
1,1,0.52778,0.82143,0.77778,0.5,1,1,0.5,0.71111,0.64444,1,NaN,0.52727,0.52727,0.71111,1,1,1,M11BADE,M
NaN,0.33333,0.83333,1,1,NaN,NaN,NaN,0.2,0.38095,0.83333,0.33333,1,1,0.4,NaN,NaN,NaN,NaN,M13FECA,M
0.33333,0.75,0.69444,0.85714,0.85714,0.6,1,0.51282,0.72727,0.65455,0.57143,0.61818,0.72727,0.71429,0.53333,0.80952,0.57576,0.9,1,M16ARVE,M
0.73333,0.60714,0.39286,0.66667,0.5,0.9,0.33333,0.5,0.63889,0.47222,0.26667,0.61905,0.67857,0.33333,0.46667,0.66667,0.33333,0.16667,0,M17GOSE,M
0.33333,0.46667,0.47619,0.42857,0.46667,0.66667,0.66667,0.4,0.38095,0.53333,0.35556,0.33333,0.6,0.47619,0.28571,0.46667,0.4,0.46667,1,M18HUME,M
NaN,0.78095,0.81319,0.92308,0.93939,0.7619,1,0.91026,0.75641,0.92308,0.9697,0.77778,0.78095,0.91026,0.78095,0.94444,1,NaN,0.93939,M21SANA,M
NaN,0.85714,0.6,0.57778,0.66667,0.95238,0.8,0.46667,0.75,0.85714,NaN,NaN,0.64444,0.71429,0.42424,0.66667,1,1,0.66667,M22HUGU,M
0,0.77778,0.77778,0.65455,0.75,NaN,0.33333,0.73333,0.68889,0.80556,0.69091,NaN,0.66667,0.83333,0.67857,0.69091,1,0,0.5,M23SACA,M
0.2,NaN,0.8,0.52381,0.57143,0,0,0.53333,0.4,0.5,0.5,0.66667,0.66667,0.6,0.7,0.5,0.66667,0.3,0,M25MAVI,M
NaN,NaN,0.78571,0.66667,0.90476,NaN,1,0.8,0.5,0.42857,0.57778,0.16667,0.33333,0.5,0.66667,1,NaN,NaN,0.71429,M28NUCO,M
