despues_C_gamma_1,despues_C_gamma_2,despues_C_gamma_3,despues_C_gamma_4,despues_C_gamma_5,despues_C_gamma_6,despues_C_gamma_7,despues_C_gamma_8,despues_C_gamma_9,despues_C_gamma_10,despues_C_gamma_11,despues_C_gamma_12,despues_C_gamma_13,despues_C_gamma_14,despues_C_gamma_15,despues_C_gamma_16,despues_C_gamma_17,despues_C_gamma_18,despues_C_gamma_19,Sujeto,Clase
NaN,0,0.85714,0.58333,0.73333,NaN,0,0.93333,0,0.66667,0.85714,NaN,NaN,0.93333,0.67857,0.66667,NaN,NaN,0.33333,A10GUAC,A
1,0.67857,0.83333,0.70909,0.90476,1,NaN,0.7619,0.65455,0.69091,0.75556,0.46667,0.8,0.68182,0.57576,0.93333,0.85714,NaN,0,A11BRCA,A
1,0.61905,0.57778,0.64444,0.6,1,0.5,0.52381,0.57143,0.5,0.62222,NaN,1,1,0.55556,0.85714,NaN,0.5,0.8,A12CAPA,A
0.9,0.33333,0.51515,0.7619,0.50909,0.46429,0.6,0.7,0.4,0.40909,0.71429,0.46429,0.46667,0.42857,0.5,0.53333,0.60714,0.57143,0.51111,A13RIVI,A
0.53571,0.46667,0.5,0.53333,0.8,0.57143,0.47222,1,0.41667,0.66667,0.47436,0,0.71429,0.66667,0.58182,0.5,0,0.72222,1,A14RARO,A
0.83333,0.55556,0.54545,0.71429,0.93333,1,NaN,0.69444,0.51111,0.46667,0.69444,0.67857,0.71429,0.51515,0.48352,0.73333,0.6,0.5,0.8,A15GOGA,A
0.6,1,0.64286,0.52778,0.3,0.4,0,0.8,0.57143,0.53333,0.53333,0.16667,0.52778,0.50909,0.52727,0.5,0.6,NaN,0.8,A17MUSI,A
0.53333,NaN,1,0.49091,0.9,0,NaN,0.86667,1,0.4,0.73333,0.8,0.46429,0.60714,0.80952,0.8,NaN,NaN,0.55556,A1ARVAE,A
NaN,1,0.80556,0.85714,0.71111,NaN,NaN,1,0.64286,0.83333,0.69091,NaN,0.66667,0.75,0.57576,0.82143,NaN,NaN,0.93333,A21AGLO,A
0.33333,0.46667,0.71429,0.75,0.73333,NaN,NaN,0.83333,0.48889,0.63889,0.82143,NaN,0.6,0.56364,0.63889,0.58333,0.5,NaN,0.5,A22SAHE,A
0.94505,0.94505,0.93333,0.88333,NaN,0.88333,0.96364,0.88333,0.77941,0.93333,0.97222,0.88571,0.87912,0.93333,0.91429,0.91429,0.91429,NaN,0.97436,A24FLMA,A
1,0.5,0.53333,0.53333,0.5,NaN,NaN,0.66667,0.47619,0.57143,0.52381,0.83333,0.53333,0.47619,0.46667,0.66667,NaN,NaN,1,A52CUCA,A
0.5,1,0.45455,0.63889,0.83333,0,NaN,0.53333,0.41667,0.86667,0.45455,NaN,0.83333,0.63889,0.86667,0.71429,NaN,NaN,1,A9AYAND,A
0.46667,0.61905,0.53333,0.66667,0.2,NaN,0,0.42857,0.58333,0.80952,0.7619,1,0.46667,0.80952,0.5,0,1,NaN,1,B11SUPR,B
NaN,1,0.6,0.5,1,1,1,0.53333,0.3,0.83333,0.34545,1,0.5,0.26667,0.39286,0.5,1,1,0.66667,B12LARA,B
0.4,0.33333,0.33333,0.33333,0.83333,0.5,NaN,0.83333,0.33333,0.66667,0.47222,0.66667,0.4,0.42857,0.57143,0.57143,0.2,1,0.66667,B13VIGA,B
0.83333,0.4,0.57143,0.57143,0.7619,0.16667,0.33333,0.73333,0.46429,0.47273,0.67857,0.53333,0,0.46429,NaN,0.9,0.53333,0.66667,0.39286,B18CASI,B
0.33333,NaN,0.60714,NaN,0.66667,0.33333,NaN,1,0.66667,0.64286,0.80952,0.5,0.57143,0.52778,0.73333,0.57143,0.5,1,NaN,B22VIPU,B
0.2,0.33333,0.42857,0.66667,0.73333,0.14286,0.2,0,0.16667,0.47619,0.57143,0.66667,0.33333,0.33333,0.25,0.42857,0.2,0,0.33333,B24CECU,B
NaN,0.66667,0.68182,0.78788,0.88889,NaN,NaN,1,0.84444,0.78788,0.93333,NaN,0.58974,0.87273,0.87273,0.96429,1,NaN,0.78182,B4CAZAD,B
0.51111,0.7,0.54945,0.66667,0.67033,0.64286,1,0.80556,0.62637,0.89286,0.67949,0.7619,0.90476,0.75641,0.78182,0.75758,0.65385,0.62821,0.74545,B7MESEA,B
0.3,1,NaN,0.33333,0.5,1,1,0.5,0.38095,0.38095,0.66667,0.33333,0.35714,0.38095,0.22222,0.4,0.5,NaN,1,B8RAMOM,B
NaN,0,0.32143,0.71429,0.61905,NaN,NaN,1,0.5,0.61905,0.55556,NaN,NaN,0.60714,0.7619,0.61905,NaN,NaN,0.7,M9BENIE,M
0.2381,0.52778,0.5,0.5,0,0.73333,0.52381,0.5,0.61905,0.67857,0.64286,0.66667,0.57143,0.52778,0.41667,0.16667,0.4,0.33333,NaN,M12SAES,M
NaN,1,0.8,0.58333,0.66667,NaN,NaN,0.33333,0.55556,0.62222,0.38462,NaN,1,0.7619,0.78571,0.86667,1,NaN,0.71429,M19NAMO,M
0,0.51515,0.54545,0.6,0.83333,0.5,0.58333,0.73333,0.63636,0.77778,0.5,1,0.66667,0.66667,0.52778,0.46667,0.52381,0.86667,0.6,M24SAME,M
0.46667,0.7,0.33333,0.2381,0.4,0.6,NaN,0.33333,0.46667,0.35714,0.46667,0,0,0.5,0.28571,0.33333,0,0,NaN,M27MUAG,M
NaN,0.33333,0.57143,0.64286,1,0,NaN,0.53333,0.6,0.55556,0.7619,NaN,1,0.32727,0.52778,0.5,NaN,NaN,0.73333,M3ESDIR,M
0,0.2,0.53333,0.66667,0.5,0,0.5,0.7,0.33333,0.42857,0.35556,NaN,NaN,0.83333,0.6,0.53333,0,1,0.66667,M7FLSAA,M
0.66667,0.32143,0.5,0.72222,0.8,0.6,0.33333,0.73333,0.55556,0.56364,0.71429,NaN,0,0.49091,0.66667,0.55556,0,1,0.57143,M8AVGUK,M
0.3,0.52381,0.5,0.66667,0.57143,0.42857,NaN,0.6,0.66667,0.42222,1,NaN,1,0.61905,0.46667,0.83333,NaN,NaN,0.7,M9SAAND,M
