despues_C_sf_1,despues_C_sf_2,despues_C_sf_3,despues_C_sf_4,despues_C_sf_5,despues_C_sf_6,despues_C_sf_7,despues_C_sf_8,despues_C_sf_9,despues_C_sf_10,despues_C_sf_11,despues_C_sf_12,despues_C_sf_13,despues_C_sf_14,despues_C_sf_15,despues_C_sf_16,despues_C_sf_17,despues_C_sf_18,despues_C_sf_19,Sujeto,Clase
0.33333,0.33333,0.52381,0.64286,0.8,0.3,1,0.66667,0.52381,0.38182,0.5,NaN,0.66667,0.52778,0.57778,0.71429,0.5,0.9,0.8,A18RURI,A
0.8,1,0.54545,0.56061,0.57143,0.33333,1,0.52381,0.69444,0.66667,0.51111,NaN,0.55556,0.71429,0.60606,0.71429,0.41667,0.66667,0,A19MOEP,A
0,0.33333,0.86667,0.73333,0.3,1,0,0.33333,0.48889,0.80952,0.52778,0,0.57143,0.47619,0.44444,0.66667,0,0.33333,0.28571,A27HECE,A
0.2,0.7,0.57143,0.66667,1,0,0.33333,0.5,0.47222,0.46667,0.39394,0.38095,0.5,0.46667,0.5,0.71429,0.5,0,0.4,A28TOPA,A
NaN,NaN,0.66667,0.46429,0.7,0.66667,NaN,0.6,0.4,0.6,0.35714,0,1,0.83333,0.39286,0.32143,0,NaN,0.7,A8ESSAI,A
1,0.57143,0.59091,1,0.66667,1,0.80952,0.6,0.52727,0.61818,0.66667,0.93333,0.53846,0.53846,0.5,0.41667,0.75,0.9,0.71429,B10ESTO,B
NaN,0.85714,1,0.68889,0.80952,0,1,0.71429,0.52778,0.71111,0.69444,NaN,NaN,0.75,0.63636,0.69091,NaN,1,0.69091,B14FOVA,B
NaN,0,0.78571,0.60714,0.57143,NaN,NaN,0.6,0.33333,0.72222,0.53333,0,0,0.61111,0.69444,0.80952,0.33333,0,0.86667,B15GOGO,B
0.6,NaN,0.62222,0.9,0,0.52727,0.5,0.64286,0.50909,0.7619,NaN,0,0.5,0.6,0.52727,0.39286,0.60714,0.83333,0.3,B17ARTO,B
1,0.5,0.66667,0.83333,0.9,0.47619,1,0.57778,0.56061,0.71111,0.67273,0.64286,0.46429,0.75,0.57692,0.6,0.66667,1,0.53846,B20RORA,B
NaN,NaN,0.8,NaN,1,NaN,NaN,0.66667,0.6,0.71429,0.71429,NaN,NaN,0.7619,0.80952,0.66667,NaN,NaN,1,B21GUDE,B
0.66667,NaN,0.44444,0.33333,0.67857,1,1,0.6,0.22222,0.7,0.71429,0.66667,1,0.6,0.58333,0.61905,0.66667,0.66667,0.86667,B23VEZE,B
0.89091,0.72527,0.63736,0.33333,0.69444,0.83333,0.8,0.82143,0.83333,0.62857,0.69091,0.88889,0.75758,0.59048,0.63736,0.7619,0.71429,0.76364,0.93333,B25MEVI,B
NaN,NaN,0.4,0.7,0.16667,NaN,NaN,0,0.46667,0.53333,0.53333,NaN,NaN,0.3,0.3,0.33333,NaN,0,0.16667,B5ARMON,B
0,0.33333,0.71429,0.58333,1,0,0.66667,0.86667,0.7,0.61111,0.72222,0,0.5,0.34545,0.72222,0.53333,NaN,0.33333,0.57143,B6SOMOD,B
0.5,0.38095,0.57143,0.52778,0.66667,0.33333,1,0.8,0.47619,0.39394,0.60714,0.33333,0.6,0.33333,0.73333,0.5,0.66667,NaN,0.42857,M10CAUR,M
0.8,0.64286,0.5303,0.77778,0.80556,0.5,NaN,0.75,0.57778,0.5641,0.59091,1,0.33333,0.9,0.82143,0.62222,NaN,1,0.66667,M11BADE,M
NaN,0.7,0.57143,0.66667,1,NaN,NaN,0.9,0.42857,0.44444,0.60714,1,0.66667,0.6,0.71429,1,NaN,NaN,NaN,M13FECA,M
0.5,0.51111,0.57143,0.6,0.66667,0.5,0.5,0.38095,0.37778,0.52778,0.39394,0.66667,0.52381,0.41667,0.46667,0.66667,0.5,0.46429,NaN,M16ARVE,M
0.67857,0.64444,0.51282,0.57143,0.53333,0.58333,0.5,0.64286,0.66667,0.55556,0.54545,0.7619,0.61818,0.5,0.55556,0.60714,0.5,0.73333,1,M17GOSE,M
0.6,0.37778,0.4,0.73333,0.53333,0.32143,0.66667,0.53333,0.46429,0.58333,0.48889,1,0.52381,0.58333,0.42857,0.5,0.73333,0,NaN,M18HUME,M
0.5,0.53333,0.9,0.5,0.80952,0.47222,0,0.80952,0.53333,0.56364,0.86667,0.66667,0.47222,0.53571,0.66667,1,0.5,NaN,0.44444,M21SANA,M
NaN,0.33333,0.33333,0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,M22HUGU,M
1,0.8,0.48889,0.8,0.66667,NaN,0.33333,0.67857,0.73333,0.55556,0.69444,NaN,0.42857,0.53333,0.64286,0.66667,NaN,NaN,0.5,M23SACA,M
0.33333,NaN,0.83333,0.42857,0.4,0,0,NaN,0.2,0.28571,0.5,0.33333,1,0.5,0.38095,0.5,0,NaN,0.66667,M25MAVI,M
1,0.57143,0.85714,0.57778,0.75,NaN,NaN,0.80952,0.51111,0.66667,0.65455,1,0.8,0.58333,0.6,0.80952,NaN,NaN,0.6,M28NUCO,M
