despues_C_theta_1,despues_C_theta_2,despues_C_theta_3,despues_C_theta_4,despues_C_theta_5,despues_C_theta_6,despues_C_theta_7,despues_C_theta_8,despues_C_theta_9,despues_C_theta_10,despues_C_theta_11,despues_C_theta_12,despues_C_theta_13,despues_C_theta_14,despues_C_theta_15,despues_C_theta_16,despues_C_theta_17,despues_C_theta_18,despues_C_theta_19,Sujeto,Clase
1,0.33333,0.4,0.67857,0.67857,0,NaN,0.83333,0.58333,0.61111,0.80952,1,0.71429,0.49091,0.80952,0.80952,0.90476,0.90476,1,A10GUAC,A
0.93333,0.67033,0.85455,0.81818,0.91667,1,0.94444,0.73333,0.67033,0.7,0.8,0.73333,0.61667,0.70513,0.81818,0.82222,0.74242,0.78182,0.75824,A11BRCA,A
0.80769,0.92727,0.82222,0.92727,0.78571,0.82222,0.64762,0.72527,0.68571,0.92727,0.79487,0.71795,0.65455,0.6,0.63333,0.72727,0.66667,0.66667,0.80952,A12CAPA,A
0.63636,0.66667,0.71212,0.73333,0.77778,0.54545,0.66667,0.46429,0.78182,0.64444,0.5,0.78182,0.66667,0.56061,0.63636,0.61111,0.61905,0.47619,0.57576,A13RIVI,A
0.78182,0.87273,0.75556,0.64835,0.71212,0.87273,0.65934,0.75758,0.67949,0.9,0.67857,0.80952,0.87273,0.47222,0.73333,0.85455,0.4,0.4,NaN,A14RARO,A
0.70909,0.71795,0.65152,0.88889,1,0.83333,1,0.96429,0.71429,0.69091,0.72727,0.75758,0.71795,0.66667,0.71795,0.4,0.85714,1,0.82222,A15GOGA,A
0.93333,0.82353,0.82353,0.89524,0.875,0.93333,0.875,0.875,0.875,0.84559,1,0.98718,0.875,0.82353,0.89524,0.9359,1,0.98718,0.9359,A17MUSI,A
0.6,1,0.33333,0.80556,1,1,0.82143,0.96429,0.6,1,0.80556,0.6,1,0.58182,0.80556,0.96429,0.6,1,0.96429,A1ARVAE,A
0.57143,0.53333,0.4,0.47619,0.5,0.5,0,0.5,0.53571,0.57143,0.53333,0.7619,0.64286,0.66667,0.52381,0.4,0.61905,0.64286,0.53333,A21AGLO,A
0.93333,0.73333,0.62121,0.84444,0.84444,0.7619,0.4,0.72727,0.71429,1,1,0.7619,0.42222,0.86667,0.86667,0.86667,0.8,0.46667,0.86667,A22SAHE,A
0.925,0.86275,0.86275,0.92647,1,0.92647,0.99167,0.92647,0.99167,0.91912,0.92647,1,0.91912,0.91912,0.99167,0.92647,0.91912,1,0.92647,A24FLMA,A
0.71429,0.72527,0.75641,0.75,1,0.83333,0.72727,0.77778,0.71429,0.84848,0.675,0.71429,0.89091,0.93333,0.75824,0.74545,1,0.74242,0.93333,A52CUCA,A
0.52727,0.95238,0.75,0.57778,1,0.95238,0.7619,0.90476,1,0.78571,0.75,0.69444,0.95238,0.64286,0.50909,0.53333,0.69444,0.8,0.52381,A9AYAND,A
0.78788,0.71795,0.71795,0.75,0.77778,0.71212,0.85714,0.93333,0.75758,0.75758,1,0.91667,0.81818,0.74242,0.67033,NaN,0.74359,0.71429,0,B11SUPR,B
0.73333,0.66667,0.63636,0.72727,0.71429,0.65152,0.72727,0.69231,0.75556,0.78571,0.8,0.60606,0.61818,0.70909,0.68182,0.5,0.56061,0.52727,0.67949,B12LARA,B
0.74545,1,0.68182,1,0.5,0.68182,0.67857,0.46667,0.94444,0.94444,0.5,0.84444,0.94444,0.62222,0.6,0.5,1,0.33333,0.5,B13VIGA,B
