despues_E_beta_1,despues_E_beta_2,despues_E_beta_3,despues_E_beta_4,despues_E_beta_5,despues_E_beta_6,despues_E_beta_7,despues_E_beta_8,despues_E_beta_9,despues_E_beta_10,despues_E_beta_11,despues_E_beta_12,despues_E_beta_13,despues_E_beta_14,despues_E_beta_15,despues_E_beta_16,despues_E_beta_17,despues_E_beta_18,despues_E_beta_19,Sujeto,Clase
7,34,46,50,31,50,0,29,42,54,24,8,10,29,43,15,3,0,50,A18RURI,A
7,34,46,50,31,50,0,29,42,54,24,8,10,29,43,15,3,0,50,A19MOEP,A
7,34,46,50,31,50,0,29,42,54,24,8,10,29,43,15,3,0,50,A27HECE,A
7,34,46,50,31,50,0,29,42,54,24,8,10,29,43,15,3,0,50,A28TOPA,A
7,34,46,50,31,50,0,29,42,54,24,8,10,29,43,15,3,0,50,A8ESSAI,A
10,6,11,1,2,2,2,1,23,13,3,20,24,25,8,6,21,7,13,B10ESTO,B
3,42,60,49,32,21,13,27,54,58,69,1,22,54,49,59,2,8,58,B14FOVA,B
0,2,19,13,15,0,0,3,7,9,21,3,2,16,23,16,1,0,3,B15GOGO,B
36,1,35,6,1,21,8,55,37,34,0,3,49,47,56,14,34,23,29,B17ARTO,B
4,7,8,2,5,4,6,12,8,6,12,1,4,8,15,10,3,6,17,B20RORA,B
0,0,18,0,18,0,0,19,21,30,30,0,3,26,32,24,0,0,19,B21GUDE,B
16,0,40,6,36,20,3,15,45,26,31,16,14,23,35,24,13,20,37,B23VEZE,B
11,19,7,4,1,9,3,5,12,13,4,14,4,1,8,1,5,0,2,B25MEVI,B
0,0,6,8,1,0,0,2,6,6,7,0,0,0,1,1,0,0,1,B5ARMON,B
0,12,19,26,10,4,7,16,11,31,36,8,25,31,33,22,3,11,22,B6SOMOD,B
5,7,14,21,14,1,0,10,6,19,24,5,1,4,12,21,0,1,15,M10CAUR,M
6,6,19,23,28,14,1,10,18,32,29,6,0,29,29,32,3,3,15,M11BADE,M
0,1,5,3,1,0,0,0,3,8,5,1,1,1,4,0,0,0,0,M13FECA,M
1,21,25,24,24,6,3,40,40,36,52,34,40,20,8,17,38,9,3,M16ARVE,M
11,17,11,2,3,9,1,5,23,17,4,13,19,12,7,2,2,1,0,M17GOSE,M
2,7,10,9,7,4,2,4,8,8,16,2,6,10,8,7,6,7,3,M18HUME,M
0,82,74,72,62,80,1,71,59,72,64,28,82,71,82,34,6,0,62,M21SANA,M
0,18,33,26,2,20,8,7,27,24,0,0,29,15,28,2,3,6,4,M22HUGU,M
0,28,35,36,21,0,1,11,31,29,38,0,30,5,19,38,3,0,5,M23SACA,M
3,0,8,11,12,0,0,8,6,14,18,2,2,9,7,3,2,3,0,M25MAVI,M
0,0,22,24,19,0,3,12,3,9,26,1,2,5,24,15,0,0,15,M28NUCO,M
