despues_E_delta_1,despues_E_delta_2,despues_E_delta_3,despues_E_delta_4,despues_E_delta_5,despues_E_delta_6,despues_E_delta_7,despues_E_delta_8,despues_E_delta_9,despues_E_delta_10,despues_E_delta_11,despues_E_delta_12,despues_E_delta_13,despues_E_delta_14,despues_E_delta_15,despues_E_delta_16,despues_E_delta_17,despues_E_delta_18,despues_E_delta_19,Sujeto,Clase
20,23,19,22,9,24,19,14,22,20,15,24,24,14,5,14,23,24,10,A10GUAC,A
105,121,105,111,127,21,61,76,127,127,121,100,121,121,111,116,77,66,100,A11BRCA,A
20,1,18,44,32,22,20,32,10,17,30,8,3,10,21,26,15,44,26,A12CAPA,A
14,21,35,60,55,30,55,56,13,64,49,14,4,44,49,35,42,42,41,A13RIVI,A
132,105,132,132,132,1,132,133,132,132,119,132,119,132,132,92,132,132,118,A14RARO,A
56,40,76,61,56,50,5,61,48,21,62,48,17,19,35,41,48,3,24,A15GOGA,A
41,47,54,25,18,34,21,29,47,54,25,41,47,52,23,20,45,51,37,A17MUSI,A
112,0,66,99,99,112,94,99,101,94,99,62,95,94,106,106,31,18,106,A1ARVAE,A
76,48,51,74,86,80,0,85,76,13,56,21,86,60,76,71,57,0,76,A21AGLO,A
46,38,11,8,26,41,4,10,46,41,10,46,46,47,13,18,39,34,10,A22SAHE,A
125,129,129,136,66,111,129,129,129,129,28,111,136,129,125,115,125,115,136,A24FLMA,A
116,126,126,117,126,67,126,126,115,126,116,116,55,115,126,116,1,115,115,A52CUCA,A
36,29,40,11,14,35,11,3,38,31,11,35,17,4,7,26,16,29,15,A9AYAND,A
12,78,98,102,102,79,73,79,81,88,48,10,73,69,40,73,52,77,59,B11SUPR,B
9,33,29,15,6,30,36,33,32,42,15,6,32,50,35,24,24,40,34,B12LARA,B
1,13,12,12,11,2,2,4,12,10,10,6,4,3,10,11,11,2,11,B13VIGA,B
6,55,55,79,79,56,55,55,74,74,68,79,19,84,18,8,29,44,50,B18CASI,B
121,120,120,0,120,1,120,120,120,120,120,121,120,120,120,120,120,120,120,B22VIPU,B
25,25,6,13,2,3,31,10,16,22,21,25,30,6,22,2,21,9,5,B24CECU,B
86,86,79,66,101,77,9,0,101,101,28,98,105,101,101,70,93,66,39,B4CAZAD,B
35,41,32,34,52,12,17,29,35,44,29,11,24,0,57,40,3,14,31,B7MESEA,B
104,96,93,104,60,1,75,82,104,86,75,96,63,96,104,82,35,0,93,B8RAMOM,B
34,17,19,40,45,26,40,34,18,4,36,36,8,36,50,40,25,20,36,M9BENIE,M
45,61,10,49,9,0,21,49,56,15,1,54,15,56,56,51,53,49,16,M12SAES,M
76,66,31,72,82,10,54,79,83,6,46,58,64,79,79,83,0,0,64,M19NAMO,M
51,45,13,55,54,28,14,62,60,45,50,39,0,13,6,55,4,38,34,M24SAME,M
34,46,46,42,20,4,44,29,31,33,14,19,19,27,47,47,4,7,42,M27MUAG,M
29,16,4,15,23,26,14,26,23,1,18,20,21,6,25,22,16,17,23,M3ESDIR,M
99,70,109,44,79,109,91,91,83,113,53,64,62,83,10,56,55,109,102,M7FLSAA,M
73,73,62,72,20,70,35,68,74,0,64,9,67,66,76,15,35,15,84,M8AVGUK,M
36,100,49,108,83,108,66,76,108,91,76,35,86,85,74,93,66,1,108,M9SAAND,M
