despues_E_delta_1,despues_E_delta_2,despues_E_delta_3,despues_E_delta_4,despues_E_delta_5,despues_E_delta_6,despues_E_delta_7,despues_E_delta_8,despues_E_delta_9,despues_E_delta_10,despues_E_delta_11,despues_E_delta_12,despues_E_delta_13,despues_E_delta_14,despues_E_delta_15,despues_E_delta_16,despues_E_delta_17,despues_E_delta_18,despues_E_delta_19,Sujeto,Clase
59,50,101,101,8,15,68,90,106,101,105,90,101,83,74,96,74,57,55,A18RURI,A
3,82,83,90,66,40,28,82,74,67,67,1,47,53,66,80,32,53,39,A19MOEP,A
12,21,56,49,48,12,2,42,45,53,38,3,29,46,20,63,3,60,67,A27HECE,A
50,39,0,41,1,1,36,29,30,50,57,56,30,15,52,41,11,9,43,A28TOPA,A
29,23,23,24,2,20,20,16,21,39,24,25,21,23,26,0,21,21,6,A8ESSAI,A
0,26,38,9,3,32,8,3,35,30,34,38,35,33,14,3,12,16,3,B10ESTO,B
34,43,43,6,24,30,33,30,48,31,11,8,48,36,11,30,14,4,14,B14FOVA,B
66,83,64,82,6,83,0,1,88,82,88,75,72,75,91,71,66,22,31,B15GOGO,B
8,46,46,4,5,46,50,24,38,1,6,23,50,39,7,7,28,38,35,B17ARTO,B
93,93,76,93,72,0,87,87,83,21,0,90,90,58,90,93,83,87,6,B20RORA,B
38,50,64,0,27,38,45,33,44,57,32,16,21,50,64,26,1,60,51,B21GUDE,B
13,7,51,4,7,34,32,13,39,41,31,23,38,47,21,3,40,30,6,B23VEZE,B
10,12,10,13,26,18,15,31,13,28,18,8,14,29,31,24,12,22,26,B25MEVI,B
16,31,30,70,49,2,9,36,23,64,59,36,59,59,36,26,54,48,64,B5ARMON,B
10,30,72,66,66,35,90,75,87,72,78,20,69,78,72,80,14,9,66,B6SOMOD,B
41,63,87,87,21,88,87,77,73,83,83,15,88,88,94,27,100,0,67,M10CAUR,M
16,29,25,37,17,8,4,29,16,37,30,33,15,33,35,17,13,24,29,M11BADE,M
20,15,3,22,14,1,10,4,6,1,17,8,15,14,17,12,4,18,3,M13FECA,M
54,67,76,48,43,59,5,44,76,60,76,7,65,76,60,67,3,2,39,M16ARVE,M
19,18,28,15,8,8,22,7,29,20,19,22,33,20,10,8,22,21,1,M17GOSE,M
118,111,111,89,10,66,111,32,118,118,100,111,118,111,111,89,88,77,111,M18HUME,M
25,46,44,39,57,9,10,57,53,58,13,61,47,51,66,17,23,61,13,M21SANA,M
33,34,81,84,45,50,10,73,93,93,44,57,92,51,101,77,75,71,87,M22HUGU,M
26,35,46,27,27,26,52,47,46,41,21,26,51,46,27,36,15,0,47,M23SACA,M
0,5,50,58,72,40,8,50,47,58,67,18,51,56,67,67,12,79,50,M25MAVI,M
8,66,72,68,54,16,0,72,38,68,61,11,47,54,68,54,3,45,68,M28NUCO,M
