despues_E_sf_1,despues_E_sf_2,despues_E_sf_3,despues_E_sf_4,despues_E_sf_5,despues_E_sf_6,despues_E_sf_7,despues_E_sf_8,despues_E_sf_9,despues_E_sf_10,despues_E_sf_11,despues_E_sf_12,despues_E_sf_13,despues_E_sf_14,despues_E_sf_15,despues_E_sf_16,despues_E_sf_17,despues_E_sf_18,despues_E_sf_19,Sujeto,Clase
0,7,24,22,17,0,3,24,6,20,27,0,2,25,22,4,0,0,4,A10GUAC,A
0,8,16,13,12,0,0,6,15,23,17,7,17,12,14,6,5,0,0,A11BRCA,A
0,9,16,18,22,1,0,3,4,21,24,0,0,3,20,13,0,2,6,A12CAPA,A
2,3,17,11,12,1,1,4,9,18,8,2,6,5,11,6,2,4,7,A13RIVI,A
23,8,52,28,10,22,29,10,19,44,35,7,13,29,46,30,0,22,23,A14RARO,A
5,19,39,28,24,3,0,28,21,25,28,23,26,41,40,11,13,14,14,A15GOGA,A
0,8,8,20,3,2,0,7,8,16,24,1,11,21,20,5,1,1,6,A17MUSI,A
18,1,1,43,21,3,6,40,13,17,26,12,25,23,20,15,4,3,33,A1ARVAE,A
0,2,38,31,33,0,0,20,20,33,41,0,7,35,41,33,0,0,26,A21AGLO,A
4,10,3,17,4,0,0,1,20,19,21,0,6,23,20,24,5,0,6,A22SAHE,A
62,83,95,95,0,85,51,98,95,95,6,64,73,95,84,78,88,0,73,A24FLMA,A
3,3,4,8,3,0,0,4,7,10,7,5,6,7,6,1,0,0,1,A52CUCA,A
9,9,29,16,0,1,0,6,15,12,28,0,6,26,14,17,0,0,10,A9AYAND,A
14,23,31,10,9,1,1,25,34,21,17,3,14,17,23,0,3,1,2,B11SUPR,B
0,2,12,5,7,3,2,8,5,8,20,5,4,16,22,3,10,1,11,B12LARA,B
3,3,10,0,6,3,0,5,7,6,11,2,7,4,10,10,2,1,3,B13VIGA,B
2,8,11,13,17,3,7,11,15,32,23,3,0,15,0,5,14,13,15,B18CASI,B
12,0,22,0,2,4,0,1,16,19,18,5,15,21,15,15,8,1,0,B22VIPU,B
2,5,13,4,0,10,4,0,4,3,5,2,0,4,6,6,4,0,0,B24CECU,B
0,15,45,52,40,0,0,26,34,52,33,0,40,47,56,26,3,3,44,B4CAZAD,B
14,13,35,37,40,18,3,18,60,18,50,22,16,51,53,33,49,39,46,B7MESEA,B
5,4,0,6,3,0,0,5,4,8,4,3,6,4,8,4,1,0,4,B8RAMOM,B
0,0,13,18,15,0,0,5,2,17,22,0,0,22,17,25,0,0,9,M9BENIE,M
0,3,13,8,0,0,1,3,6,13,13,0,11,8,7,0,1,0,0,M12SAES,M
0,5,7,20,21,0,0,3,13,26,33,0,0,20,23,19,3,1,16,M19NAMO,M
3,50,54,37,36,34,42,23,45,45,54,1,20,51,31,43,13,21,21,M24SAME,M
6,6,0,7,4,6,0,4,6,10,10,1,0,2,5,2,0,0,0,M27MUAG,M
0,5,15,19,2,0,0,3,15,20,20,0,0,17,16,3,0,0,15,M3ESDIR,M
1,4,11,6,10,0,6,7,2,12,17,0,0,6,18,7,2,9,8,M7FLSAA,M
6,7,28,26,12,12,6,13,24,37,22,0,0,28,28,19,0,3,11,M8AVGUK,M
13,33,14,20,24,29,0,20,33,44,26,3,6,39,37,19,1,0,29,M9SAAND,M
