despues_E_theta_1,despues_E_theta_2,despues_E_theta_3,despues_E_theta_4,despues_E_theta_5,despues_E_theta_6,despues_E_theta_7,despues_E_theta_8,despues_E_theta_9,despues_E_theta_10,despues_E_theta_11,despues_E_theta_12,despues_E_theta_13,despues_E_theta_14,despues_E_theta_15,despues_E_theta_16,despues_E_theta_17,despues_E_theta_18,despues_E_theta_19,Sujeto,Clase
15,2,4,19,19,0,0,5,21,22,17,15,20,27,17,17,19,19,15,A10GUAC,A
14,61,47,54,33,10,34,77,61,84,44,33,74,55,54,37,49,43,69,A11BRCA,A
63,51,37,51,22,37,68,66,72,51,62,56,36,6,76,40,4,4,17,A12CAPA,A
35,2,47,11,35,36,10,13,43,29,3,43,30,37,35,22,13,10,38,A13RIVI,A
43,48,34,59,47,48,60,50,53,9,19,17,48,17,11,47,4,4,0,A14RARO,A
39,56,43,40,1,5,1,27,65,38,40,50,56,52,56,6,24,21,37,A15GOGA,A
98,126,126,94,119,98,119,119,119,115,28,77,119,126,94,73,66,77,73,A17MUSI,A
6,3,7,29,21,3,23,27,6,1,29,6,3,32,29,27,6,3,27,A1ARVAE,A
12,8,6,10,5,5,0,3,15,16,8,16,18,14,11,6,13,18,8,A21AGLO,A
14,11,41,38,38,16,6,40,15,36,36,16,19,39,39,39,12,7,39,A22SAHE,A
111,132,132,126,28,126,119,126,119,125,126,21,125,125,119,126,125,105,126,A24FLMA,A
75,66,59,27,6,30,48,28,75,56,81,65,49,42,69,41,28,49,42,A52CUCA,A
29,20,21,26,1,20,16,19,15,22,21,25,20,18,28,8,25,12,11,A9AYAND,A
52,56,56,21,35,47,18,14,50,50,6,33,45,49,61,0,58,15,0,B11SUPR,B
11,4,42,48,20,43,48,54,34,22,36,40,34,39,45,18,37,29,53,B12LARA,B
41,28,45,1,14,45,19,7,34,34,14,38,34,28,6,3,28,1,3,B13VIGA,B
28,78,81,79,56,30,81,55,70,42,57,49,0,73,0,37,57,54,54,B18CASI,B
48,1,0,1,0,48,35,0,28,1,1,48,35,43,36,23,48,48,48,B22VIPU,B
3,10,17,18,6,0,6,14,4,9,17,13,7,12,25,4,19,1,1,B24CECU,B
20,31,36,42,28,19,6,12,17,22,39,56,51,40,39,37,45,9,6,B4CAZAD,B
17,19,25,28,10,6,21,25,19,20,28,13,14,15,26,24,14,2,13,B7MESEA,B
18,42,5,5,1,22,10,0,39,44,49,44,44,37,43,10,43,15,39,B8RAMOM,B
0,0,6,8,8,0,6,8,0,13,5,6,11,15,11,6,0,3,8,M9BENIE,M
33,29,41,16,2,36,21,3,36,35,9,26,38,33,3,4,9,15,10,M12SAES,M
35,8,34,44,22,14,16,2,39,3,29,41,1,49,51,41,24,8,43,M19NAMO,M
9,22,37,31,11,11,0,4,26,16,39,9,28,17,17,9,32,32,22,M24SAME,M
32,48,10,9,29,31,15,28,56,48,13,25,51,42,35,34,25,18,12,M27MUAG,M
1,33,28,34,6,1,16,8,33,33,34,3,33,41,19,6,20,44,15,M3ESDIR,M
3,34,27,47,25,25,28,15,47,42,44,34,36,27,41,11,34,3,29,M7FLSAA,M
49,70,66,78,30,67,59,28,57,57,72,55,89,43,53,70,6,56,6,M8AVGUK,M
25,11,19,32,23,15,15,11,25,29,6,26,29,26,17,3,10,15,23,M9SAAND,M
