despues_E_theta_1,despues_E_theta_2,despues_E_theta_3,despues_E_theta_4,despues_E_theta_5,despues_E_theta_6,despues_E_theta_7,despues_E_theta_8,despues_E_theta_9,despues_E_theta_10,despues_E_theta_11,despues_E_theta_12,despues_E_theta_13,despues_E_theta_14,despues_E_theta_15,despues_E_theta_16,despues_E_theta_17,despues_E_theta_18,despues_E_theta_19,Sujeto,Clase
28,10,1,0,19,10,10,7,27,0,0,28,2,2,1,19,18,16,15,A18RURI,A
56,56,60,25,13,56,25,10,44,56,53,52,9,47,41,16,37,59,35,A19MOEP,A
44,44,58,26,0,42,0,16,58,37,14,53,40,53,42,21,36,33,46,A27HECE,A
47,37,27,27,17,9,10,35,28,20,52,16,10,34,41,31,35,2,11,A28TOPA,A
12,71,64,55,3,16,49,57,12,67,55,16,40,60,62,12,69,42,60,A8ESSAI,A
46,48,47,41,23,42,37,3,48,47,26,26,28,64,26,12,3,27,30,B10ESTO,B
18,16,25,42,27,6,25,17,40,45,47,37,22,25,40,6,37,29,27,B14FOVA,B
10,46,52,38,28,39,24,16,29,47,36,14,39,45,49,13,25,0,8,B15GOGO,B
19,1,12,28,3,11,21,12,15,21,19,11,7,22,29,17,20,17,12,B17ARTO,B
4,45,51,42,6,9,2,44,50,51,51,2,24,22,45,45,0,3,50,B20RORA,B
37,0,30,0,30,10,0,6,25,34,34,13,35,21,26,29,0,3,12,B21GUDE,B
15,3,19,2,11,3,16,2,26,21,7,26,26,21,9,3,21,3,3,B23VEZE,B
47,28,21,14,20,29,24,32,33,36,13,47,37,45,29,21,33,41,20,B25MEVI,B
5,14,15,19,9,4,10,3,10,10,19,1,8,7,6,14,1,8,8,B5ARMON,B
74,74,80,94,33,86,28,71,74,94,84,64,74,94,31,74,49,0,1,B6SOMOD,B
53,32,31,35,39,5,13,20,35,59,34,38,35,71,38,39,15,32,66,M10CAUR,M
20,52,37,53,24,10,16,48,61,68,53,16,64,27,37,51,27,58,37,M11BADE,M
3,21,29,6,0,0,23,3,21,27,8,0,21,0,1,0,21,23,0,M13FECA,M
40,25,34,22,38,9,3,1,26,30,40,41,3,41,27,4,4,8,3,M16ARVE,M
41,34,4,2,2,44,28,2,42,30,5,41,41,29,6,4,41,37,5,M17GOSE,M
27,30,16,31,13,8,22,19,25,22,27,27,23,15,15,23,19,10,15,M18HUME,M
45,66,75,95,42,53,89,60,89,47,19,58,89,41,61,1,53,60,46,M21SANA,M
26,76,68,51,88,68,61,68,84,77,77,26,69,41,77,49,15,1,40,M22HUGU,M
8,39,23,64,45,20,17,38,39,39,59,3,47,44,49,36,9,33,18,M23SACA,M
57,24,75,64,51,6,0,36,58,36,64,24,75,64,64,42,9,39,34,M25MAVI,M
6,10,51,48,0,6,6,28,19,30,48,10,44,48,43,10,23,43,31,M28NUCO,M
