despues_Gio_alpha_1,despues_Gio_alpha_2,despues_Gio_alpha_3,despues_Gio_alpha_4,despues_Gio_alpha_5,despues_Gio_alpha_6,despues_Gio_alpha_7,despues_Gio_alpha_8,despues_Gio_alpha_9,despues_Gio_alpha_10,despues_Gio_alpha_11,despues_Gio_alpha_12,despues_Gio_alpha_13,despues_Gio_alpha_14,despues_Gio_alpha_15,despues_Gio_alpha_16,despues_Gio_alpha_17,despues_Gio_alpha_18,despues_Gio_alpha_19,Sujeto,Clase
7.0602,10.761,9.1359,7.4274,8.0604,10.0937,11.34,7.5584,11.8961,6.6542,5.9924,7.6428,9.1623,7.2262,6.2009,5.6382,4.3632,4.1203,6.8405,A10GUAC,A
4.5628,8.7933,10.1231,9.4061,9.8464,2.4919,0.69646,5.7169,9.935,8.6076,8.1889,6.8619,10.3282,11.4118,9.4146,2.0091,6.5881,4.3825,2.088,A11BRCA,A
1.6422,9.2026,6.7202,6.5132,10.0843,3.0686,3.7359,3.0332,8.0315,3.0728,5.1818,7.3041,8.0425,8.7445,9.5622,7.9332,5.2914,7.3238,5.324,A12CAPA,A
4.535,2.814,6.0465,2.2354,2.1566,3.742,0.71761,2.8223,5.0554,4.9415,4.7029,5.3137,4.9707,6.0488,3.755,2.3722,4.6295,2.4532,3.0468,A13RIVI,A
4.1037,7.3603,12.0119,5.3523,4.9355,5.7121,9.1734,4.1347,10.1035,10.1385,9.2993,2.5552,9.9386,10.2864,5.3875,3.2177,3.1703,7.5815,5.1147,A14RARO,A
5.6269,7.1018,9.8952,10.0492,9.4717,3.4944,9.3694,9.8398,7.0417,10.8106,10.3123,5.8535,11.6759,11.9389,9.9962,9.357,6.0552,9.7804,7.5521,A15GOGA,A
7.4194,5.4246,8.4933,9.9065,7.3942,8.8475,8.6179,10.453,4.8643,4.8852,6.003,6.6701,10.7347,5.8005,10.1132,8.0477,4.3718,3.613,8.7447,A17MUSI,A
6.4797,2.9269,0.86064,3.798,5.0388,5.4105,4.4489,4.2812,5.3178,1.4226,5.7963,2.9091,5.8165,6.4287,6.6657,5.1368,7.7075,5.5533,8.0149,A1ARVAE,A
4.0441,8.2926,7.0196,8.9964,8.338,3.9643,4.0101,7.2346,8.3512,10.2425,9.8803,6.0135,8.0555,5.7728,4.0338,7.3578,2.4049,2.1948,3.1684,A21AGLO,A
1.4516,7.7616,6.9346,7.8557,5.0207,0.7026,5.2243,6.1238,6.5559,8.0155,6.3663,5.8369,6.897,7.6289,7.3243,5.1347,2.1227,1.5116,4.1042,A22SAHE,A
15.2435,15.1867,15.4402,15.47,0.8226,15.2701,14.6857,15.4013,15.5813,15.428,0,15.1948,15.6979,15.3198,15.1836,15.4207,15.4221,13.9696,15.3683,A24FLMA,A
7.0933,5.5754,9.3295,5.5314,2.4303,7.4023,6.7365,2.4359,7.4571,8.6879,6.2655,8.2066,7.7336,6.4951,6.2482,4.6011,7.2212,5.3262,5.215,A52CUCA,A
8.7871,9.6185,10.4118,6.1796,0.71479,7.5891,7.9908,7.5041,8.009,7.9795,6.8927,9.2007,9.7565,10.4318,5.0354,3.6511,4.2349,7.542,1.6086,A9AYAND,A
9.0612,9.7881,11,7.488,7.0361,9.4849,2.9262,8.5347,11.0054,9.3722,9.5863,7.1636,7.926,10.7929,9.1402,2.3131,3.6749,2.1432,3.0445,B11SUPR,B
6.725,7.1293,9.1481,5.878,7.7571,7.9499,0.76838,6.8533,9.0038,3.6849,5.925,5.5594,7.2182,3.0555,6.536,4.1413,6.1164,8.4859,6.1105,B12LARA,B
3.6692,9.0916,9.1699,7.6017,7.6992,3.5452,8.0287,5.8903,10.1255,10.5491,9.2647,4.4213,7.1881,10.3314,5.6725,6.6544,8.473,6.3169,4.0872,B13VIGA,B
4.4799,11.3427,11.096,9.1526,1.6122,10.2849,8.7819,7.9845,11.1853,9.9079,9.2462,6.8,3.5161,10.8205,2.4055,2.1535,6.5631,7.06,9.9726,B18CASI,B
5.5114,3.5498,5.7989,6.5531,5.0158,7.5326,4.216,0.78103,7.0741,6.3303,6.4428,5.9309,7.8785,6.8288,7.805,6.0894,6.6305,2.0212,4.7837,B22VIPU,B
2.1943,4.5073,7.1891,5.8237,5.7737,5.1503,5.0455,3.8082,3.1375,5.2155,6.8681,2.925,3.0352,3.0948,5.3963,5.9737,2.4678,2.1661,3.0234,B24CECU,B
3.9644,9.1664,9.8975,9.89,10.1673,10.8435,4.1103,4.0882,12.1821,11.9709,4.7536,0.7598,8.9461,9.2793,10.5228,11.741,8.5068,5.9136,11.8341,B4CAZAD,B
3.0753,2.3671,2.0166,5.9439,6.5593,3.7001,0.65961,2.8295,4.2978,6.1669,6.5972,2.2228,0.74746,5.1525,6.6916,5.9105,0.66554,1.4199,3.7325,B7MESEA,B
9.6526,10.588,9.852,9.6046,10.4315,10.2914,5.9538,8.3696,12.2289,11.3064,8.8218,11.4787,11.4364,8.586,3.8381,5.1317,11.7505,6.5922,1.5405,B8RAMOM,B
3.1813,2.9639,2.8863,6.4624,6.2652,5.2712,2.4647,0.79709,5.8513,6.8011,7.4923,3.1451,0.74188,7.3623,7.3925,0.88012,5.1504,1.3463,3.6533,M9BENIE,M
6.7153,5.0793,3.2032,6.2826,6.9621,4.7467,4.2433,7.0812,2.9003,1.4227,4.0133,3.8729,4.6669,2.1599,4.1752,3.8709,4.0659,0.69294,2.3928,M12SAES,M
6.5297,8.1271,7.9693,9.5861,4.0328,7.6958,6.6783,5.7676,10.3054,9.8801,9.6848,8.6663,6.5603,4.0271,10.008,8.7371,8.4737,3.6712,6.4845,M19NAMO,M
4.5701,13.0076,11.5183,9.716,2.1994,9.4641,8.433,7.5697,10.4146,12.3767,9.129,4.8139,12.924,11.4008,9.5388,9.9068,6.2327,12.2151,5.3356,M24SAME,M
3.5929,7.6913,8.1618,8.252,3.8762,1.5229,5.3971,6.4294,8.0319,7.4425,5.6995,3.1352,5.9821,6.3407,7.2553,3.5832,7.7549,5.3426,3.705,M27MUAG,M
7.516,9.7159,2.3077,7.2193,8.2032,6.161,2.2677,6.431,5.8585,7.7824,7.2669,6.5068,9.4632,8.3472,9.6055,3.8586,8.7337,8.045,4.6118,M3ESDIR,M
11.7002,5.0441,11.4674,10.3122,9.3847,7.5647,8.5874,10.0399,7.8666,13.3732,11.5491,7.3141,12.4639,7.0434,12.258,4.7216,13.1351,9.0795,12.1027,M7FLSAA,M
5.6241,9.4288,7.9404,9.807,6.3454,6.1082,8.5047,8.4404,7.6794,5.414,10.9099,4.8519,9.439,8.0878,3.7053,3.1209,4.1461,5.8074,2.3708,M8AVGUK,M
10.3085,11.8645,7.07,11.8975,6.4538,13.1572,11.0675,11.1252,12.0469,5.588,3.9848,9.1065,10.2699,12.2565,15.2244,3.163,12.0704,12.6605,12.8928,M9SAAND,M
