despues_Gio_alpha_1,despues_Gio_alpha_2,despues_Gio_alpha_3,despues_Gio_alpha_4,despues_Gio_alpha_5,despues_Gio_alpha_6,despues_Gio_alpha_7,despues_Gio_alpha_8,despues_Gio_alpha_9,despues_Gio_alpha_10,despues_Gio_alpha_11,despues_Gio_alpha_12,despues_Gio_alpha_13,despues_Gio_alpha_14,despues_Gio_alpha_15,despues_Gio_alpha_16,despues_Gio_alpha_17,despues_Gio_alpha_18,despues_Gio_alpha_19,Sujeto,Clase
2.2253,1.3923,2.9204,3.2511,2.9193,3.1163,0.6626,2.9656,3.5461,6.8918,6.3196,2.2148,5.5485,5.0219,5.0129,3.2518,2.8218,0,3.092,A18RURI,A
7.1248,8.4524,9.1978,6.453,6.3034,2.9848,2.9668,6.7841,9.3039,8.122,6.4129,4.245,8.4762,8.4541,8.505,4.8679,9.4823,5.7382,2.0498,A19MOEP,A
3.2042,8.1845,8.3265,9.0238,0,7.0192,0,0,12.0571,10.3647,11.1471,10.2766,6.3857,10.2874,9.7698,0.74009,9.6377,8.5643,7.2394,A27HECE,A
4.6759,8.0827,8.8856,7.2348,2.1025,6.0507,5.0233,8.9569,9.7399,9.7429,8.312,2.0833,10.4451,6.4834,7.1539,5.4566,2.9222,2.323,3.7881,A28TOPA,A
2.1465,5.8463,4.2157,6.9114,6.3498,2.2244,2.1982,2.9408,7.4571,5.9625,7.2852,4.6194,4.029,6.8028,7.3443,4.1698,5.25,6.0235,6.1491,A8ESSAI,A
9.0333,5.2739,7.3488,3.7985,5.099,4.8059,0.69632,0.69632,8.8617,7.8317,10.7462,8.8307,11.9938,9.6978,10.3998,7.216,0.69866,5.1763,6.3562,B10ESTO,B
3.8251,4.4961,5.0119,6.1812,6.3793,2.9553,1.3853,0,5.5887,9.2765,7.6206,3.6858,5.0197,8.481,7.8351,7.6056,0.70401,5.9785,8.16,B14FOVA,B
5.933,3.9158,6.0952,6.9699,2.1816,6.9472,2.2764,1.5719,7.2779,6.665,4.1969,5.8185,4.488,4.2261,3.4529,2.3342,3.0211,0.76971,1.6505,B15GOGO,B
6.3215,3.7998,4.9141,4.1275,0,7.0024,5.0188,4.9628,4.5477,3.6566,3.8408,3.8055,3.0508,6.5737,7.4037,6.2284,8.3765,7.1357,5.8176,B17ARTO,B
3.8761,6.0764,9.2849,6.9813,2.8749,5.2804,9.9931,9.1555,5.7429,7.148,7.8046,2.1638,4.4354,1.5936,7.5521,4.714,2.1618,7.1239,7.9157,B20RORA,B
0,4.5175,8.9049,3.0607,3.1128,0.68788,0,4.6594,7.3272,6.9678,8.8996,0.72612,4.8057,6.0404,8.3095,3.943,1.417,2.2089,4.612,B21GUDE,B
3.777,0,4.1387,3.5802,2.0865,6.5186,0.7114,1.5431,6.2067,6.8999,4.7323,8.1827,6.9665,6.7674,2.8685,1.6761,6.3636,3.0003,2.3688,B23VEZE,B
7.1132,7.6195,7.8813,3.5685,4.5743,4.5821,5.1788,6.1319,6.3009,6.1098,7.4607,7.1562,4.3424,7.3359,6.4715,4.9399,3.8931,1.3812,5.0796,B25MEVI,B
1.409,4.7663,3.233,3.1967,1.4645,2.1182,1.4031,6.653,6.2563,5.538,2.4123,2.1733,3.596,4.5746,3.3788,6.8812,0.70418,3.7888,5.6022,B5ARMON,B
2.098,2.1921,3.8607,6.4234,3.9129,3.6157,1.4348,5.3798,3.1261,4.0731,7.9721,3.6916,6.0318,6.1212,5.3953,3.0537,1.4749,2.8407,3.734,B6SOMOD,B
7.1802,7.265,8.5729,4.2566,4.3967,8.2406,11.3591,4.0175,8.8886,11.9441,7.7775,10.0896,8.9798,8.0686,9.249,8.2822,6.8152,9.2436,10.6099,M10CAUR,M
7.2838,8.5595,8.7897,7.4179,5.7597,7.7844,2.6852,6.6959,9.0062,10.2429,5.8681,5.7939,7.8472,7.6507,6.5821,3.0496,7.1603,3.5837,2.8682,M11BADE,M
9.7787,7.9567,7.6117,9.8677,2.4169,1.3581,2,6.5995,9.5035,9.4117,10.463,8.9472,8.5141,2.3382,7.39,6.443,6.4164,0.65152,7.0434,M13FECA,M
8.795,10.6277,9.2407,2.9183,7.6174,6.5345,3.11,0,10.2361,9.2115,9.4263,7.9687,6.6314,7.945,6.153,3.6145,7.959,2.9151,7.7504,M16ARVE,M
8.2986,6.4763,4.213,6.9349,4.9785,5.5896,2.0488,6.7578,7.9085,7.774,6.8017,6.2161,9.1722,5.6438,6.2377,5.181,7.5977,3.8501,3.1752,M17GOSE,M
5.7213,5.9119,10.2662,8.8369,7.3732,1.5869,1.654,9.1718,7.558,7.2884,6.8868,5.8984,8.0799,5.3577,7.7154,6.5048,2.2902,0.69943,1.3881,M18HUME,M
13.3093,12.8482,13.2913,13.5503,11.5881,12.7634,9.7127,13.3918,13.2126,12.1318,2.9517,12.1781,13.6301,12.2233,13.4923,0,12.2211,9.6172,12.9108,M21SANA,M
3.0158,6.3828,7.41,10.7727,4.48,7.1496,9.1935,9.8896,7.7939,2.9177,4.135,1,8.8005,5.2846,6.9423,4.8379,4.1674,9.7646,4.7107,M22HUGU,M
7.2017,4.0382,5.4192,7.8828,4.6632,3.1025,3.0443,3.6215,4.2392,6.1436,8.1333,2.8702,4.6734,5.2619,6.9161,6.4841,3.0253,6.0146,8.8148,M23SACA,M
9.6512,8.3468,8.2659,7.5614,5.0578,7.7907,4.591,3.1158,10.3999,8.476,9.1834,6.9915,7.081,3.9067,11.346,6.6377,4.812,4.7118,4.5552,M25MAVI,M
6.1741,3.4898,5.3638,8.1244,8.3842,5.6307,7.4367,6.3428,6.3269,7.3321,9.1139,4.4566,3.3392,6.6072,9.189,7.7772,2.4508,4.1423,5.9181,M28NUCO,M
