despues_Gio_beta_1,despues_Gio_beta_2,despues_Gio_beta_3,despues_Gio_beta_4,despues_Gio_beta_5,despues_Gio_beta_6,despues_Gio_beta_7,despues_Gio_beta_8,despues_Gio_beta_9,despues_Gio_beta_10,despues_Gio_beta_11,despues_Gio_beta_12,despues_Gio_beta_13,despues_Gio_beta_14,despues_Gio_beta_15,despues_Gio_beta_16,despues_Gio_beta_17,despues_Gio_beta_18,despues_Gio_beta_19,Sujeto,Clase
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A10GUAC,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A11BRCA,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A12CAPA,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A13RIVI,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A14RARO,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A15GOGA,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A17MUSI,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A1ARVAE,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A21AGLO,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A22SAHE,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A24FLMA,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A52CUCA,A
0.74738,0.7601,6.4213,7.643,5.9118,0,2.2433,4.8637,3.1916,5.7215,8.3537,2.9769,3.1839,4.033,7.3223,4.7765,0.80823,0,5.5171,A9AYAND,A
3.7293,5.609,6.7995,2.2621,4.5563,6.0936,6.0372,3.8435,7.4157,7.9423,2.3652,3.7819,5.5054,5.6637,4.807,2.4332,5.2372,4.429,1.4497,B11SUPR,B
3.1697,2.4994,10.0083,4.8077,8.1707,3.3514,1.5381,7.7619,8.6774,8.2719,8.4319,3.2684,2.2441,7.4131,8.546,6.6531,3.7908,0.77668,7.7262,B12LARA,B
1.5232,4.5416,3.0882,1.5406,5.1042,3.1094,0,4.6556,5.6109,3.2171,7.3571,1.5485,4.0979,8.5499,5.7751,5.8886,4.5905,4.4524,1.5536,B13VIGA,B
8.9462,9.8115,3.102,4.8582,1.7027,10.6259,9.6432,4.6977,8.6891,11.95,10.6565,8.9205,4.7296,10.684,0,6.4587,10.9036,10.6613,10.9742,B18CASI,B
3.8922,0.74232,1.573,0.73208,3.2879,3.12,1.5663,1.7489,3.461,5.8201,5.5253,3.165,4.6849,4.9906,3.2475,3.2355,2.3303,2.2237,0.77087,B22VIPU,B
1.5799,0.84186,4.9799,5.5675,0.75868,4.8582,1.612,4.6776,3.3232,5.8661,8.5501,2.3485,2.4137,4.9681,5.0824,4.8815,1.5665,3.8341,5.5281,B24CECU,B
0.7604,9.3433,12.5259,12.1911,11.496,2.9926,6.618,10.3419,12.4024,12.378,11.432,7.8858,11.5263,10.8343,12.2845,8.5604,5.8139,4.2269,11.3336,B4CAZAD,B
4.8948,1.6138,0.77414,5.8651,6.0221,3.2324,0.79134,4.1286,3.2972,4.0959,5.9746,3.1523,1.6805,5.7005,8.2985,4.9978,2.2955,3.365,5.8759,B7MESEA,B
4.7066,8.3457,2.2835,7.9385,6.148,7.7096,0,4.9865,9.6511,8.2126,8.1798,5.3916,7.551,6.9562,9.8706,3.8735,4.6579,3.1406,4.7279,B8RAMOM,B
0,2.4056,2.441,5.9984,6.1466,1.7708,2.528,4.9733,3.2009,4.9886,6.2088,0.76901,3.1074,7.8221,4.9786,4.2612,1.5585,0.80394,0.81898,M9BENIE,M
3.5491,6.9778,7.6741,6.6789,5.8073,5.3448,7.5754,5.5046,5.4668,6.976,9.1726,4.5787,6.994,7.6342,8.0624,4.7271,7.6412,2.2158,4.3342,M12SAES,M
1.5016,4.5887,5.5885,9.3807,8.4429,3.7972,2.9669,5.5605,6.1222,9.2542,9.6602,0.77654,0.72984,8.3464,7.2418,7.5756,2.9777,2.2237,6.5391,M19NAMO,M
3.9995,6.1411,8.9307,8.554,3.2674,3.1557,8.0171,4.7012,9.5307,7.9449,6.0747,3.1607,5.5911,7.0845,5.1332,7.9566,6.2293,3.2746,2.3573,M24SAME,M
0.83651,4.6073,1.5567,7.3663,3.9844,1.6638,3.0314,7.1092,3.0909,7.4173,7.5932,1.661,1.533,2.46,6.7206,1.5619,3.133,1.565,3.8328,M27MUAG,M
1.5326,6.3506,6.5008,9.8011,7.318,5.4815,1.5694,4.7677,5.1141,10.9184,8.504,7.0156,5.7821,7.8381,9.3733,5.9023,1.6208,5.5582,6.7159,M3ESDIR,M
7.6185,8.4379,11.8202,7.5121,9.2334,8.4153,10.8303,8.2726,6.99,6.6531,8.3969,6.7222,6.619,1.6213,5.3432,6.0619,8.9749,0,3.6224,M7FLSAA,M
6.3326,5.9444,8.6311,6.9963,4.2061,4.244,2.3324,5.7524,7.5958,10.1072,7.6462,1.5465,3.4031,5.8681,8.6449,6.7066,2.4078,3.9471,5.1007,M8AVGUK,M
4.0773,8.6343,10.1072,10.511,7.9604,11.8837,0.77236,8.3853,10.3242,11.5368,6.5901,4.0364,4.1216,7.9556,9.7884,4.9852,3.105,0,10.3824,M9SAAND,M
