despues_Gio_delta_1,despues_Gio_delta_2,despues_Gio_delta_3,despues_Gio_delta_4,despues_Gio_delta_5,despues_Gio_delta_6,despues_Gio_delta_7,despues_Gio_delta_8,despues_Gio_delta_9,despues_Gio_delta_10,despues_Gio_delta_11,despues_Gio_delta_12,despues_Gio_delta_13,despues_Gio_delta_14,despues_Gio_delta_15,despues_Gio_delta_16,despues_Gio_delta_17,despues_Gio_delta_18,despues_Gio_delta_19,Sujeto,Clase
6.6993,6.9618,6.4143,7.2042,5.2164,6.1503,6.0012,5.471,6.6108,6.8763,6.3818,6.8391,6.859,5.2565,3.063,5.4826,7.0762,6.1598,4.3705,A10GUAC,A
13.0866,14.1975,12.6623,12.6704,14.3544,5.3573,9.2908,9.9909,15.4483,15.2869,14.2928,12.4552,14.3663,14.7186,13.156,13.7634,10.5809,9.0006,12.1512,A11BRCA,A
6.5992,1.4802,6.0637,10.3061,8.1781,6.5656,6.5516,8.1019,5.0536,5.0654,8.0773,4.3808,2.1276,4.9257,5.8587,6.7729,5.4977,9.8927,6.5944,A12CAPA,A
4.6077,5.9456,7.6953,10.4119,9.7682,7.3523,9.9732,10.1967,5.2793,10.8217,8.7101,4.631,3.184,8.7555,9.294,6.445,8.9172,8.0519,7.0762,A13RIVI,A
15.842,12.5419,16.0056,16.0877,15.724,1.7069,16.0406,16.2568,16.1336,15.352,15.0277,16.0747,14.6855,16.0129,16.1591,12.4578,15.8383,15.9909,14.7162,A14RARO,A
8.6984,7.6722,12.7759,10.615,10.2822,8.5333,2.8853,10.931,9.2589,6.2667,11.2871,9.0937,6.2798,6.2806,8.312,8.9123,8.8808,2.0217,6.4692,A15GOGA,A
8.4014,9.4324,10.5413,6.3879,4.6951,7.7002,4.932,6.8687,9.3632,10.2402,6.0726,8.5847,9.4658,10.3331,6.2615,5.2677,9.1434,9.0859,8.272,A17MUSI,A
12.4393,0.62832,9.7668,12.5006,12.058,13.254,12.0041,12.5261,11.9776,11.2807,12.5261,8.9922,11.6852,11.785,13.0835,12.5934,6.4112,4.9216,13.3377,A1ARVAE,A
10.7884,8.5314,7.9308,10.9302,12.4446,11.2922,0.73571,12.3005,11.2944,4.159,9.3195,5.499,12.3173,10.5999,11.213,10.8074,8.4093,1.4435,10.8118,A21AGLO,A
9.0858,8.0792,4.9136,4.0934,6.484,8.4671,2.4223,4.4767,8.953,8.5305,4.6687,9.3005,9.3815,9.1607,5.797,6.3269,8.0505,7.1816,4.5339,A22SAHE,A
15.6775,16.2917,16.1718,17.0338,10.6844,14.6813,16.0281,16.1728,16.0827,16.199,6.9602,14.7061,17.1346,15.8576,16.0734,14.8924,16.1726,14.6687,17.1582,A24FLMA,A
11.8708,13.9419,14.3954,14.1582,14.7174,9.398,13.8713,14.7478,13.1966,14.7365,13.9005,12.1661,8.5106,13.9496,14.5399,13.7647,1.415,12.9531,13.7848,A52CUCA,A
8.6703,7.3749,8.9323,4.4084,5.6719,8.3561,4.7674,2.7594,8.4722,7.4289,4.6539,8.3524,5.6352,3.2956,4.0059,7.1691,5.7767,6.6723,5.6722,A9AYAND,A
4.0898,11.813,13.4761,13.6633,13.5206,11.2204,11.0237,11.1391,11.8114,11.7145,8.0598,4.1234,10.2379,10.2269,7.3888,10.9267,8.6356,10.9383,10.2617,B11SUPR,B
4.6465,8.5013,7.1602,5.0795,2.7079,8.5481,8.6429,7.8631,8.9697,9.6294,5.1068,3.2904,9.0109,10.3644,8.6903,6.4904,6.7343,9.1837,8.3798,B12LARA,B
1.4661,5.4194,5.2864,4.9396,5.1974,2.064,2.164,2.901,5.4246,5.1275,5.2241,3.6564,3.2301,3.2931,4.67,5.1004,4.6709,2.8247,5.1326,B13VIGA,B
3.5919,9.0134,9.4508,12.1666,11.819,8.8501,8.9329,9.1797,11.5345,11.8259,10.5381,11.3957,5.1234,12.6438,5.8401,3.4128,6.946,8.5931,10.0517,B18CASI,B
12.9507,13.0395,12.2281,0,13.0052,1.1725,12.3499,13.2131,13.9571,13.6889,13.2286,12.8964,13.1055,13.7297,13.5463,13.1086,12.7949,12.7556,13.5398,B22VIPU,B
6.558,6.6149,4.2364,5.1247,2.507,3.3142,7.2982,4.9714,5.4566,7.2012,6.5298,6.4871,7.6812,3.8185,5.6212,3.1972,6.2825,4.7313,3.8166,B24CECU,B
12.2355,12.653,13.249,10.0855,14.462,12.0452,4.066,0.8279,14.5059,14.3834,6.9729,14.3571,15.4022,14.5526,14.3765,11.3834,13.5119,10.4233,8.4094,B4CAZAD,B
7.8489,8.8281,7.2823,8.2935,9.3987,5.0446,5.0523,7.4417,7.7862,8.5864,7.0679,4.9983,6.1693,1.4298,10.0992,8.4164,2.7723,3.8558,7.1867,B7MESEA,B
13.7493,12.7247,12.5936,13.4981,9.2376,2.1946,10.9466,10.8279,13.2213,12.2328,10.2189,12.1061,10.54,12.3849,13.1614,10.5162,6.5148,0.80416,11.5851,B8RAMOM,B
7.6645,5.2292,5.8458,8.5152,9.3918,6.8472,9.2019,7.7852,6.5026,2.7663,8.9296,8.3737,3.6624,7.9524,10.2519,9.2937,6.2557,5.6304,8.5416,M9BENIE,M
8.1953,10.7772,3.5216,7.6785,4.0862,1.5022,5.8656,8.2859,9.5714,4.655,1.9588,9.0554,5.4578,9.8613,9.6495,8.6939,9.0519,8.4478,4.9214,M12SAES,M
11.3219,10.196,7.4233,11.2556,12.054,3.6687,8.4047,11.8096,12.4774,3.013,9.245,9.2956,9.5592,11.6824,11.8884,12.5857,0.65093,0.65093,9.8481,M19NAMO,M
8.548,8.5587,4.7912,9.2771,8.7229,6.1807,4.4553,10.134,9.2705,7.7994,9.3196,7.4024,1.5452,4.7406,3.3696,9.1259,3.3611,7.4181,6.8901,M24SAME,M
7.1244,9.316,9.4298,8.9812,5.5899,2.6086,8.5878,7.0249,7.8469,7.7928,4.8225,5.5914,5.9426,7.0759,9.4957,8.8983,3.2992,3.3858,8.1292,M27MUAG,M
8.3297,5.2286,2.9189,5.3231,6.7874,7.5562,4.6069,7.2417,6.4262,2.0468,6.2677,5.602,6.3503,3.8255,7.3223,6.678,5.6184,7.1341,6.7898,M3ESDIR,M
14.7768,12.0468,15.9514,9.0944,12.814,15.4814,13.8671,13.7802,13.1442,16.7841,10.8703,11.2614,10.9782,13.9564,4.5652,11.0714,10.1671,15.8699,15.745,M7FLSAA,M
13.2327,13.1795,11.3577,13.3265,6.689,13.2066,8.3917,13.2415,13.1839,0.91996,12.355,4.6895,13.1569,13.2586,14.2384,5.7521,9.3045,5.5905,15.1015,M8AVGUK,M
7.1611,12.8219,8.1183,13.5882,11.2838,13.139,8.1394,9.8385,13.4778,12.44,10.1505,7.2041,11.2664,11.7849,10.3096,12.3876,9.6061,1.3238,13.7272,M9SAAND,M
