despues_Gio_delta_1,despues_Gio_delta_2,despues_Gio_delta_3,despues_Gio_delta_4,despues_Gio_delta_5,despues_Gio_delta_6,despues_Gio_delta_7,despues_Gio_delta_8,despues_Gio_delta_9,despues_Gio_delta_10,despues_Gio_delta_11,despues_Gio_delta_12,despues_Gio_delta_13,despues_Gio_delta_14,despues_Gio_delta_15,despues_Gio_delta_16,despues_Gio_delta_17,despues_Gio_delta_18,despues_Gio_delta_19,Sujeto,Clase
9.3807,8.5174,13.3953,13.3168,3.3064,4.6222,10.6502,12.3166,13.8773,13.4485,13.6866,12.5868,13.2482,11.4746,10.0101,12.468,10.0827,8.6251,8.4312,A18RURI,A
2.94,11.7557,11.7274,12.6115,10.4086,8.0051,6.3869,11.8023,11.1356,9.974,10.3446,1.859,8.3083,9.4128,10.5109,11.7359,5.9773,8.9113,7.0506,A19MOEP,A
5.3591,5.7731,10.2066,9.0283,8.6643,5.3508,1.9741,7.9728,8.9813,9.5862,8.1563,2.6302,6.7232,9.8332,5.4387,10.7084,2.6547,10.1024,11.6143,A27HECE,A
8.095,7.8643,1.4693,7.4488,1.3447,2.2196,7.1472,7.2991,7.264,8.8298,10.1721,9.8926,7.4157,4.7444,9.6201,7.8104,5.2364,4.755,8.5435,A28TOPA,A
7.5982,6.4478,7.0566,6.5532,2.0617,5.7212,5.5066,5.9547,6.1316,9.9813,6.5505,7.5063,6.1988,6.7203,7.0862,0,5.7394,5.7159,3.55,A8ESSAI,A
0.69613,5.6848,8.4184,4.9737,2.5505,7.8047,4.0998,2.1514,7.6792,7.4998,8.1319,8.43,8.0718,8.064,5.6405,2.6281,5.4134,4.6128,2.9858,B10ESTO,B
7.8788,8.8033,8.4626,3.0189,6.5931,7.0398,8.5974,6.9782,9.4704,7.0714,5.1574,4.3785,9.0979,8.7332,4.6497,6.5998,5.1267,2.5062,4.4593,B14FOVA,B
9.994,12.0565,9.5065,11.5751,2.7425,11.3784,0.61992,1.4005,11.9619,10.593,12.3219,10.8138,10.5771,10.8904,12.2097,10.6465,9.2796,5.5376,6.1837,B15GOGO,B
4.0877,9.2699,9.395,2.7368,3.5633,8.3873,9.8599,6.9234,8.362,2.1763,3.4595,5.3629,9.9064,8.5812,3.8025,3.8543,6.0457,8.5904,7.8471,B17ARTO,B
11.7413,12.6953,10.6161,11.1823,10.0238,1.6143,10.8394,12.1769,11.5569,5.6675,1.3068,12.1139,11.7293,9.2569,12.2598,12.3073,11.6371,12.2825,3.6775,B20RORA,B
7.3539,9.0531,11.2857,0.60818,6.1956,7.1673,8.6516,7.3883,8.9469,10.3754,7.1979,4.7293,5.6453,9.6448,11.3239,6.2124,1.8303,10.1621,9.3505,B21GUDE,B
5.7131,3.8718,9.2013,3.4465,4.0248,7.5138,6.6632,5.9409,8.2807,8.3527,7.3252,6.1728,7.4669,9.1634,5.9008,3.1904,7.6565,7.0069,3.5786,B23VEZE,B
4.7746,5.0999,4.8168,4.9842,7.3528,5.8473,5.6118,7.1775,5.6078,7.3519,6.253,4.6573,5.9311,7.6324,7.6937,6.5237,4.8349,5.7368,6.8854,B25MEVI,B
5.4294,7.705,7.7771,11.9697,9.0529,1.9938,3.6441,7.2815,6.2932,10.666,10.5205,7.4013,10.2784,10.8197,8.4724,6.7484,9.6998,9.1769,11.0011,B5ARMON,B
4.7535,7.466,10.8152,10.4349,10.6548,8.5144,12.9535,11.716,12.6512,11.5775,12.1634,6.3002,10.89,12.1277,11.0286,12.667,5.1802,3.6526,9.41,B6SOMOD,B
7.7901,10.5338,13.1478,12.9037,5.8755,12.8363,12.0104,10.7038,10.8952,12.2324,11.5692,4.4545,13.001,12.5865,13.2731,6.6354,14.1927,0,10.4269,M10CAUR,M
5.826,7.1933,7.3542,8.3607,5.1405,4.4083,2.7724,6.9167,5.6657,7.7395,7.7214,7.5894,5.057,7.7602,8.3197,4.908,5.3467,5.924,6.8683,M11BADE,M
6.6144,5.7953,2.2373,7.3467,5.4587,1.4867,4.9288,2.6291,3.6396,1.3578,6.2006,4.3517,6.1782,5.3354,6.154,5.196,2.7493,6.4383,2.0494,M13FECA,M
9.574,10.7105,11.5876,8.7724,7.9622,10.4221,3.7472,8.428,11.9443,10.4363,11.626,3.9286,10.7303,11.9295,9.8778,10.5717,1.8648,2.0733,8.3643,M16ARVE,M
6.1298,5.4833,7.0378,5.0046,3.9308,4.095,5.6193,3.6601,7.1857,5.9639,6.3591,6.1667,8.0639,5.8741,4.9929,4.255,6.4087,5.7332,1.6031,M17GOSE,M
16.0614,15.1211,15.0301,13.8763,4.7152,11.1137,14.7947,8.1539,16.0216,15.8747,14.8266,14.9565,15.9447,14.9595,15.8498,13.7703,12.9079,12.0649,14.8227,M18HUME,M
6.2388,8.1693,7.9835,7.9424,9.2986,3.9206,4.5376,8.9129,8.9331,10.1804,5.2215,10.087,9.4003,8.9147,10.2972,5.8431,6.7613,9.561,4.8965,M21SANA,M
7.8367,7.5807,13.1966,13.2042,9.1996,9.8376,4.0267,11.7423,13.9906,13.7141,8.5978,10.1635,14.0618,9.5332,14.951,12.1265,12.0712,11.6947,13.4568,M22HUGU,M
6.1165,8.1256,9.0795,6.521,6.8022,6.242,9.3047,9.4449,9.5183,8.3068,5.801,6.3035,9.9055,9.6524,6.8802,8.1502,5.0401,0.62099,9.3408,M23SACA,M
0,2.7836,8.9923,9.9491,11.1747,8.0482,3.8254,9.0399,7.5768,9.6548,10.5042,5.2883,8.9383,9.1545,10.3072,10.4857,4.7228,11.2668,8.2471,M25MAVI,M
3.9657,10.825,11.3484,10.7081,9.3726,5.2525,1.4782,11.3513,8.1594,10.4584,10.1724,4.7375,9.136,8.8498,10.8918,9.5341,2.9091,8.181,10.799,M28NUCO,M
