despues_Gio_gamma_1,despues_Gio_gamma_2,despues_Gio_gamma_3,despues_Gio_gamma_4,despues_Gio_gamma_5,despues_Gio_gamma_6,despues_Gio_gamma_7,despues_Gio_gamma_8,despues_Gio_gamma_9,despues_Gio_gamma_10,despues_Gio_gamma_11,despues_Gio_gamma_12,despues_Gio_gamma_13,despues_Gio_gamma_14,despues_Gio_gamma_15,despues_Gio_gamma_16,despues_Gio_gamma_17,despues_Gio_gamma_18,despues_Gio_gamma_19,Sujeto,Clase
0,1.5752,6.0204,7.7442,5.2518,0.80754,1.6004,5.2515,2.4268,5.174,6.4232,0.80452,0.81909,5.0609,7.054,2.4242,0.80452,0.78691,3.2221,A10GUAC,A
1.7317,6.8195,8.0046,9.8324,6.0732,1.7264,0,6.011,9.7358,9.9915,8.9717,8.7537,9.1403,10.7476,10.4,5.2164,5.9199,0.7998,1.6066,A11BRCA,A
1.6662,5.9671,8.9609,9.04,9.5913,3.3993,4.1613,5.9278,7.0387,10.5892,9.0014,0,1.6582,3.4139,8.1243,6.2411,0,3.3928,5.1518,A12CAPA,A
4.0299,3.2808,10.2093,6.3119,9.4382,6.5336,4.0954,4.2369,9.2462,10.3471,6.1847,6.5065,8.399,6.6463,6.9352,8.4581,6.5683,5.8416,8.4113,A13RIVI,A
6.6957,5.1064,10.5186,8.833,4.2602,6.006,7.6588,3.4588,7.7515,8.7536,11.4115,1.667,5.9714,8.0286,9.6839,4.1915,1.6297,7.5797,5.0369,A14RARO,A
3.4031,7.5737,9.6441,7.0005,5.2471,2.5202,0,7.8973,8.6506,5.0356,8.1568,6.7912,6.0808,10.3152,12.0619,5.0846,4.0894,4.1088,5.0477,A15GOGA,A
4.2516,2.5616,7.1019,8.095,4.4617,5.2187,1.6604,4.3659,6.2537,9.0095,9.2499,3.4042,7.7806,9.9699,9.851,4.4248,4.2368,0,4.3297,A17MUSI,A
4.9504,0.76662,1.5634,9.2545,4.1501,3.1249,0.80262,5.0748,2.5383,4.7856,5.3131,4.3232,6.7223,6.5089,5.9967,4.952,0.77752,0.76506,7.3761,A1ARVAE,A
0,1.6684,7.8779,7.1509,8.7233,0,0,4.2888,6.7973,7.9874,9.7379,0,5.054,7.764,10.3969,6.8261,0.85161,0,5.2304,A21AGLO,A
2.5093,5.0392,6.8885,7.3829,5.3404,0,0,3.4114,8.6784,8.1503,7.5003,0.81608,4.2078,9.6569,8.1125,8.1096,3.3917,0,4.3531,A22SAHE,A
11.7012,11.9626,13.209,14.3746,0.78568,13.8942,8.8674,14.0997,15.1141,13.5972,7.1235,12.4409,12.1631,13.2872,13.4629,13.4214,13.0367,0,11.7581,A24FLMA,A
2.5989,3.5051,5.2224,5.1607,3.4329,0.86607,0,2.6779,6.1694,6.3329,6.2156,3.4908,5.2327,6.1415,5.24,2.6006,0,0,1.6679,A52CUCA,A
3.1984,3.4049,10.3615,7.6819,3.1607,1.5599,0,4.8606,7.5489,5.3023,10.1985,0.77419,3.2542,7.6484,5.0051,5.8038,0.8095,0,3.2621,A9AYAND,A
5.0099,5.8487,8.7161,2.4333,4.2562,0.90786,1.6506,5.7985,7.8561,6.328,6.2224,1.7198,5.0298,6.097,7.8553,1.7399,1.734,0,1.6163,B11SUPR,B
0.83562,1.653,5.0804,3.3367,2.7068,1.6968,1.6984,5.158,4.2398,3.3762,9.724,1.6439,3.3133,8.4838,7.013,4.2368,2.4877,1.665,3.5111,B12LARA,B
4.8961,2.3879,8.3075,2.3803,3.5073,3.2407,0.78972,3.3582,5.8564,3.7062,7.7651,2.4804,5.0965,5.7593,6.1251,6.8813,4.8294,1.6191,5.0082,B13VIGA,B
3.3678,5.1267,5.9754,7,6.1397,3.4216,2.651,5.3029,6.9697,9.6484,6.9328,5.0231,2.4964,6.8082,0.82532,4.3528,5.1225,2.6609,6.7473,B18CASI,B
2.3325,0,6.4268,0,2.6653,3.1303,0,1.9002,4.8767,6.688,5.8429,3.1448,5.6203,7.5739,4.9574,5.7907,3.1277,1.5688,0,B22VIPU,B
4.1019,3.3545,6.988,5.1305,4.9695,5.7806,4.0672,1.6603,3.3534,6.0401,6.1509,2.5147,2.4771,5.1497,7.0645,6.9068,5.0222,1.629,2.4352,B24CECU,B
0,5.4469,10.9562,11.0718,8.9787,0.82064,0.8273,6.1091,9.1428,10.8375,8.5894,0,11.646,9.8531,9.723,6.8776,1.638,0.84378,9.6861,B4CAZAD,B
8.7482,4.4393,11.9114,10.6794,12.2739,6.9866,1.7,7.6429,12.0154,7.1135,11.5742,6.0177,6.0844,11.388,9.9047,10.5573,11.156,11.1613,9.8036,B7MESEA,B
4.175,2.68,0,3.4441,3.2854,1.6252,1.6484,3.45,6.0127,5.9678,3.4942,4.9809,6.8093,6.0903,7.5634,4.1382,3.267,0.79763,1.7559,B8RAMOM,B
0.84346,1.6024,6.6189,6.0363,6.3443,0,0,2.6328,3.33,6.0749,8.0292,0.84346,0,6.7474,6.2934,6.2319,0.79407,0.79434,4.1876,M9BENIE,M
5.7328,7.603,10.2762,6.9044,1.7365,5.0602,5.8432,3.5645,6.2846,6.8875,7.0156,5.0486,6.9242,7.5903,7.7742,3.4123,4.2365,3.3257,0.79861,M12SAES,M
0.80991,3.2919,5.1937,7.61,5.1843,0,0,3.3069,8.4894,8.9022,12.1647,0.80167,2.4043,6.2363,7.1828,5.2947,2.4732,0,6.8125,M19NAMO,M
1.6978,10.6125,10.0433,9.9075,3.5996,4.3663,7.8317,5.2768,9.773,8.2297,10.7372,1.7283,6.179,8.7663,7.9236,5.2471,6.305,5.4904,4.5523,M24SAME,M
4.9935,4.3154,3.3171,6.0843,4.5047,4.262,0,3.2204,5.1499,6.9468,5.5455,2.5215,2.5185,3.4324,6.883,2.6237,1.6762,1.6654,0.80506,M27MUAG,M
0.80632,2.5468,6.0202,6.9007,2.7225,1.6108,0.80446,5.1161,5.0973,7.8653,6.1681,0,2.5356,9.1555,7.4978,3.4408,0,0,5.0998,M3ESDIR,M
1.7105,4.083,5.0938,3.3062,3.5953,1.7027,4.0818,4.3994,2.4854,5.7432,8.2752,0.81048,0.84918,3.3093,4.3093,5.2448,2.4506,2.4645,3.4233,M7FLSAA,M
3.5354,6.9189,7.9798,8.0851,5.3515,4.4247,2.5928,5.222,8.1556,9.6596,7.1194,0.8723,1.7099,9.756,8.2684,9.0662,2.6189,2.5883,6.3126,M8AVGUK,M
4.1166,6.097,4.2594,5.4453,6.1816,5.9518,0,4.3802,5.5177,8.7312,3.409,0.82551,1.7324,6.3327,8.9588,3.5314,0.81818,0,4.4057,M9SAAND,M
