despues_Gio_gamma_1,despues_Gio_gamma_2,despues_Gio_gamma_3,despues_Gio_gamma_4,despues_Gio_gamma_5,despues_Gio_gamma_6,despues_Gio_gamma_7,despues_Gio_gamma_8,despues_Gio_gamma_9,despues_Gio_gamma_10,despues_Gio_gamma_11,despues_Gio_gamma_12,despues_Gio_gamma_13,despues_Gio_gamma_14,despues_Gio_gamma_15,despues_Gio_gamma_16,despues_Gio_gamma_17,despues_Gio_gamma_18,despues_Gio_gamma_19,Sujeto,Clase
3.9983,1.6061,5.8286,6.929,6.4377,3.2302,1.6333,2.4865,5.7637,8.6429,8.5768,0.79276,3.3013,9.255,8.7309,5.8057,2.4309,7.2219,4.2581,A18RURI,A
1.6977,2.5404,6.9338,8.7914,4.4925,0.86103,0,5.1073,5.3072,8.08,6.2134,0.83164,6.9965,5.242,9.1158,6.2327,3.3467,3.4349,2.5196,A19MOEP,A
1.7602,0.82319,4.3452,4.3458,1.743,1.6989,0.85034,4.1458,6.1901,5.3525,8.6725,1.7135,6.1134,6.9887,7.9482,4.3375,0,1.6362,4.4908,A27HECE,A
5.7673,7.4314,6.8675,5.789,2.3679,4.1716,8.2365,9.157,8.7869,12.5787,10.3769,8.1253,8.6599,9.2352,9.4288,6.8527,4.9406,4.0742,6.8074,A28TOPA,A
0.83017,1.6414,3.439,8.1099,6.0723,3.3904,0.80911,8.6248,7.7292,5.2367,8.7901,4.951,1.7607,5.1155,8.7169,7.8732,0.82303,0.85984,3.5363,A8ESSAI,A
0,4.9513,9.5714,3.1927,2.7217,5.9404,7.3477,5.9265,10.3853,10.6154,7.5194,4.231,11.3094,9.6641,11.1751,8.7628,5.9618,5.7609,6.9098,B10ESTO,B
1.5923,4.1253,6.5821,9.6906,6.874,1.6097,2.5046,8.4517,10.1457,9.7315,10.485,0.82159,1.648,7.9485,11.506,10.5225,0,6.7691,9.7473,B14FOVA,B
0,0.85017,6.921,7.1285,5.1204,0,0,3.39,3.3101,8.6873,8.0117,0.85017,1.6319,7.4327,8.1619,6.1476,1.5897,0,5.2055,B15GOGO,B
5.0492,3.2269,7.9511,3.4536,0.82226,8.6442,7.0198,8.7295,6.1326,7.2062,0,1.7185,5.8742,10.4985,9.7453,5.2506,7.5966,6.8189,5.2123,B17ARTO,B
2.4799,1.7498,6.0519,1.7239,2.5164,2.5531,0.83447,5.2098,6.7282,5.443,9.6975,2.5103,2.4783,5.1434,7.1324,5.2,0.81738,2.464,5.2909,B20RORA,B
0,0,6.7729,0,3.183,0,0,4.9554,4.1108,6.8701,7.7486,0.77723,0.81631,5.8974,6.9807,5.861,1.5522,0,5.0205,B21GUDE,B
2.5059,0,9.5685,5.8574,7.6366,1.6123,0.82459,4.3157,6.6098,7.0141,6.3453,3.4273,1.6098,5.0561,7.1688,7.7668,4.0679,4.1428,3.6575,B23VEZE,B
9.6451,10.6547,10.3496,0.8851,6.8253,10.4612,5.7508,10.0886,8.9725,10.4593,8.6794,9.0033,6.4379,10.1709,10.1619,4.4301,7.0976,5.0992,4.2636,B25MEVI,B
0.79003,2.4275,6.0479,6.7763,2.4665,0.8162,0.80868,4.0615,4.227,6.0441,6.1163,0.80728,0.80728,4.1883,5.9571,4.9196,0,0,3.3854,B5ARMON,B
0,2.5118,3.6787,3.3395,1.7016,1.6311,0,2.5601,4.2447,6.8898,6.9675,1.7044,1.7695,5.2936,6.0108,5.8829,0,1.689,4.1699,B6SOMOD,B
4.2013,5.1154,7.4409,7.8407,6.8971,4.9257,0.81233,5.0139,6.0467,9.2729,8.5553,2.5907,4.2482,4.3234,6.9083,3.2895,2.5402,1.6069,6.5057,M10CAUR,M
2.3937,4.0209,7.5097,7.8838,6.1557,1.6204,0,5.9876,6.6468,9.9343,8.5078,0.77208,0.77398,4.1255,7.5084,6.5843,0,1.5653,3.4063,M11BADE,M
0,2.3102,4.0234,4.2098,1.7706,0,0,2.335,3.1886,6.6261,4.1326,0,1.5671,1,3.9911,0.79793,0,0,0,M13FECA,M
4.5688,8.0774,7.12,4.4383,2.5688,5.1764,3.4417,6.143,8.2243,8.7171,9.7636,3.4221,4.3903,8.603,5.3146,4.2456,10.252,4.2657,1.6784,M16ARVE,M
8.9972,10.0434,10.5115,6.0984,8.0156,9.8074,7.8136,7.0654,11.0165,8.2448,10.7068,7.1705,11.6292,10.5785,7.2485,9.8427,8.0882,7.8141,3.5768,M17GOSE,M
5.0856,6.9307,11.2147,6.1778,5.1492,6.0233,1.6948,4.2033,7.7712,9.766,8.0545,2.5274,6.1697,8.0259,6.0246,6.0611,3.419,1.6639,0,M18HUME,M
0.80881,6.6822,4.9696,10.3755,5.1108,6.8834,0,8.4383,4.8847,10.3369,1.6063,4.0048,6.5358,6.0079,10.3844,2.4261,0.81613,0,7.7921,M21SANA,M
1,3.2289,2.4357,3.226,3.186,0.7851,0,1.6782,3.2289,1.6197,0,1,3.1784,1.5965,3.187,1.6298,0,0,3.1935,M22HUGU,M
0,4.1603,7.5642,5.4255,6.0797,0.87687,1.6953,7.6852,5.1727,8.3511,8.7409,0,2.4793,7.3765,6.9911,6.1288,0,0.80983,2.6459,M23SACA,M
5.0126,0.80443,5.0476,6.9888,5.9621,3.2754,3.2307,0.81117,5.2031,7.6895,7.2406,2.5316,1.8605,4.031,6.0129,5.9864,2.4251,0.82235,4.9583,M25MAVI,M
0,3.2233,5.2551,7.1412,5.272,0,0,5.3084,7.6394,8.8,9.0364,1.6532,4.3735,7.0344,8.8407,5.2632,0,0,5.0341,M28NUCO,M
