despues_Gio_sf_1,despues_Gio_sf_2,despues_Gio_sf_3,despues_Gio_sf_4,despues_Gio_sf_5,despues_Gio_sf_6,despues_Gio_sf_7,despues_Gio_sf_8,despues_Gio_sf_9,despues_Gio_sf_10,despues_Gio_sf_11,despues_Gio_sf_12,despues_Gio_sf_13,despues_Gio_sf_14,despues_Gio_sf_15,despues_Gio_sf_16,despues_Gio_sf_17,despues_Gio_sf_18,despues_Gio_sf_19,Sujeto,Clase
1.5784,5.5383,7.8044,7.0512,6.2017,1.6215,3.2165,7.6561,4.8682,6.7367,8.8665,1.5796,2.4215,8.2368,7.1249,3.2697,2.3727,0.78007,4.0431,A10GUAC,A
1.6717,5.0569,6.9027,6.111,5.1505,0.8627,0,3.6166,6.2527,8.9294,7.3421,4.4397,7.9131,6.4407,6.9968,3.459,3.3366,0,1.6408,A11BRCA,A
0.80702,5.8151,6.9803,7.2161,8.4022,2.4601,2.4597,2.5528,5.1164,7.7515,8.7845,0,0.80027,2.4303,7.953,5.1499,0,3.2869,4.1789,A12CAPA,A
2.3889,2.4258,8.2486,5.2315,6.6801,1.5781,1.6146,3.3035,5.8995,9.9563,4.3359,2.3881,4.9626,4.1534,5.0104,4.9821,2.4127,3.9708,4.9023,A13RIVI,A
7.5208,5.0797,13.1121,8.9507,4.2463,7.5642,9.4142,4.2912,7.8491,11.1163,9.7333,4.1671,5.1844,8.7135,11.2676,8.9978,1.6214,6.6449,6.7227,A14RARO,A
3.49,7.7704,10.6631,7.902,7.1154,3.3886,0.80246,8.1744,8.0559,8.4573,8.403,7.694,7.953,11.4109,10.7347,5.2854,5.1151,6.5981,5.964,A15GOGA,A
2.555,4.3056,5.3293,8.9408,3.642,4.3765,0.83919,4.3706,4.4937,7.2004,9.9478,3.3903,6.9693,9.0084,8.808,4.3767,2.5307,1.6674,4.2376,A17MUSI,A
7.4472,3.1325,2.4081,11.0054,6.6151,3.9657,3.8838,10.652,4.9759,7.2906,7.7213,5.9222,8.3951,7.357,6.0967,5.0237,3.9149,3.8371,9.0485,A1ARVAE,A
0.83586,4.1917,9.4208,8.0157,7.9179,0,0.80659,5.864,6.6635,8.7582,9.6504,0,4.1761,8.5876,10.3432,7.6243,0.80302,0.81716,6.9241,A21AGLO,A
4.0445,4.8506,2.5649,7.7815,3.474,0.80902,0,1.6397,7.6477,6.9764,7.9346,1.6118,4.1584,7.6761,6.9383,8.7178,3.2867,0,3.4435,A22SAHE,A
