despues_Gio_sf_1,despues_Gio_sf_2,despues_Gio_sf_3,despues_Gio_sf_4,despues_Gio_sf_5,despues_Gio_sf_6,despues_Gio_sf_7,despues_Gio_sf_8,despues_Gio_sf_9,despues_Gio_sf_10,despues_Gio_sf_11,despues_Gio_sf_12,despues_Gio_sf_13,despues_Gio_sf_14,despues_Gio_sf_15,despues_Gio_sf_16,despues_Gio_sf_17,despues_Gio_sf_18,despues_Gio_sf_19,Sujeto,Clase
3.2284,2.4136,5.6739,6.8143,4.8532,4.0054,1.6464,2.4854,5.7223,9.2876,7.6897,0,3.28,7.5369,8.4562,6.6794,3.2076,4.1226,4.2842,A18RURI,A
4.164,1.7033,9.6534,10.7041,6.1437,2.4937,1.6868,5.8678,7.955,8.123,8.7279,0.82916,7.7106,6.9851,10.8586,6.271,7.4784,5.9091,1.634,A19MOEP,A
2.6479,2.5525,5.306,5.2969,4.2961,1.6931,1.6807,5.1034,8.7526,6.4546,7.9939,2.5537,6.3154,6.154,8.921,3.6887,2.5033,2.5082,7.0279,A27HECE,A
4.2696,4.2055,6.2076,5.1455,1.6376,2.5434,3.3588,7.6948,8.0715,8.6247,10.4473,5.8699,7.0149,5.2512,8.0401,6.1878,4.2077,1.705,5.25,A28TOPA,A
0.8219,0.82217,2.5185,7.0088,4.3207,3.3178,0.81632,4.3965,5.0107,4.4565,6.9317,2.5013,1.7604,3.4272,6.8895,6.8239,1.7138,0.83038,4.4765,A8ESSAI,A
1.62,5.7842,10.4306,2.4318,5.1744,5.1659,5.8389,5.1706,9.643,9.8082,7.7463,5.1828,11.4063,11.3886,10.4192,7.9535,7.603,4.2571,6.0433,B10ESTO,B
0.81755,5.8968,4.1772,8.7981,6.0789,1.6286,2.5698,6.9556,7.6134,8.8371,7.8893,0,0.8203,7.9376,10.653,9.7244,0,4.2328,9.7288,B14FOVA,B
0.81708,1.6074,6.9521,7.0699,5.7749,0.80092,0.80096,4.9785,5.7459,7.9237,8.8207,1.6124,1.6324,7.5775,8.2063,6.1656,2.4269,1.5973,5.2768,B15GOGO,B
4.2002,0.80768,8.568,4.2031,1.6594,9.3636,7.6908,6.9494,9.2428,6.0318,0,1.6701,4.1254,8.5311,9.4671,6.9316,6.7069,3.4439,4.2471,B17ARTO,B
2.6658,4.2511,7.7887,3.388,4.1664,5.9466,1.6436,8.4688,10.2724,8.8995,9.8328,6.7569,6.7497,7.7331,11.4482,8.6899,2.4801,4.9566,11.3504,B20RORA,B
0.77002,0.79042,5.1584,0,1.5868,0.77002,0,4.919,4.116,6.7949,6.9807,0.80369,0,5.9082,6.1144,5.7584,0.80369,0,4.0979,B21GUDE,B
3.4295,0,8.7578,2.4983,6.7529,1.7027,1.641,5.184,8.2375,4.5536,6.3368,3.4219,1.627,4.2691,7.9852,6.0659,3.2957,4.9786,5.2913,B23VEZE,B
