despues_Gio_theta_1,despues_Gio_theta_2,despues_Gio_theta_3,despues_Gio_theta_4,despues_Gio_theta_5,despues_Gio_theta_6,despues_Gio_theta_7,despues_Gio_theta_8,despues_Gio_theta_9,despues_Gio_theta_10,despues_Gio_theta_11,despues_Gio_theta_12,despues_Gio_theta_13,despues_Gio_theta_14,despues_Gio_theta_15,despues_Gio_theta_16,despues_Gio_theta_17,despues_Gio_theta_18,despues_Gio_theta_19,Sujeto,Clase
8.2185,4.6473,2.9701,2.4703,6.2952,4.8217,4.4527,5.3249,8.8259,1.5402,1.7012,8.2051,2.5261,3.1083,2.4953,6.5188,6.388,6.7235,6.3026,A18RURI,A
9.8017,9.5159,9.9764,6.9484,4.4018,9.363,6.6743,4.302,9.0263,9.7366,9.9813,9.111,4.0284,8.8988,8.7218,5.2444,8.272,10.004,6.9135,A19MOEP,A
8.9414,8.4025,11.0527,7.4889,0,9.2014,0,5.4776,10.6833,9.1174,5.2597,9.7133,8.188,10.7196,9.887,6.2348,8.1799,7.3855,9.3732,A27HECE,A
9.181,8.9625,6.7078,7.0827,5.7333,3.5832,4.0112,7.7872,7.2768,6.1511,10.7697,5.3243,4.448,7.9012,9.405,7.6471,8.6839,2.6164,4.1623,A28TOPA,A
4.2027,11.673,10.6128,9.9383,1.9437,5.6203,8.312,9.9747,4.5133,11.3005,9.9557,5.2337,8.5411,9.8458,10.5369,4.3264,11.4979,7.4223,9.9674,A8ESSAI,A
9.2026,9.6019,9.4917,8.2833,5.7592,8.7557,7.0094,2.3571,9.8483,9.6137,7.1338,6.3745,7.1287,11.3627,7.2187,4.4057,2.6353,7.1313,7.097,B10ESTO,B
5.989,5.3011,6.6328,9.5589,7.3546,3.6047,7.1559,5.9275,9.6575,9.8123,9.7972,8.4726,6.5269,6.9893,9.4004,3.6201,8.8168,7.9689,7.22,B14FOVA,B
3.7816,9.7413,10.4955,9.009,7.3653,7.7162,5.9081,5.1823,7.1637,9.7884,8.9463,4.6787,8.4786,9.4653,10.4287,4.6385,6.0628,0.68639,3.6473,B15GOGO,B
6.8983,2.0968,5.3049,8.6657,2.2475,5.8559,6.7829,5.7436,6.1484,6.638,6.2039,4.756,4.6044,6.8496,8.4662,6.2286,6.8773,6.1133,5.0894,B17ARTO,B
2.8584,8.4617,9.6527,7.9659,2.7583,4.8797,2.2119,8.431,9.2602,9.6226,10.0982,2.867,6.8724,5.9991,9.0036,8.3831,0,2.9469,10.121,B20RORA,B
