durante_C_theta_1,durante_C_theta_2,durante_C_theta_3,durante_C_theta_4,durante_C_theta_5,durante_C_theta_6,durante_C_theta_7,durante_C_theta_8,durante_C_theta_9,durante_C_theta_10,durante_C_theta_11,durante_C_theta_12,durante_C_theta_13,durante_C_theta_14,durante_C_theta_15,durante_C_theta_16,durante_C_theta_17,durante_C_theta_18,durante_C_theta_19,Sujeto,Clase
0.8,0.57143,0.57143,0.46429,0.66667,NaN,0,0.8,0.52778,0.8,0.5,0.8,0.57143,0.8,0.66667,0.4,0.61905,0.5,0.8,A18RURI,A
0.83333,0.89286,0.66667,0.76923,0.85714,1,0.91667,0.82143,0.71795,0.66667,0.67619,0.83333,0.75758,0.80769,0.80769,0.91111,0.65714,0.76923,0.87273,A19MOEP,A
0.55556,NaN,0.74545,0.71212,0.80952,0.85714,NaN,0.8,0.57143,0.65385,0.82222,0.7,0.5,0.8,0.94444,0.8,1,0.6,0.80556,A27HECE,A
0.80556,0.80556,0.66667,0.7,1,0.89286,1,0.58333,1,0.49091,0.64286,0.85714,0.89286,0.51282,0.57143,0.55556,1,NaN,1,A28TOPA,A
0.53333,0.75,0.49091,0.72727,0.68182,0.86667,0.33333,0.91667,0.68182,0.67857,0.69444,0.68182,0.78182,0.6,0.67857,0.64103,0.75,0.33333,0.52381,A8ESSAI,A
0.80952,0.46667,0.44444,0,NaN,1,NaN,0.33333,1,0.53333,0.57143,0.80952,0.83333,0.53333,0.58333,0.53333,0.80952,1,0.60714,B10ESTO,B
0.7,0.77273,0.55556,0.54545,0.5,0.33333,0.5,0.53333,0.78182,0.91111,0.77273,0.7,0.75758,0.81818,0.64835,0.88889,0.80952,0.8,0.81818,B14FOVA,B
0.62222,0.71429,0.68571,0.68571,0.82143,0.8,1,0.93333,0.96364,0.82051,0.74725,0.66667,0.96364,0.96364,0.84848,0.74359,1,0.84444,0.71429,B15GOGO,B
0.75556,0.79121,0.72381,0.76923,0.92857,0.78788,0.80303,0.83636,0.76923,0.74286,1,0.75,0.81818,0.74286,0.79487,1,0.78205,0.66667,0.79487,B17ARTO,B
0.68182,0.74545,0.88889,0.65152,0.83333,0.77778,0.33333,NaN,0.74545,0.83636,0.83636,0.8,0.66667,0.83636,0.75,0.66667,0.83636,0,0,B20RORA,B
NaN,0.57778,0.47222,0.85714,0.82143,0.53333,0.52564,0.8,0.61111,0.66667,0.66667,0.69444,0.52564,0.66667,0.71429,0.85714,0.62222,1,0.75,B21GUDE,B
0.71429,0.66667,0.75556,0.53571,0.67857,0.5,0.61111,1,0.77778,0.63636,0.57692,0.63636,0.77778,0.8,0.65455,0.4,0.88889,0.80952,0,B23VEZE,B
0.75,0.55556,0.71429,0.78571,0.7,0.66667,0.46429,0.42857,0.68889,0.5,0,0.75,0.68889,0.33333,0.7,0.46429,0.46429,0,0.35714,B25MEVI,B
0.69697,0.67949,0.69231,0.72727,0.75,0.78182,0.76364,1,0.95238,0.70909,0.75,0.72727,0.8,0.67949,0.8,0.5,1,0.75758,NaN,B5ARMON,B
0.55556,0.77778,0.84444,0.5,0.33333,0.8,0.33333,1,0.94444,0.76364,0.55556,1,0.94444,0.94444,0.65385,0.46667,0.67273,0.86111,0.66667,B6SOMOD,B
0.86667,0.38889,1,1,0.57143,0.86667,0.66667,0.5,1,0.6,0.8,0.66667,0.66667,0.33333,0.8,0.37778,0.33333,0,0.33333,M10CAUR,M
0.81818,0.78182,0.85714,0.72727,0.80556,1,0.7,0.69444,0.75641,0.74242,0.66667,0.81818,0.87273,0.86667,0.86667,0.66667,0.86667,1,0.81818,M11BADE,M
0.63636,0.8,0.66667,0.62222,0.78571,1,NaN,0.75,0.53846,0.60606,0.82143,0.67273,0.70909,0.85714,0.77778,0.52381,0.58182,0.56061,0.77778,M13FECA,M
0.60714,0.8,0.52381,0.5,0.66667,0.73333,1,0.6,0.9,0.57143,0.66667,0.42857,0.66667,1,0.66667,0.66667,1,0.60714,0.47619,M16ARVE,M
0.81818,0.70909,0.53333,0,1,0.64286,NaN,0,0.70909,0.5,0.83333,0.91111,0.74242,0.8,0.78182,0.81818,0.91111,1,0.66667,M17GOSE,M
0.33333,0.69444,0.58333,0.69444,0.55128,0.57143,0.64286,0.57576,0.6,0.64286,0.75,0.33333,0.78571,0.54945,0.8,0.71429,0.5,0.66667,0.46667,M18HUME,M
1,0.9,0.64444,0.64444,0.67857,0.61905,0.66667,0.48485,0.57778,0.86667,0.71429,0.61111,0.67857,0.64444,0.48485,0.53333,0.5,1,1,M21SANA,M
1,0.90476,0.95238,0.95238,0.95238,0.90476,0.95238,0.95238,0.86667,0.95238,1,1,0.90476,0.95238,0.95238,1,0.52381,0.86667,1,M22HUGU,M
0.80952,0.82418,0.88462,0.88462,0.7619,0.80952,0.73333,0.76923,0.87912,0.83516,0.9359,1,0.80952,0.8,0.87912,0.80952,0.78182,1,1,M23SACA,M
0.66667,NaN,0.7033,0.74359,0.63736,1,0.80952,0.69091,0.7619,0.89286,0.74359,0.8,0.8,0.77778,0.70909,0.61905,0.8,0.88889,1,M25MAVI,M
0.69231,0.61818,0.75641,0.84848,0.81818,0.64444,0.8,0.83333,0.78205,0.84848,0.90909,0.67033,0.76923,0.83636,0.71795,0.80952,0.78571,0.5,0.46667,M28NUCO,M
