durante_E_alpha_1,durante_E_alpha_2,durante_E_alpha_3,durante_E_alpha_4,durante_E_alpha_5,durante_E_alpha_6,durante_E_alpha_7,durante_E_alpha_8,durante_E_alpha_9,durante_E_alpha_10,durante_E_alpha_11,durante_E_alpha_12,durante_E_alpha_13,durante_E_alpha_14,durante_E_alpha_15,durante_E_alpha_16,durante_E_alpha_17,durante_E_alpha_18,durante_E_alpha_19,Sujeto,Clase
0,40,51,50,38,34,11,46,7,42,42,1,5,42,47,42,4,10,1,A18RURI,A
12,10,12,10,9,11,6,9,11,14,14,6,13,16,18,6,7,16,19,A19MOEP,A
27,22,12,14,16,41,22,1,35,62,15,22,34,40,27,9,42,38,25,A27HECE,A
3,20,4,10,3,6,0,9,9,24,14,15,10,9,17,11,3,0,16,A28TOPA,A
21,13,2,28,24,8,0,26,13,2,23,15,9,19,34,26,3,4,21,A8ESSAI,A
15,7,13,0,2,15,29,7,26,32,18,18,22,25,15,6,25,21,10,B10ESTO,B
1,8,27,22,1,44,6,9,22,11,25,6,24,34,41,30,5,44,27,B14FOVA,B
50,48,48,13,3,46,25,5,54,46,34,10,57,66,66,6,46,12,22,B15GOGO,B
26,0,13,26,26,31,26,16,13,11,1,29,10,1,22,23,35,0,6,B17ARTO,B
1,5,12,4,3,9,8,0,8,27,21,21,11,18,22,1,7,18,17,B20RORA,B
3,0,22,0,1,3,0,2,26,26,23,4,26,26,26,15,1,4,26,B21GUDE,B
36,5,0,51,21,36,16,44,51,42,14,36,39,13,0,9,40,51,0,B23VEZE,B
40,36,39,10,23,28,26,14,17,4,32,56,21,6,15,32,15,5,13,B25MEVI,B
14,14,30,26,27,15,24,31,8,41,15,5,7,26,26,0,2,1,0,B5ARMON,B
13,19,6,0,0,0,0,0,25,25,15,1,16,28,21,15,6,0,2,B6SOMOD,B
39,26,24,16,14,31,20,22,35,45,34,24,35,24,22,13,6,12,20,M10CAUR,M
16,28,27,7,2,13,0,6,34,15,9,13,18,19,22,1,9,5,17,M11BADE,M
48,42,44,53,3,0,37,36,42,48,27,48,40,3,6,9,34,1,4,M13FECA,M
29,28,2,32,16,12,17,35,23,34,31,19,33,14,20,3,0,2,7,M16ARVE,M
77,70,0,1,0,36,0,62,70,50,54,77,77,69,77,26,70,60,51,M17GOSE,M
6,62,31,48,19,31,32,17,33,33,41,0,18,36,43,23,43,27,0,M18HUME,M
2,6,20,22,10,6,10,21,15,11,21,5,5,9,21,0,10,8,14,M21SANA,M
21,114,113,113,101,114,114,113,114,113,55,21,124,113,113,101,89,113,113,M22HUGU,M
3,5,11,13,8,10,6,8,12,9,13,6,15,8,8,14,2,2,3,M23SACA,M
9,0,3,6,1,14,5,2,15,2,1,11,8,0,1,1,3,8,0,M25MAVI,M
27,0,21,6,5,0,3,5,27,28,3,27,27,27,23,5,27,0,0,M28NUCO,M
