durante_E_gamma_1,durante_E_gamma_2,durante_E_gamma_3,durante_E_gamma_4,durante_E_gamma_5,durante_E_gamma_6,durante_E_gamma_7,durante_E_gamma_8,durante_E_gamma_9,durante_E_gamma_10,durante_E_gamma_11,durante_E_gamma_12,durante_E_gamma_13,durante_E_gamma_14,durante_E_gamma_15,durante_E_gamma_16,durante_E_gamma_17,durante_E_gamma_18,durante_E_gamma_19,Sujeto,Clase
3,6,12,16,7,3,2,1,10,23,17,6,10,16,11,12,6,1,6,A10GUAC,A
0,26,26,23,1,0,0,0,22,20,29,0,26,20,29,6,0,0,0,A11BRCA,A
12,27,36,41,29,7,3,38,12,30,35,5,7,6,29,30,6,0,31,A12CAPA,A
0,0,4,3,1,0,0,0,0,3,10,0,0,2,9,3,0,2,5,A13RIVI,A
100,94,64,76,66,36,0,76,100,100,21,94,94,100,92,100,68,0,75,A14RARO,A
10,21,15,12,11,19,0,15,14,14,13,22,21,6,14,11,12,0,4,A15GOGA,A
0,6,18,36,15,0,0,15,23,40,34,1,6,37,39,28,3,3,20,A17MUSI,A
6,1,3,7,9,2,0,11,8,9,13,11,8,6,13,6,0,0,1,A1ARVAE,A
0,1,17,25,8,1,0,14,4,20,22,0,0,19,19,11,0,0,7,A21AGLO,A
0,0,10,17,8,1,1,1,10,22,24,0,1,22,20,18,0,0,10,A22SAHE,A
58,14,54,57,0,19,6,53,63,64,1,21,54,63,51,62,69,0,62,A24FLMA,A
0,3,25,16,18,0,0,6,15,25,20,0,8,13,22,6,0,0,3,A52CUCA,A
4,11,14,13,2,8,3,2,17,11,7,3,14,5,7,2,8,1,3,A9AYAND,A
0,3,12,3,2,3,0,1,7,9,14,1,2,8,6,3,0,0,1,B11SUPR,B
0,0,34,6,5,0,0,11,18,18,25,5,20,31,31,5,16,28,23,B12LARA,B
1,0,4,2,3,0,0,1,3,5,9,0,6,10,6,6,2,0,2,B13VIGA,B
3,5,14,2,2,3,2,19,19,10,15,5,0,21,0,8,1,6,9,B18CASI,B
10,3,42,3,21,0,0,47,48,57,57,46,46,56,52,47,25,1,21,B22VIPU,B
0,3,13,6,0,0,0,0,3,16,13,0,0,15,15,12,0,0,3,B24CECU,B
1,37,51,52,36,0,0,51,44,51,51,0,51,43,51,1,0,0,35,B4CAZAD,B
1,2,3,4,7,1,0,3,5,7,0,1,5,9,7,3,1,2,2,B7MESEA,B
12,33,21,40,21,7,0,4,33,22,33,30,15,33,30,16,3,6,10,B8RAMOM,B
0,1,19,15,23,1,0,13,11,27,24,1,3,25,13,1,1,2,3,M9BENIE,M
0,8,19,21,12,0,0,3,4,19,16,0,1,16,16,3,0,0,0,M12SAES,M
0,22,32,35,14,22,0,4,38,37,35,1,10,41,28,28,5,3,5,M19NAMO,M
0,8,30,39,16,3,29,17,28,24,38,0,13,33,21,18,20,10,16,M24SAME,M
0,10,16,14,11,1,0,14,16,27,26,0,4,10,21,3,1,0,0,M27MUAG,M
0,9,11,4,7,15,0,5,19,14,17,0,9,16,16,1,0,0,4,M3ESDIR,M
7,12,58,9,27,10,10,31,28,34,39,2,15,35,32,33,4,25,30,M7FLSAA,M
5,18,21,31,29,1,1,8,40,33,30,6,21,39,34,29,7,1,12,M8AVGUK,M
0,8,14,13,11,3,0,3,14,18,17,0,0,12,12,3,0,0,4,M9SAAND,M
