durante_E_sf_1,durante_E_sf_2,durante_E_sf_3,durante_E_sf_4,durante_E_sf_5,durante_E_sf_6,durante_E_sf_7,durante_E_sf_8,durante_E_sf_9,durante_E_sf_10,durante_E_sf_11,durante_E_sf_12,durante_E_sf_13,durante_E_sf_14,durante_E_sf_15,durante_E_sf_16,durante_E_sf_17,durante_E_sf_18,durante_E_sf_19,Sujeto,Clase
0,1,13,21,10,6,1,4,24,20,21,1,5,5,14,11,4,5,5,A18RURI,A
15,34,50,19,11,21,34,39,39,30,19,9,22,31,37,12,3,20,35,A19MOEP,A
0,0,22,14,0,0,1,0,12,27,22,0,8,22,19,10,1,0,22,A27HECE,A
7,7,19,12,2,7,1,5,8,15,10,0,6,0,7,4,3,0,4,A28TOPA,A
5,9,12,33,20,9,8,23,2,10,16,1,1,3,17,14,9,1,29,A8ESSAI,A
7,9,8,0,2,4,0,4,17,20,12,9,13,19,10,2,8,3,9,B10ESTO,B
1,7,32,23,1,0,1,8,17,27,33,0,27,37,35,12,1,15,32,B14FOVA,B
0,0,26,32,26,0,0,25,20,39,36,0,6,32,39,27,0,0,10,B15GOGO,B
29,11,80,57,35,55,65,37,71,72,0,42,83,80,92,74,63,67,76,B17ARTO,B
7,11,14,5,6,1,0,10,9,12,16,5,2,11,10,11,1,2,5,B20RORA,B
18,1,13,0,14,1,0,5,20,28,22,0,7,27,21,18,2,1,6,B21GUDE,B
9,3,38,35,44,5,12,29,51,50,54,27,20,54,45,32,16,0,43,B23VEZE,B
22,19,5,1,10,13,8,2,26,15,29,23,20,17,19,37,11,7,22,B25MEVI,B
31,32,32,25,37,6,1,19,30,39,40,27,3,8,10,12,28,8,11,B5ARMON,B
3,1,32,27,16,20,23,45,9,26,39,0,3,14,36,33,0,8,34,B6SOMOD,B
5,10,10,17,7,1,0,5,13,25,18,3,18,6,8,8,0,0,8,M10CAUR,M
4,7,37,35,36,8,1,44,29,41,43,5,0,34,43,35,2,3,34,M11BADE,M
0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,M13FECA,M
11,9,9,14,8,6,5,11,10,9,16,3,6,4,5,0,1,0,2,M16ARVE,M
15,21,8,19,6,11,0,2,18,23,10,4,16,4,5,3,3,2,4,M17GOSE,M
0,25,15,3,9,1,0,0,13,16,26,0,10,12,14,17,1,0,0,M18HUME,M
0,0,1,1,0,0,0,0,0,8,9,0,6,9,8,0,0,0,3,M21SANA,M
9,22,20,16,20,3,1,23,26,41,1,2,26,26,30,11,17,3,15,M22HUGU,M
0,11,26,22,23,0,3,12,14,37,24,0,18,21,25,20,5,3,15,M23SACA,M
1,0,9,7,1,1,0,0,9,7,8,3,5,2,1,3,3,0,3,M25MAVI,M
0,0,13,20,17,0,0,13,3,14,28,0,11,13,22,16,0,0,10,M28NUCO,M
