durante_E_theta_1,durante_E_theta_2,durante_E_theta_3,durante_E_theta_4,durante_E_theta_5,durante_E_theta_6,durante_E_theta_7,durante_E_theta_8,durante_E_theta_9,durante_E_theta_10,durante_E_theta_11,durante_E_theta_12,durante_E_theta_13,durante_E_theta_14,durante_E_theta_15,durante_E_theta_16,durante_E_theta_17,durante_E_theta_18,durante_E_theta_19,Sujeto,Clase
16,16,31,51,27,9,6,26,22,33,38,17,39,55,51,27,46,55,38,A10GUAC,A
32,62,26,52,4,10,32,4,70,47,29,36,70,66,39,37,36,46,4,A11BRCA,A
3,20,27,23,1,25,10,14,21,25,12,3,28,9,9,6,3,7,6,A12CAPA,A
6,0,17,4,26,12,0,1,21,23,19,12,38,18,15,3,40,12,30,A13RIVI,A
81,44,107,45,86,52,3,95,71,107,45,81,81,105,87,45,96,54,77,A14RARO,A
12,39,36,34,10,13,14,34,37,25,32,5,16,36,31,3,10,3,0,A15GOGA,A
14,38,49,64,53,25,31,63,35,53,40,11,66,50,50,55,20,24,24,A17MUSI,A
43,20,10,10,14,25,31,20,45,18,6,36,20,36,8,9,31,36,5,A1ARVAE,A
1,131,131,120,131,131,120,120,131,131,131,67,131,131,131,131,132,120,120,A21AGLO,A
33,21,16,31,31,17,20,24,23,21,30,16,26,19,28,20,41,9,15,A22SAHE,A
120,120,120,124,11,120,120,120,120,120,1,120,120,124,125,124,120,120,124,A24FLMA,A
15,26,42,62,36,22,5,23,38,31,24,35,11,34,30,23,24,38,24,A52CUCA,A
34,32,12,9,3,26,9,9,32,32,15,34,15,18,8,1,32,27,30,A9AYAND,A
45,50,44,37,9,27,47,52,45,14,8,12,12,23,57,45,11,24,50,B11SUPR,B
66,74,70,81,5,66,66,16,74,74,83,79,78,78,48,1,83,11,3,B12LARA,B
0,16,34,6,41,1,3,58,32,34,58,23,48,60,36,21,54,33,27,B13VIGA,B
5,54,36,51,51,7,48,40,49,50,6,14,32,52,20,12,7,36,24,B18CASI,B
41,36,26,31,15,21,21,2,35,15,2,41,27,1,3,1,42,3,3,B22VIPU,B
27,29,24,27,0,10,0,0,49,45,55,33,67,57,50,43,14,42,34,B24CECU,B
8,17,25,27,8,5,31,24,25,29,33,7,15,30,36,14,19,15,25,B4CAZAD,B
14,28,24,32,12,4,1,13,11,19,5,15,17,26,26,15,3,3,20,B7MESEA,B
10,36,38,49,49,4,45,52,10,53,61,16,24,57,46,53,12,0,36,B8RAMOM,B
31,61,55,64,54,3,27,35,35,37,25,53,49,60,24,46,49,28,23,M9BENIE,M
20,2,42,54,26,3,0,19,2,39,60,48,20,43,49,23,31,34,37,M12SAES,M
38,25,42,37,19,1,10,15,41,33,20,35,49,44,23,15,34,14,15,M19NAMO,M
62,62,77,49,2,53,54,4,73,48,77,58,73,77,20,1,77,73,2,M24SAME,M
5,18,13,35,18,7,10,13,16,23,26,7,2,20,32,9,4,8,10,M27MUAG,M
10,13,3,23,26,10,27,32,13,13,28,13,16,5,33,26,36,38,34,M3ESDIR,M
10,52,75,67,61,71,67,43,76,17,62,56,27,19,76,52,6,1,62,M7FLSAA,M
103,44,106,106,97,94,97,97,103,78,106,111,79,15,106,94,103,0,36,M8AVGUK,M
55,50,58,23,14,44,21,18,47,37,8,47,35,50,9,10,47,33,21,M9SAAND,M
