durante_E_theta_1,durante_E_theta_2,durante_E_theta_3,durante_E_theta_4,durante_E_theta_5,durante_E_theta_6,durante_E_theta_7,durante_E_theta_8,durante_E_theta_9,durante_E_theta_10,durante_E_theta_11,durante_E_theta_12,durante_E_theta_13,durante_E_theta_14,durante_E_theta_15,durante_E_theta_16,durante_E_theta_17,durante_E_theta_18,durante_E_theta_19,Sujeto,Clase
12,12,16,13,2,0,0,8,19,12,14,12,16,12,14,6,13,3,8,A18RURI,A
30,25,80,70,24,10,33,23,56,80,71,30,50,63,63,41,69,70,48,A19MOEP,A
20,0,41,47,17,24,0,8,52,51,37,7,14,36,34,36,3,6,29,A27HECE,A
29,29,14,7,3,25,3,21,21,27,18,24,25,40,12,20,21,0,3,A28TOPA,A
8,27,27,48,45,39,1,33,45,19,25,45,43,27,19,50,27,1,11,A8ESSAI,A
17,7,20,0,0,6,0,1,3,8,12,17,5,24,21,8,17,3,17,B10ESTO,B
7,51,20,30,18,1,5,8,43,41,51,7,50,45,59,40,17,44,45,B14FOVA,B
28,65,72,72,23,8,10,14,53,64,68,10,53,53,56,58,3,38,65,B15GOGO,B
34,72,76,70,26,52,53,46,70,78,3,21,54,78,62,15,61,30,62,B17ARTO,B
45,41,40,43,5,28,1,0,41,46,46,12,30,46,21,10,46,0,0,B20RORA,B
0,26,17,18,23,8,41,8,22,24,30,25,41,2,20,18,28,3,21,B21GUDE,B
20,14,34,15,19,14,22,1,28,42,45,42,35,36,36,4,32,17,0,B23VEZE,B
27,20,20,22,7,24,13,12,31,18,0,27,31,5,7,13,13,0,10,B25MEVI,B
46,53,54,40,21,43,42,6,20,39,21,40,36,53,12,3,15,50,0,B5ARMON,B
20,28,38,5,1,12,1,1,34,42,25,6,34,34,51,21,37,31,44,B6SOMOD,B
13,14,10,10,12,13,2,3,10,6,12,14,14,1,12,17,1,0,1,M10CAUR,M
54,43,24,40,29,1,7,25,59,49,70,54,48,39,39,70,39,6,45,M11BADE,M
35,8,10,28,22,6,0,27,42,40,23,37,39,18,28,11,32,37,28,M13FECA,M
17,8,11,18,10,11,6,9,9,16,10,9,10,6,10,10,1,17,10,M16ARVE,M
45,39,8,0,3,18,0,0,39,14,30,41,49,44,43,45,41,3,30,M17GOSE,M
2,25,21,25,43,16,18,38,33,18,21,1,22,50,12,15,5,30,7,M18HUME,M
6,9,29,29,19,13,10,32,26,13,20,22,19,29,32,8,3,10,1,M21SANA,M
1,95,100,100,100,95,100,100,104,100,45,1,95,100,100,91,11,104,91,M22HUGU,M
17,75,69,69,80,85,11,60,80,76,73,3,85,84,80,85,43,1,28,M23SACA,M
30,0,64,58,58,15,17,38,16,25,58,44,44,35,39,65,44,40,15,M25MAVI,M
54,34,59,56,54,29,8,5,61,56,50,61,60,46,56,17,22,3,7,M28NUCO,M
