durante_Gio_beta_1,durante_Gio_beta_2,durante_Gio_beta_3,durante_Gio_beta_4,durante_Gio_beta_5,durante_Gio_beta_6,durante_Gio_beta_7,durante_Gio_beta_8,durante_Gio_beta_9,durante_Gio_beta_10,durante_Gio_beta_11,durante_Gio_beta_12,durante_Gio_beta_13,durante_Gio_beta_14,durante_Gio_beta_15,durante_Gio_beta_16,durante_Gio_beta_17,durante_Gio_beta_18,durante_Gio_beta_19,Sujeto,Clase
1.6752,5.651,8.4649,7.582,9.3146,4.1318,2.3701,4.8403,9.0785,10.2816,8.6815,0,4.9044,7.6693,8.8265,5.1227,0,3.2087,5.7767,A18RURI,A
1.6752,5.651,8.4649,7.582,9.3146,4.1318,2.3701,4.8403,9.0785,10.2816,8.6815,0,4.9044,7.6693,8.8265,5.1227,0,3.2087,5.7767,A19MOEP,A
1.6752,5.651,8.4649,7.582,9.3146,4.1318,2.3701,4.8403,9.0785,10.2816,8.6815,0,4.9044,7.6693,8.8265,5.1227,0,3.2087,5.7767,A27HECE,A
1.6752,5.651,8.4649,7.582,9.3146,4.1318,2.3701,4.8403,9.0785,10.2816,8.6815,0,4.9044,7.6693,8.8265,5.1227,0,3.2087,5.7767,A28TOPA,A
1.6752,5.651,8.4649,7.582,9.3146,4.1318,2.3701,4.8403,9.0785,10.2816,8.6815,0,4.9044,7.6693,8.8265,5.1227,0,3.2087,5.7767,A8ESSAI,A
5.6132,5.6646,6.323,0,3.7723,1.4878,0,0.77993,5.3878,6.8112,4.0301,6.5166,7.4026,5.797,5.6433,2.4413,2.2801,2.3432,2.4803,B10ESTO,B
3.9966,5.1452,6.7004,8.3095,3.3063,3.2472,2.4096,4.1445,6.0401,7.5723,4.2908,2.4643,5.0866,7.4501,6.6683,6.6361,5.6515,5.4665,4.906,B14FOVA,B
1.4505,2.9428,9.7207,9.4865,4.3976,1.4244,0.70217,7.9918,9.9514,9.7587,11.823,0.70217,4.2842,9.2836,9.7621,9.0015,8.421,0.7126,7.1999,B15GOGO,B
4.8147,4.4785,8.656,8.3233,6.9705,3.2452,5.8293,5.9653,9.8708,7.8636,0.74891,6.4695,4.7859,9.0121,10.8731,5.18,2.4318,1.4814,3.339,B17ARTO,B
0.78357,1.5438,0.78535,0,3.9353,0.73714,0.80204,0,3.0842,4.1154,4.9963,1.5207,1.4565,4.8767,5.2452,3.1825,0.80204,0,3.8286,B20RORA,B
0.77035,0.72787,2.4247,0.75355,3.8133,0.72787,0,1.5635,4.8709,7.6398,6.0639,0.76436,3.0371,6.1308,6.3099,6.0341,0.76436,0.73861,5.052,B21GUDE,B
1.5559,0.76591,2.2031,2.9212,3.0543,2.2044,0,2.2799,5.4382,5.7087,7.1684,2.2649,0.73301,6.032,4.2535,5.6168,3.0485,0.72597,4.6536,B23VEZE,B
7.535,3.5395,3.2789,0.80228,7.5616,3.3866,1.5805,2.4995,6.9292,7.5284,6.8224,3.7014,7.7273,5.0721,4.9469,6.6979,4.3344,1.5891,4.2751,B25MEVI,B
3.2584,3.8401,3.5121,4.9514,3.121,1.6013,1.5649,2.4503,4.2801,5.1248,6.0162,2.467,2.2771,1.5302,5.4688,2.3342,0.74791,0,0.80954,B5ARMON,B
2.9741,3.0156,8.1195,9.7184,4.7421,3.6906,4.5625,3.1291,4.6679,9.7443,7.7475,2.2416,7.7308,8.5582,9.0257,8.4722,3.0335,4.7025,5.9486,B6SOMOD,B
6.3569,8.0343,6.3155,5.5967,4.6357,1.4271,0,5.421,6.5733,8.8513,4.9515,5.7718,6.5775,3.0366,5.6127,2.3742,3.8155,0.71729,3.1552,M10CAUR,M
2.4207,4.0428,3.3218,4.1902,7.0419,1.4978,0.76524,5.4386,5.9237,4.4802,9.1619,4.1043,6.115,4.4788,6.4351,2.3715,1.5843,1.4865,3.2044,M11BADE,M
1.4552,0.78512,6.1347,5.4715,1,0.70399,0.70399,4.6697,3.7731,6.2535,5.5154,1.4645,0.71587,1,5.4709,4.3495,0,0,3.0682,M13FECA,M
7.5817,4.3938,4.6811,4.8302,1.6307,3.1794,2.2945,3.8895,8.5254,8.6587,7.4393,4.9394,5.7063,4.8198,6.6123,0.84025,2.9687,2.2678,2.2558,M16ARVE,M
12.7813,11.8134,11.6266,11.5401,7.6292,10.8742,0.73165,12.9842,12.7417,12.8512,10.5805,4.8241,13.575,12.1495,14.1067,12.8033,9.2392,7.0078,8.9033,M17GOSE,M
3.2526,10.6265,10.2156,10.1796,12.2725,11.9225,4.5689,9.4618,6.5216,11.2127,11.162,3.1737,8.9364,12.5899,10.3518,13.1472,9.2718,1.5311,2.9782,M18HUME,M
0.75807,0,3.0879,4.5615,6.1616,2.9551,3.0873,2.3706,1.4885,6.4319,7.2799,1.4868,4.4061,6.0244,7.2017,0,1.4837,0,4.6923,M21SANA,M
14.2938,11.8202,14.8548,14.8886,12.3751,13.4159,11.5254,14.7304,15.1067,14.7456,0,13.9683,12.6934,14.6229,13.8998,11.5415,14.324,13.7037,11.7947,M22HUGU,M
5.1422,5.6419,7.9049,6.3585,3.7472,0.77067,0,5.3069,9.8599,10.0343,8.9921,0,9.937,9.6249,7.651,5.1767,5.1239,5.3734,3.1607,M23SACA,M
3.4643,0,5.0141,6.9299,3.2691,3.9889,0.81797,2.4133,7.7859,7.8813,7.8728,5.151,5.1035,6.7429,4.077,5.1583,6.6276,0,0.81225,M25MAVI,M
0,0.73633,3.7639,5.0568,4.9165,0.73633,0,1.6083,4.1768,5.0575,4.319,0,4.0898,4.3363,7.9139,3.911,0,0.73098,2.2382,M28NUCO,M
