durante_Gio_sf_1,durante_Gio_sf_2,durante_Gio_sf_3,durante_Gio_sf_4,durante_Gio_sf_5,durante_Gio_sf_6,durante_Gio_sf_7,durante_Gio_sf_8,durante_Gio_sf_9,durante_Gio_sf_10,durante_Gio_sf_11,durante_Gio_sf_12,durante_Gio_sf_13,durante_Gio_sf_14,durante_Gio_sf_15,durante_Gio_sf_16,durante_Gio_sf_17,durante_Gio_sf_18,durante_Gio_sf_19,Sujeto,Clase
0.82515,3.4342,4.1201,6.7759,3.568,2.5383,3.3216,1.7586,5.9828,6.7877,6.4005,4.212,3.4925,7.6975,5.4783,5.4351,4.2212,3.3503,5.2595,A10GUAC,A
4.146,6.9327,9.7327,8.8425,4.2461,1.6671,1.6752,2.486,8.0531,9.7189,9.7659,1.6695,7.2171,7.0666,8.9588,5.0562,0.84085,2.4826,0.81137,A11BRCA,A
6.7439,8.4067,9.5122,11.3325,8.1104,5.7579,3.2798,11.2183,5.9523,10.1879,8.94,4.9498,3.2641,4.9688,9.6815,8.6644,4.3109,2.4581,9.4925,A12CAPA,A
2.5502,2.603,4.3785,3.7305,4.2837,0.84937,3.3442,2.6159,2.5828,5.4464,11.6399,0.8435,4.404,3.7418,7.4044,2.7582,0,5.268,4.4135,A13RIVI,A
14.9188,13.8056,7.1449,12.0241,10.8367,8.9467,0,11.8208,15.0088,14.8335,6.9651,13.7906,13.8409,14.9321,12.8458,14.799,10.7486,0,11.7987,A14RARO,A
3.4285,7.1222,5.0245,5.1569,3.2748,4.2175,2.4285,4.235,5.2882,6.7927,7.5729,8.3732,7.7018,3.3366,6.7665,5.0168,5.0525,2.4692,3.3391,A15GOGA,A
0,5.1456,6.8313,9.0007,7.7235,1.6522,0,6.8011,5.9307,10.6825,9.0714,1.65,2.5046,11.4095,10.8456,8.7715,4.9938,2.4967,6.0219,A17MUSI,A
3.4331,4.0792,4.2338,4.4475,5.1358,4.0933,4.8283,6.0409,10.0491,5.1348,9.4218,6.0336,6.9627,4.9321,7.7323,3.3452,1.6698,3.159,1.782,A1ARVAE,A
1,0.80631,4.0984,5.7517,2.4618,0,0,2.4269,3.2759,4.1873,5.8685,1,0.79958,3.2984,3.4077,1.635,0,0,1.6482,A21AGLO,A
0,0,5.1829,7.0912,5.1853,2.4578,2.4908,1.7678,4.2293,9.5161,7.8445,0,3.3315,7.0469,6.1829,6.0388,1.6538,0,4.1863,A22SAHE,A
11.5285,7.0801,11.9372,11.6308,0,9.0583,4.3604,10.8193,12.6507,11.0964,2.6261,9.5463,11.7639,12.8114,10.5674,11.9228,12.6843,0,12.6078,A24FLMA,A
1.6959,4.9479,8.6358,8.4961,7.0879,1.6163,0,5.1441,6.0426,8.0205,6.1843,3.3621,5.0673,6.8486,8.9799,3.4592,0.8295,1.6955,5.0943,A52CUCA,A
2.4342,5.1644,6.0203,7.6552,1.6941,4.2128,1.7039,2.4795,8.5346,7.1503,4.4048,4.0792,5.8934,3.4581,4.9405,2.4712,4.1304,0.80479,2.569,A9AYAND,A
3.4126,4.2744,8.6335,6.1004,6.1548,2.5597,4.2332,4.4081,6.2603,7.8946,10.808,4.299,2.6406,5.1526,7.8472,7.9038,2.5995,4.1943,3.5493,B11SUPR,B
1.6486,2.5374,11.0894,3.4988,4.3145,4.1197,3.3303,7.7473,6.8177,7.0168,9.5942,4.9462,7.5501,8.8828,10.7555,4.3938,6.6572,7.7997,9.6113,B12LARA,B
2.5003,0.79651,3.3508,1.6409,3.4234,0,0,2.4961,3.3097,2.8015,5.0179,0.8267,1.6307,6.0377,3.4151,5.8109,0.79651,0,3.2697,B13VIGA,B
2.6701,6.7509,7.7449,4.3322,4.2764,2.6417,5.1183,7.8087,8.8813,7.908,7.7407,5.25,1.8052,9.5196,1.8082,6.0685,2.5991,5.9033,6.7496,B18CASI,B
4.1077,0.77977,6.4278,3.8767,5.8682,0,0,9.1174,11.0396,11.1409,10.5347,9.0846,8.4819,11.772,10.4045,8.401,4.7864,0.80918,5.6791,B22VIPU,B
1.7063,3.4409,8.5759,6.9131,1.655,0.88544,0,2.551,4.3003,7.2333,5.7453,1.7006,0.8458,8.0055,9.0015,5.2764,1.727,1.6755,2.6146,B24CECU,B
2.5982,9.0339,10.9773,11.1806,8.0172,0.85373,1.688,11.545,9.2251,10.2197,9.9855,0.86761,11.0264,9.4215,9.3538,1.8137,0.86005,1.691,9.0449,B4CAZAD,B
4.4762,7.7466,7.0474,6.4444,6.2393,5.2956,3.3652,6.3009,7.213,8.0538,2.6195,5.2799,7.9562,9.8987,8.2238,4.5079,3.5776,6.326,7.0205,B7MESEA,B
4.2675,9.3427,3.4275,8.5904,5.1661,1.6822,0,2.5794,6.8046,8.0382,7.8478,7.6872,6.8143,7.8584,9.8662,4.5727,2.5799,3.3971,3.6227,B8RAMOM,B
2.4561,3.2812,7.7128,3.3433,8.4802,3.2737,1.6015,8.5104,8.8773,8.901,8.2293,4.0976,5.7158,7.7935,6.02,1.6478,3.2846,6.4113,3.4184,M9BENIE,M
0,6.6337,6.8386,6.015,5.7689,0,1.6378,4.8604,3.3569,9.6374,5.1859,0.78449,3.2697,6.897,6.0624,3.2879,0,1.5811,0.79661,M12SAES,M
1.6037,9.9605,6.9966,9.5239,4.9768,7.6475,1.5996,3.2796,8.7154,9.4888,10.4804,1.6239,4.2322,9.4233,7.7338,7.5463,3.2497,2.4654,3.5159,M19NAMO,M
0.80989,5.3384,11.167,8.1335,6.9766,4.3355,9.4759,6.0219,7.9519,7.0329,8.6877,2.4541,6.2097,10.2949,6.9679,7.8636,9.1059,5.7914,6.7511,M24SAME,M
