durante_Gio_theta_1,durante_Gio_theta_2,durante_Gio_theta_3,durante_Gio_theta_4,durante_Gio_theta_5,durante_Gio_theta_6,durante_Gio_theta_7,durante_Gio_theta_8,durante_Gio_theta_9,durante_Gio_theta_10,durante_Gio_theta_11,durante_Gio_theta_12,durante_Gio_theta_13,durante_Gio_theta_14,durante_Gio_theta_15,durante_Gio_theta_16,durante_Gio_theta_17,durante_Gio_theta_18,durante_Gio_theta_19,Sujeto,Clase
4.6337,5.1696,6.3416,6.2845,2.2976,0.77585,1.5167,3.7077,6.9389,4.9875,6.4326,4.7087,6.1962,4.923,5.6104,4.2953,5.4359,3.0449,3.6479,A18RURI,A
7.3464,6.3691,12.5929,11.057,5.9094,3.9006,6.162,5.2143,10.2302,12.3361,10.9779,7.4432,9.2369,10.6089,10.7218,7.4855,11.4868,10.9036,8.1758,A19MOEP,A
6.2463,0,8.9133,9.7881,5.1369,5.7343,0,3.4629,10.6031,10.6081,8.2044,3.7985,5.8011,8.2845,7.6817,7.755,2.3494,3.7356,7.0773,A27HECE,A
7.3249,7.5655,5.4695,3.944,2.4262,6.6001,2.1189,6.5308,6.1137,8.4452,6.56,6.4791,6.6711,9.7868,5.4535,6.9131,5.959,0,2.244,A28TOPA,A
4.1488,6.8158,7.6117,9.4505,9.0416,7.4642,1.9654,6.4568,8.8309,6.427,7.2138,8.5998,8.1976,7.42,6.4718,9.4493,6.4382,2.1642,5.1913,A8ESSAI,A
5.6821,4.3413,7.2199,2.1841,0.8076,3.1005,0,1.9896,2.2864,4.3879,5.1771,5.5967,2.9347,7.6075,7.0309,4.3062,5.6018,2.2916,6.1405,B10ESTO,B
3.7647,9.0133,6.4429,7.9238,6.2255,2.0397,3.344,4.3844,8.6859,8.0253,9.3713,3.7185,9.0497,8.3743,10.9132,7.1342,4.6679,8.1547,8.1146,B14FOVA,B
6.9776,10.4609,12.083,11.4947,5.9064,3.6773,3.2059,4.1569,8.8221,10.7844,11.324,4.2925,8.9409,9.2046,10.1285,9.8631,1.974,6.4592,10.9583,B15GOGO,B
7.6999,10.5692,12.0635,11.4846,5.9909,9.0096,9.1031,8.1896,10.8262,12.3189,2.0075,6.1475,9.522,11.7084,10.2472,4.3401,9.5962,6.7115,10.4842,B17ARTO,B
9.0447,8.4334,8.1408,8.5925,2.9185,6.686,2.0293,0.72462,8.2371,8.7436,8.8414,4.6985,7.5239,8.9119,6.7682,4.1196,8.1765,1.408,1.9798,B20RORA,B
0.76617,7.8537,6.9956,5.5055,6.7164,4.5099,9.9049,3.7687,7.4693,7.2844,8.3805,6.9948,10.0273,2.3063,6.8127,6.0576,7.6122,2.3253,6.5378,B21GUDE,B
6.185,5.0837,7.7836,5.7569,5.9094,5.6594,6.5504,1.3953,7.1085,9.447,9.8593,9.4358,8.0983,8.2476,8.6488,3.454,7.2,5.411,1.4598,B23VEZE,B
7.0339,6.4315,5.8928,5.6471,3.5898,6.8237,5.7584,5.4029,8.0188,6.5147,1.9166,7.0811,8.0499,4.1969,3.5542,5.5041,5.6997,1.2727,5.4091,B25MEVI,B
9.3492,10.001,10.1541,8.71,6.1479,8.6231,8.2552,2.5396,5.7044,8.6236,6.1094,8.4759,7.824,9.7058,4.793,3.0993,4.7282,8.8573,0.94803,B5ARMON,B
6.5789,7.5152,8.4841,3.6784,2.2944,4.6343,2.1147,1.5108,7.8568,9.4225,7.7331,3.202,7.5229,8.1058,10.8517,7.384,8.1487,6.9114,9.4918,B6SOMOD,B
5.0149,6.9326,3.5616,4.3561,5.6653,4.9718,2.083,3.1036,4.2968,3.6013,4.9329,5.6168,5.6368,2.0957,5.0953,7.6826,2.1676,1.4363,2.257,M10CAUR,M
9.6792,8.2857,6.3477,8.7279,6.6445,1.3689,3.642,6.7181,10.5,9.209,12.077,9.996,9.1647,7.7913,8.3162,11.3117,8.0749,2.9072,8.9159,M11BADE,M
7.3263,3.4742,4.1272,6.8804,5.6397,2.6074,0.62561,6.053,8.8802,8.7875,5.7964,7.659,7.6403,5.0033,6.7444,5.0728,7.4482,8.0604,6.5681,M13FECA,M
6.3471,4.1599,5.463,7.1204,4.4802,4.6904,3.0026,4.4678,4.3337,6.3036,5.1701,5.4034,4.905,3.4332,5.0684,4.5767,1.3734,6.2531,5.2752,M16ARVE,M
9.0913,8.8711,4.2359,1.4362,2.179,6.1943,0.74723,1.4313,8.857,5.7274,6.572,8.3855,9.8446,8.4189,8.6094,8.5738,8.2119,1.9825,7.3761,M17GOSE,M
2.8114,7.5395,6.5498,6.7136,9.6805,6.2677,5.8164,8.9753,8.659,5.9476,5.8877,2.0693,6.3402,10.733,4.3343,5.4829,3.4719,7.7729,4.4272,M18HUME,M
3.0194,3.9353,7.6489,7.8933,5.8955,5.3636,4.0669,8.7475,7.6453,4.0726,6.6999,6.8762,6.3524,7.6178,9.1445,4.1569,2.6778,3.4481,1.4246,M21SANA,M
1.7977,13.5836,14.0841,13.5409,13.5857,13.6229,13.9028,13.8562,14.1109,13.9484,8.3051,1.7238,12.6818,13.7558,13.9609,12.3442,5.4988,14.5188,13.0039,M22HUGU,M
5.5396,11.6976,10.6667,10.9095,12.2327,12.3312,4.7643,10.463,11.825,11.6423,11.184,2.5282,12.5717,12.9806,12.2123,12.2557,8.8546,1.4999,6.3444,M23SACA,M
