durante_C_beta_1,durante_C_beta_2,durante_C_beta_3,durante_C_beta_4,durante_C_beta_5,durante_C_beta_6,durante_C_beta_7,durante_C_beta_8,durante_C_beta_9,durante_C_beta_10,durante_C_beta_11,durante_C_beta_12,durante_C_beta_13,durante_C_beta_14,durante_C_beta_15,durante_C_beta_16,durante_C_beta_17,durante_C_beta_18,durante_C_beta_19,Sujeto,Clase
0.66667,0.52381,0.63889,1,0.7619,0,NaN,0.3,0.60714,0.56364,0.63889,0.52778,0.55556,0.52727,0.78571,0.85714,0.8,1,0.52778,A10GUAC,A
0.2,0.78571,0.85714,0.71429,0.8,NaN,NaN,1,0.55556,0.69444,0.58182,0.33333,0.67857,0.85714,0.6,0.6,NaN,0.4,NaN,A11BRCA,A
NaN,0.69444,0.61818,0.66667,0.95238,0.57143,1,1,0.71429,0.6,0.89286,NaN,1,0.66667,0.48889,0.77778,1,NaN,0.66667,A12CAPA,A
1,0,0.4,0.5,0.4,NaN,NaN,0.5,0.33333,0.38889,0.60714,1,0,0.52381,0.71429,0.6,NaN,0.8,0.9,A13RIVI,A
0.86667,0.98901,0.98901,0.94286,1,1,NaN,0.94286,0.86667,0.86667,1,0.98901,0.94286,0.86667,0.86667,0.94286,0.98901,NaN,0.87619,A14RARO,A
NaN,0.38095,0.4,0.5,1,NaN,NaN,0.5,0.6,0.5,0.3,0.4,0.8,0.33333,0.33333,0,1,0,0,A15GOGA,A
0.33333,0.3,0.5,0.65455,0.66667,0.33333,NaN,0.7,0.4,0.55556,0.71111,0,0.95238,0.77778,0.71111,0.54545,0.95238,1,0.64286,A17MUSI,A
0.47619,0.8,0.38095,0.53333,0.66667,0.33333,0.46667,0.53571,0.37778,0.66667,0.4,0.46429,0.46429,0.46429,0.51111,0.66667,0.57143,0.5,0.53333,A1ARVAE,A
NaN,0.92424,0.8022,0.9359,1,0.84615,NaN,0.87179,0.81905,0.87912,0.9359,NaN,0.92424,0.81905,0.81905,0.95455,0.91667,0.95238,0.81905,A21AGLO,A
0.73333,0.95238,0.64444,0.75556,0.85714,1,NaN,1,0.75,0.69091,0.63636,0,0.33333,0.54545,0.70909,0.70909,NaN,NaN,1,A22SAHE,A
0.95238,1,0.95238,0.95238,NaN,0.96703,0.98901,0.90476,0.95238,0.95238,0.71429,0.91209,0.95238,0.77206,0.90476,0.875,0.95238,NaN,0.875,A24FLMA,A
0.85714,0.78571,0.5,0.46667,0.9,0.78571,1,0.55556,0.50909,0.53333,0.61905,0.53333,0.5,0.47619,0.61905,0.9,1,0.90476,0.53333,A52CUCA,A
0.66667,0.4,0.38889,0.4,0.8,0.61905,0.83333,0.42857,0.41818,0.48889,0.43636,1,0.66667,0.73333,0.57143,0.7,0.66667,0.6,0.5,A9AYAND,A
0.83333,0.46667,0.71429,0.33333,0.4,0.93333,NaN,1,0.40909,0.64286,0.49091,0.60714,0.8,0.49091,0.36111,0.53333,0.83333,0.33333,0.73333,B11SUPR,B
NaN,NaN,0.52727,0.72727,0.93333,1,0.66667,0.67857,0.57143,0.71429,0.80556,NaN,0.73333,0.69091,0.72727,0.90476,0.58333,0.77778,0.66667,B12LARA,B
1,NaN,1,1,0.66667,NaN,1,0.6,0.7,0.47222,0.37778,0,0.57143,0.60714,0.44444,0.66667,0.6,0,0.66667,B13VIGA,B
0.46667,0.61905,0.5,0.8,0.8,NaN,0.44444,0.8,0.5,0.5,0.61905,0.71429,0.57143,0.57143,NaN,0.66667,0.73333,0.83333,1,B18CASI,B
1,1,0.7,NaN,1,NaN,NaN,0.71429,0.66667,0.57143,0.36364,0.66667,0.66667,0.41667,0.30303,0.9,0.66667,1,NaN,B22VIPU,B
NaN,0,1,0.89286,0,NaN,NaN,0.75,0.35714,0.85714,0.89286,NaN,0,0.80556,0.80556,0.64444,0,0.33333,0.66667,B24CECU,B
NaN,0.96364,0.83333,0.73626,0.85455,NaN,NaN,0.92727,0.87879,0.96364,0.83333,0.71429,0.89394,1,0.83333,1,NaN,0.92857,0.73626,B4CAZAD,B
0.83333,0.7619,0.47273,0.62222,0.67857,0.8,0.66667,0.42857,0.67857,0.66667,0.83333,0.46667,0.67857,0.52778,0.69444,0.71429,0.66667,0.48485,0.51111,B7MESEA,B
0.47619,0.67273,0.65455,0.69444,0.7619,0.69444,NaN,0.7619,0.63889,0.75556,0.45714,0.66667,0.68889,0.65455,0.62222,0.7619,0.86667,0.66667,0.57143,B8RAMOM,B
NaN,NaN,0.66667,0.53333,0.80952,NaN,0,0.71429,0.33333,0.48889,0.71429,0,0.33333,0.71429,0.8,NaN,0,0.33333,0.5,M9BENIE,M
NaN,0.93333,0.61818,0.77778,0.80952,NaN,0.69444,0.66667,0.86667,0.68889,0.62121,NaN,0.8,0.56364,0.64444,0.71429,NaN,0,0.5,M12SAES,M
0,0,0,0.64444,0.7619,0.33333,0,NaN,0.47619,0.53571,0.64444,1,0.78571,0.54545,0.55556,0.80952,1,0.71429,0.6,M19NAMO,M
NaN,0.6,0.61905,0.66667,0.66667,1,0.33333,0.46667,0.51111,0.57143,0.53571,0.7,0.5,0.43939,0.46667,0.38095,0.66667,0.66667,0.8,M24SAME,M
NaN,NaN,0.69444,0.75,0.85714,0,1,1,0.71429,0.75,0.58182,NaN,0.3,0.8,0.58182,0.69444,0.6,NaN,NaN,M27MUAG,M
0.85714,0.77273,0.71795,0.90476,1,0.83636,NaN,0.6,0.77273,0.70513,0.64835,1,0.77273,0.73077,0.72222,0.86667,0.8,0.63889,0.66667,M3ESDIR,M
0.80952,0.72222,0.49451,1,0.90476,0.9,0.5303,0.82143,0.6,0.61818,0.64444,0.8,0.64444,0.71429,0.6,0.90476,0.6,0.61905,0.55556,M7FLSAA,M
0.71429,0.78571,0.68889,0.60714,0.47273,0.2,0.66667,0.4,0.70909,0.57143,0.63636,0.72222,0.66667,0.83333,0.62821,0.51111,0.33333,0.66667,0.86667,M8AVGUK,M
1,0.7619,0.75556,0.80556,0.67273,0.3,0.33333,1,0.56364,0.5303,0.75556,NaN,1,0.75,0.62222,0.66667,NaN,0.83333,0.57143,M9SAAND,M
