durante_Gio_delta_1,durante_Gio_delta_2,durante_Gio_delta_3,durante_Gio_delta_4,durante_Gio_delta_5,durante_Gio_delta_6,durante_Gio_delta_7,durante_Gio_delta_8,durante_Gio_delta_9,durante_Gio_delta_10,durante_Gio_delta_11,durante_Gio_delta_12,durante_Gio_delta_13,durante_Gio_delta_14,durante_Gio_delta_15,durante_Gio_delta_16,durante_Gio_delta_17,durante_Gio_delta_18,durante_Gio_delta_19,Sujeto,Clase
8.1161,5.5197,10.3017,13.4866,9.8559,0.65568,1.4214,10.4259,13.4863,13.4257,12.5561,12.3056,13.5141,13.0153,12.2496,11.4394,12.6738,13.2128,11.3031,A18RURI,A
10.124,13.4118,12.2074,6.7649,8.1496,6.3398,9.9961,9.1133,10.1701,13.2343,10.4417,11.1548,10.0655,13.6496,8.4149,8.6154,10.8604,13.5701,10.6006,A19MOEP,A
13.4223,3.0382,13.6836,9.0381,11.5836,13.3536,5.5303,7.6514,12.9564,12.3701,11.3689,12.4214,12.3647,13.4446,13.1258,8.5431,11.0794,10.4432,0.73661,A27HECE,A
9.212,11.0376,9.676,11.4223,6.6912,8.2675,4.8801,0,12.2004,12.0918,9.121,10.1346,10.9976,10.2662,11.1073,0.60493,10.0544,7.8659,0,A28TOPA,A
8.04,6.7029,7.7801,9.102,9.7109,3.9403,6.0227,6.4246,7.6546,6.0727,4.1942,3.5996,6.7588,5.2863,4.4683,6.2372,2.1067,7.2812,5.6388,A8ESSAI,A
2.9819,12.3018,6.5602,1.5068,9.0651,10.9184,10.1108,0.70435,12.5696,9.6559,11.302,10.8464,12.6141,11.9028,10.9184,11.3711,3.7051,11.5165,10.1263,B10ESTO,B
8.8626,7.1354,8.393,6.6239,3.1926,8.6939,8.5793,3.6248,5.3568,8.1881,5.0317,9.0352,5.9082,8.044,8.6766,3.1228,7.967,1.8924,6.273,B14FOVA,B
2.2816,9.576,9.0918,10.4971,2.1205,1.5904,1.5026,7.2057,9.9219,10.6028,11.1254,3.5944,8.2772,10.2883,10.4567,9.3345,8.9143,7.7311,1.6268,B15GOGO,B
1.5924,6.8719,7.7746,9.2623,5.8193,0.72804,1.4919,5.7648,8.7988,8.3812,2.0852,2.4197,6.3861,7.883,5.8103,5.9731,7.7556,6.4755,10.0637,B17ARTO,B
7.0723,6.6302,8.2996,7.1754,6.1174,6.4431,6.6429,4.2327,7.2481,7.2223,5.8255,6.02,5.0354,5.3745,7.0352,6.6271,6.6333,4.3474,5.8753,B20RORA,B
9.0829,2.7308,6.5046,8.2417,2.8075,9.2463,6.8028,1.501,9.8508,8.7324,4.495,8.8474,10.8904,10.4195,10.454,3.3423,10.306,5.1052,8.4041,B21GUDE,B
9.6386,7.1027,9.3311,6.8503,11.211,4.2943,6.1822,10.0019,3.1506,11.1105,11.6026,3.7447,6.7475,9.4325,11.5346,9.437,6.126,2.3035,10.7213,B23VEZE,B
10.9108,13.2213,12.3849,4.4943,12.2442,12.1473,10.6557,12.7656,12.84,11.3541,9.7564,12.0562,11.7899,8.0492,12.4686,11.7323,6.4315,4.843,12.7361,B25MEVI,B
11.8179,11.084,11.696,9.5149,11.7656,3.8323,6.1991,8.7292,10.7276,10.6522,8.9244,11.6136,11.8517,5.1591,11.7839,3.9081,7.7372,3.5787,10.4039,B5ARMON,B
2.1826,10.3063,10.7159,9.4041,3.7306,7.5972,11.3782,8.2235,9.3214,10.9181,10.0744,3.7691,10.6985,9.1912,10.403,6.889,2.1771,6.0635,10.6255,B6SOMOD,B
7.1901,7.2962,3.1246,7.106,7.7967,7.7686,5.9284,6.6788,5.6715,5.396,7.9328,6.7301,8.7983,3.7684,5.349,7.4894,4.198,4.6494,5.4437,M10CAUR,M
12.6177,14.2755,11.7404,13.0768,10.3744,5.3474,3.3424,11.8827,14.2906,8.5642,14.0004,12.5501,4.2277,12.6069,14.1506,12.8663,12.6868,8.715,14.0173,M11BADE,M
3.9516,4.8299,7.3721,8.0061,8.4281,4.3578,4.4586,1.4343,3.1825,6.6913,7.032,3.9605,4.61,7.846,7.1582,7.1452,3.8457,6.7803,6.6056,M13FECA,M
8.759,11.1746,9.0944,9.8095,10.5349,11.2165,7.2376,9.1241,8.3114,9.6867,12.9357,0.75803,7.1369,12.3354,10.4162,6.712,11.6602,11.145,5.4005,M16ARVE,M
10.382,9.7661,7.4823,2.8005,7.9036,4.9063,4.0066,0.74752,9.7404,5.7849,2.0147,8.4388,9.6672,6.6724,2.0406,8.4499,8.5058,2.0787,8.4948,M17GOSE,M
17.1632,16.5791,16.4137,16.4936,15.4183,17.3676,16.4925,16.2354,16.5016,16.6223,16.6083,3.6323,16.5248,16.1294,16.6297,16.5197,16.4894,17.1003,16.5832,M18HUME,M
8.7228,8.576,8.1243,8.4423,5.008,9.0763,7.8003,5.2137,7.166,6.4362,7.3785,7.1676,8.3022,8.1359,5.8819,4.2975,5.6626,2.7554,3.4735,M21SANA,M
9.5601,11.4207,16.4616,17.3266,14.2932,6.6549,15.3878,12.4172,14.4051,16.427,14.3016,10.4614,17.3479,15.3685,14.4755,11.4225,16.3685,9.5719,15.3861,M22HUGU,M
6.988,9.9455,8.9982,11.3047,11.618,6.6323,0.66627,6.6969,9.7258,7.1791,10.2357,6.1455,11.5152,8.9849,6.5958,8.4267,10.486,4.5049,3.9541,M23SACA,M
6.4972,1.2795,11.5716,11.5716,9.9525,2.9284,4.8669,1.546,10.6359,7.5098,11.4922,8.8998,8.4585,8.5517,8.5037,8.3259,11.4344,8.1963,9.9082,M25MAVI,M
